price,odometer,age,model
36990.0,5471.0,2.0,romeo giulia ti sport
8975.0,121000.0,14.0,ranger
29900.0,113006.0,10.0,e450 super duty
17999.0,108000.0,13.0,benz cl550 amg
16000.0,109813.0,20.0,wrangler
12399.0,53000.0,5.0,cooper countryman
9999.0,35000.0,8.0,fit
15399.0,67000.0,6.0,golf gti turbo se
14499.0,84000.0,7.0,sienna le 8 pass.
25999.0,79000.0,7.0,silverado texas ed.
16799.0,69000.0,6.0,cr-v ex
2950.0,257000.0,26.0,grand cherokee
4975.0,139000.0,10.0,impala limited ltz
5900.0,164035.0,20.0,tahoe 4x4
32000.0,2000.0,0.0,telluride
8000.0,214000.0,17.0,sterling l7500
15500.0,53522.0,7.0,forester
25950.0,42001.0,31.0,f250 4x4
45950.0,143909.0,7.0,3500 laramie crew cab
52950.0,106554.0,6.0,f350 super duty lariat
35950.0,113869.0,3.0,silverado 2500 hd
33950.0,82790.0,10.0,2500 crew cab slt
21950.0,112081.0,6.0,tacoma prerunner
35950.0,157159.0,10.0,f250 super duty lariat
49950.0,124119.0,6.0,f350 super duty lariat
46950.0,94550.0,11.0,3500 laramie
20950.0,192825.0,3.0,tundra crewmax
35950.0,106874.0,3.0,silverado 2500 hd
35950.0,102365.0,3.0,silverado 2500 hd
24950.0,153801.0,8.0,2500 crew cab 4x4
24950.0,130375.0,14.0,silverado 1500 ls
7975.0,157000.0,7.0,passat
6975.0,142000.0,15.0,xterra
8500.0,206000.0,25.0,1500 tahoe
66995.0,39326.0,5.0,f-350sd
36999.0,97747.0,6.0,chassis 3500 utility
20950.0,117996.0,10.0,f150 supercrew cab lariat
25997.0,112215.0,15.0,"tundra sr5 4dr double cab 1-owner*rust free*only 112k miles*new water pump & timing belt*new bilstein-toytec lift*new 33"" yokohama tires*like new in&out*0-accidents"
3900.0,200000.0,14.0,camry
12950.0,148947.0,18.0,avalanche 1500
8995.0,120469.0,4.0,mirage
10495.0,156612.0,10.0,charger
8995.0,162740.0,12.0,camry
5995.0,123998.0,8.0,dart
8995.0,160618.0,11.0,corolla
6995.0,139675.0,8.0,avenger
6700.0,94204.0,14.0,328i
42995.0,61897.0,3.0,f-150 platinum
32999.0,124821.0,7.0,"sierra 3500hd cc one owner, service work truck, 12ft flatbed!"
3700.0,155000.0,34.0,7000
27999.0,55999.0,9.0,"e350 e350 10ft plumbers,"
24995.0,88000.0,4.0,a4
57995.0,15114.0,1.0,gladiator
43995.0,52582.0,6.0,f-150
62995.0,30478.0,2.0,2500
34395.0,15174.0,2.0,f-150
8975.0,144000.0,5.0,malibu limited
39950.0,86351.0,6.0,2500 crew cab
49997.0,58476.0,3.0,"sequoia sr5 trd build out*1-owner*full new build*bilstein lift*35""master craft mxt tires*new 18""black rhino wheels*chrome delete pkg*custom painted 2-tone bumpers*8-pass seating*"
42995.0,42141.0,5.0,transit-350
8997.0,164000.0,10.0,rav4
27999.0,14260.0,9.0,silverado 2500 work
8997.0,164000.0,10.0,rav4
1500.0,100000.0,44.0,
13975.0,161000.0,8.0,explorer
44995.0,69897.0,6.0,2500
36590.0,79156.0,8.0,corvette grand sport
17000.0,94000.0,6.0,428i gran coupe
31990.0,52733.0,3.0,wrangler unlimited sport s
24590.0,40784.0,4.0,silverado 1500 regular
31590.0,2195.0,1.0,mx-5 miata club
28990.0,12567.0,1.0,wrx sedan 4d
31990.0,34729.0,5.0,f150 super cab xl pickup 4d
25990.0,10572.0,3.0,camaro ls coupe 2d
22590.0,10667.0,1.0,impreza wagon 4d
28990.0,70703.0,9.0,m3 convertible 2d
35990.0,2600.0,0.0,wrangler sport suv 2d
2700.0,189000.0,19.0,civic
31590.0,27440.0,5.0,challenger r/t plus shaker
48990.0,68024.0,10.0,f-450sd
19990.0,79396.0,8.0,3 series 335i sedan 4d
19990.0,57181.0,8.0,g g37 sport coupe 2d
19990.0,62039.0,8.0,es 350 sedan 4d
25990.0,21480.0,2.0,f150 regular cab xlt pickup
69990.0,1353.0,2.0,f-550sd
30990.0,41124.0,4.0,tundra double cab sr
27500.0,216000.0,7.0,freightliner step van
9000.0,100000.0,44.0,f-150
46995.0,94472.0,8.0,f-350sd
29990.0,19374.0,5.0,mustang gt coupe 2d
49495.0,54955.0,3.0,2500
15000.0,175000.0,15.0,sierra denali 1500
14500.0,99999.0,72.0,1949 Diamond T
59990.0,19102.0,2.0,2500
4499.0,177400.0,14.0,cobalt lt
23995.0,74000.0,10.0,3 series
78995.0,61965.0,2.0,f-350sd
29600.0,19000.0,2.0,tacoma trd sport 4x4
89995.0,3313.0,0.0,silverado 3500hd
6998.0,139011.0,12.0,focus
5998.0,181954.0,14.0,altima
13998.0,92543.0,8.0,a3
14998.0,70417.0,6.0,optima
16393.0,150057.0,11.0,escalade esv
16884.0,122345.0,7.0,suburban
16029.0,131604.0,5.0,traverse
13220.0,68817.0,6.0,malibu
12432.0,82808.0,5.0,malibu limited
7000.0,140342.0,14.0,300
7900.0,109000.0,13.0,crv ex-l awd
45995.0,51712.0,5.0,f-550sd
32995.0,89268.0,7.0,silverado 1500 4x4
32995.0,89268.0,7.0,silverado 1500 4x4
13500.0,267000.0,36.0,tacoma hilux pickup
94995.0,15566.0,2.0,f-250sd
5500.0,21.0,49.0,truck
3900.0,160879.0,14.0,civic
14800.0,198000.0,25.0,bronco xlt 4x4
77995.0,6050.0,1.0,3500
39900.0,197334.0,8.0,freightliner m2 106
11000.0,78000.0,4.0,accord
4900.0,151370.0,15.0,accord 4-door sedan
13250.0,61000.0,6.0,journey
28900.0,110854.0,7.0,1500 crew cab
31900.0,130410.0,7.0,ISUZU NRR BOX TRUCK
4000.0,190000.0,24.0,integra
6000.0,372000.0,22.0,1999 tacoma TRD
32990.0,40405.0,7.0,6 series 640i convertible 2d
34990.0,27451.0,4.0,durango r/t sport utility
29990.0,25196.0,4.0,pilot touring sport
35590.0,4265.0,2.0,odyssey ex-l minivan 4d
19590.0,83600.0,8.0,1 series 135i coupe 2d
35990.0,40831.0,3.0,civic type r touring
16590.0,39649.0,6.0,beetle 1.8t fleet
33990.0,23963.0,2.0,rav4 hybrid xse sport
34990.0,29936.0,3.0,mdx sh-awd w/technology
31990.0,27479.0,2.0,1500 classic quad cab
21990.0,39647.0,5.0,Scion FR-S Release Series 2.0
39990.0,44054.0,3.0,s5 premium plus sedan 4d
25990.0,61419.0,7.0,z4 sdrive28i roadster 2d
19590.0,63904.0,9.0,a5 2.0t fronttrak premium
15990.0,66732.0,6.0,prius four hatchback 4d
15990.0,33200.0,3.0,yaris ia sedan 4d
32990.0,15588.0,1.0,ct5 premium luxury
19950.0,163388.0,18.0,f250 super duty 4x4
55500.0,37200.0,6.0,f350 super duty
14500.0,41000.0,10.0,chysler 300
8997.0,164000.0,10.0,rav4
13500.0,1.0,32.0,KOHLER DIESEL GENERATOR
49995.0,35396.0,2.0,Isuzu NRR
10000.0,76850.0,25.0,f250 super duty
26000.0,1.0,1.0,Mobile Ramp
42995.0,10.0,2.0,sprinter 3500
10900.0,163222.0,8.0,accord
16500.0,1.0,55.0,TOWMOTOR BHF20
40995.0,64030.0,3.0,silverado 2500hd
34990.0,5220.0,8.0,f-350 super duty
31990.0,6537.0,8.0,silverado 2500hd
29990.0,40321.0,9.0,silverado 3500hd
36990.0,31152.0,9.0,f-250 super duty
58990.0,12.0,2.0,silverado 6500hd
59990.0,74894.0,9.0,International 7300
44990.0,66126.0,8.0,International 4300
44990.0,21.0,2.0,sprinter cab chassis
15990.0,86408.0,15.0,express cargo
31990.0,137855.0,9.0,International TerraStar
49995.0,38437.0,7.0,f-550sd
25000.0,162000.0,13.0,silverado 2500hd
2950.0,250000.0,21.0,excursion
24997.0,109562.0,16.0,"tundra sr5 4dr 1-oregon owner*0-rust*never off road*new timing belt&water pump*new bilstein-toytec lift*new 33"" yokohama geolanders*new oem 17""toyota wheels*leer canopy"
49995.0,66879.0,3.0,3500
35000.0,123200.0,20.0,c3500
49995.0,118018.0,8.0,4500hd
5000.0,265298.0,34.0,silverado
50995.0,696.0,9.0,f-450sd
2300.0,183000.0,22.0,f250 lariat
6495.0,134705.0,13.0,quest 3.5 se
51950.0,27519.0,2.0,transit-350
59950.0,5726.0,2.0,2500
54900.0,68570.0,8.0,f550 4x4 crew cab
31900.0,114156.0,10.0,isuzu npr hd boxtruck
34995.0,75484.0,9.0,f-350sd
39900.0,118401.0,9.0,international terrastar
31900.0,140395.0,6.0,e350 cutaway
34900.0,164279.0,9.0,econoline
49900.0,62845.0,2.0,isuzu npr hd boxtruck
27995.0,109771.0,9.0,f-450sd
26995.0,119865.0,8.0,f-150
48995.0,38393.0,6.0,s-class
15995.0,67732.0,5.0,malibu
35995.0,52283.0,12.0,super duty f-450 drw
51995.0,88840.0,5.0,f-250sd
46998.0,2200.0,1.0,"gt premium 2,200 miles"
72995.0,48479.0,3.0,2500
42998.0,24733.0,3.0,xc90t6 awd 24733 miles
46998.0,11920.0,3.0,"xc90 11,200 miles wwow"
68998.0,1390.0,0.0,"xc60 t8 inscription 1,300 miles"
46977.0,31456.0,2.0,xc60 t6 awd inscription
68777.0,1375.0,1.0,"xc90 t8 1,300 miles"
29777.0,34040.0,3.0,certified
37888.0,23707.0,3.0,certified
8675.0,136324.0,14.0,g35
20950.0,146347.0,6.0,colorado crew cab z71
34950.0,116677.0,11.0,f450 super duty crew
9500.0,240300.0,15.0,tundra
8997.0,164000.0,10.0,rav4
5600.0,160000.0,18.0,1500
29997.0,144071.0,6.0,tacoma v6 1 owner* trd sport* navigation*back up cam* 6-speed manual* rust free*1-owner*non smoker*bilstein toytec lift
3800.0,280000.0,38.0,benz 300sd turbo diesel
26500.0,1.0,31.0,GRADALL 552
4500.0,100000.0,55.0,roadster
5999.0,198789.0,17.0,yukon denali xl awd
4999.0,131975.0,10.0,hhr lt
13800.0,28000.0,6.0,civic
14995.0,99600.0,11.0,135i
5600.0,14000.0,19.0,1500
56900.0,229000.0,9.0,FREIGHTLINER M2
28900.0,28900.0,10.0,FREIGHTLINER M2
35000.0,64289.0,6.0,benz sprinter 2500 ext
1500.0,135000.0,32.0,1989 isuzu trooper
48990.0,15812.0,9.0,f-350 super duty
29990.0,31657.0,1.0,express cargo
30990.0,25811.0,3.0,transit cargo
58990.0,22177.0,3.0,express cargo
58990.0,12.0,2.0,silverado 6500hd
31990.0,8242.0,2.0,transit cargo
44990.0,21.0,2.0,sprinter cab chassis
26990.0,15000.0,2.0,pickup 1500 classic
15990.0,86408.0,15.0,express cargo
15990.0,84995.0,15.0,express cargo
79900.0,360000.0,8.0,FREIGHTLINER CASCADIA
59000.0,274632.0,7.0,international 4400
3500.0,140000.0,16.0,lesabre limited
4500.0,148000.0,17.0,xc90
4300.0,140000.0,14.0,328i
5900.0,103000.0,11.0,prius hybrid
6900.0,91000.0,9.0,prius hybrid
4200.0,159000.0,17.0,benz s430
9500.0,108000.0,13.0,cls550
7500.0,143000.0,13.0,benz e550
31900.0,268000.0,9.0,freightliner business class m2
11500.0,57300.0,61.0,starchief
315.0,91551.0,5.0,pilot exl
3995.0,146842.0,13.0,jetta sedan
3995.0,157681.0,19.0,Isuzu Rodeo
4995.0,144230.0,14.0,liberty
6995.0,172784.0,18.0,fx45
4995.0,238712.0,18.0,explorer sport trac
4995.0,139947.0,17.0,trailblazer
3995.0,119856.0,19.0,a4
7995.0,197798.0,16.0,titan
5995.0,162221.0,22.0,frontier 2wd
7995.0,297611.0,24.0,4runner
3995.0,160083.0,16.0,tucson
3995.0,136298.0,23.0,3-series
3995.0,176321.0,19.0,blazer
3995.0,221137.0,13.0,s80
3995.0,183816.0,17.0,sienna
12995.0,174270.0,30.0,wrangler
31900.0,268000.0,8.0,FREIGHTLINER M2
4700.0,210000.0,7.0,grand caravan
34900.0,196980.0,4.0,Isuzu NPR
18495.0,93999.0,12.0,g37
20999.0,117527.0,6.0,express commercial cutaway
19498.0,124287.0,3.0,express cargo van
14999.0,74056.0,7.0,a4
34900.0,196980.0,4.0,Isuzu NPR
20999.0,102909.0,8.0,f-150
13499.0,101505.0,8.0,flex
10999.0,100865.0,7.0,civic
22998.0,87567.0,6.0,challenger
19999.0,86696.0,9.0,challenger
21498.0,90928.0,8.0,f-150
18995.0,64425.0,4.0,300
11498.0,64112.0,6.0,altima
9998.0,126125.0,7.0,civic sedan
9500.0,300000.0,20.0,7.3 4x4 longbed
10000.0,999999.0,56.0,school bus
33995.0,70000.0,8.0,f-250 super duty super duty
18500.0,55000.0,19.0,mustang gt convertible
39995.0,37085.0,4.0,tahoe lt
38777.0,19000.0,9.0,f-350 super duty super duty
30995.0,93000.0,8.0,silverado 2500hd work
55000.0,13000.0,1.0,f250
16590.0,60044.0,4.0,volt lt hatchback 4d
21590.0,14775.0,3.0,golf sportwagen tsi s
34590.0,1029.0,1.0,Genesis G70 2.0T Sedan 4D
18590.0,14317.0,4.0,corolla im hatchback 4d
39590.0,9220.0,2.0,1500 crew cab big horn
21590.0,14934.0,4.0,regal premium ii sedan 4d
28990.0,23551.0,4.0,a6 2.0t premium plus sedan
17990.0,20854.0,2.0,forte s sedan 4d
18590.0,69748.0,7.0,ct 200h hatchback 4d
30590.0,22049.0,4.0,Genesis G80 3.8 Sedan 4D
29990.0,50037.0,3.0,q5 premium plus sport
39590.0,36682.0,6.0,sl-class sl 400
16590.0,20989.0,8.0,camry le sedan 4d
26990.0,37618.0,3.0,ats coupe 2d
15590.0,5470.0,3.0,focus s sedan 4d
26990.0,21088.0,3.0,atlas s sport utility
17500.0,1300.0,90.0,
24950.0,169744.0,16.0,f250 super duty lariat
6000.0,128000.0,18.0,grand caravan se
13950.0,152819.0,17.0,1500 quad cab
29950.0,97192.0,14.0,f250 super duty lariat
10950.0,137668.0,20.0,2500
46995.0,103790.0,8.0,f-350 superduty lariat crew drw
29950.0,172769.0,4.0,silverado 2500 hd
15900.0,87000.0,7.0,cla
4800.0,111000.0,51.0,dart
49995.0,111600.0,6.0,silverado 2500 ltz
58995.0,56749.0,5.0,2500 laramie crewcab 4wd
50995.0,79630.0,5.0,f-350 super duty crew cab xlt 6.7 liter
19997.0,102174.0,8.0,a8 4.0t quattro dealer serviced since new with all records*97k msrp* sport-conv-comfort-cold weather-camera assistance-led headlights and much more*no accidents*non smoker previous owner
54995.0,108735.0,4.0,sierra 2500 slt
68995.0,65120.0,4.0,f-350 super duty lariat crew 8ft lb 6.7 liter
64995.0,67340.0,4.0,f-250 superduty lariat crew 6.7 liter
25950.0,145935.0,13.0,f250 super duty xlt
32950.0,157771.0,6.0,f250 super duty 4x4
7975.0,157000.0,8.0,SCION TC
49997.0,58476.0,3.0,"sequoia sr5 trd build out*1-owner*full new build*bilstein lift*35""master craft mxt tires*new 18""black rhino wheels*chrome delete pkg*custom painted 2-tone bumpers*8-pass seating*"
9975.0,159000.0,9.0,328i
49995.0,40136.0,4.0,silverado 1500 ltz redline crew cab 6.2 liter
65995.0,69524.0,3.0,silverado 2500 ltz lifted crew 4wd
80000.0,3500.0,0.0,chevolet silverado 3500HD
4000.0,240000.0,21.0,grand cherokee limited 4x4
13500.0,34000.0,6.0,cruze lt
7975.0,139000.0,8.0,c-max hybrid
11975.0,169000.0,12.0,mustang gt
6500.0,99295.0,22.0,safari
8997.0,164000.0,10.0,rav4
25000.0,82294.0,12.0,f350 super duty
8997.0,164000.0,10.0,rav4
47995.0,22525.0,6.0,sprinter 2500
35000.0,41277.0,15.0,topkick
14975.0,182000.0,13.0,silverado 1500 4x4
39995.0,38642.0,1.0,transit-250
32995.0,138709.0,6.0,f-350sd
3650.0,169000.0,18.0,rav4
49995.0,96161.0,5.0,f-250sd
27990.0,30791.0,3.0,rdx technology pkg sport
52995.0,53523.0,4.0,2500
3100.0,270000.0,26.0,pickup
30590.0,2667.0,2.0,mx-5 miata rf grand
30590.0,10005.0,1.0,tlx 3.5 sedan 4d
2800.0,200000.0,15.0,
29990.0,13859.0,3.0,s90 t5 momentum sedan 4d
19590.0,33686.0,4.0,fiesta st hatchback 4d
70995.0,1040.0,1.0,3500
12995.0,59325.0,3.0,forte
34999.0,30620.0,2.0,transit van
12999.0,126291.0,5.0,camry
10999.0,120900.0,9.0,cx-9
27995.0,117219.0,7.0,silverado 2500hd
20999.0,117133.0,5.0,transit cargo van
17498.0,83280.0,7.0,express cargo van
11998.0,135374.0,10.0,m-class
21500.0,100611.0,9.0,silverado 1500 4x4
28590.0,16249.0,3.0,c-class c 350e
36990.0,23190.0,5.0,sierra 2500 hd double cab
17590.0,20181.0,8.0,hardtop cooper s hatchback
34990.0,34139.0,2.0,1500 classic crew cab big
25990.0,12302.0,2.0,1500 classic regular cab
26990.0,41147.0,4.0,cts 2.0 luxury sedan 4d
28950.0,34500.0,3.0,outback
4500.0,123456.0,58.0,
8900.0,82859.0,9.0,civic lx
55995.0,39284.0,4.0,2500
13500.0,146340.0,17.0,tacoma
68900.0,338772.0,4.0,vnl64t630
26990.0,24062.0,4.0,hardtop 2 door john cooper
25990.0,55783.0,6.0,nx 300h sport utility 4d
18990.0,42043.0,4.0,e-golf sel premium
16590.0,80007.0,9.0,tl sh-awd sedan 4d
15590.0,7076.0,5.0,cruze limited 1lt
33990.0,20713.0,4.0,2 series m240i coupe 2d
23950.0,180329.0,6.0,silverado
73999.0,3235.0,3.0,maserati granturismo
8400.0,143120.0,4.0,outlander sport
6100.0,213000.0,21.0,tacoma
26000.0,104000.0,8.0,INTERNATIONAL
35999.0,131541.0,4.0,"f-250 utility super duty xl, heavy duty ladder rack!!"
39950.0,54977.0,18.0,workhouse challenger
14995.0,98872.0,17.0,f150 supercrew cab
28999.0,147073.0,7.0,"f450 12ft stakebed, power lift gate!"
9600.0,228000.0,9.0,grand cherokee laredo
29995.0,46944.0,12.0,silverado 2500hd
35900.0,201746.0,7.0,freightliner business class m2
44995.0,98409.0,6.0,silverado 2500hd
31990.0,92946.0,5.0,f-450sd
80000.0,4123.0,2.0,denali
14500.0,352722.0,24.0,f250
62990.0,10143.0,1.0,3500
16000.0,124000.0,16.0,f-150
57990.0,498.0,0.0,e-450sd
7000.0,125000.0,12.0,g37 coupe
15900.0,130000.0,14.0,silverado
8900.0,67000.0,5.0,corolla
41995.0,12947.0,1.0,promaster 2500
34995.0,101089.0,3.0,e-450sd
32995.0,94097.0,5.0,f-350sd
42995.0,39337.0,6.0,f-450sd
9750.0,196000.0,10.0,535gt
19990.0,40345.0,7.0,focus st hatchback 4d
27500.0,102257.0,9.0,ISUZU NPR BOX TRUCK
86900.0,470000.0,8.0,kenworth t800
42895.0,57193.0,3.0,f-250sd
8500.0,127151.0,9.0,colorado n work truck
8997.0,164000.0,10.0,rav4
9500.0,204000.0,22.0,1999 svt mustang cobra
39990.0,8373.0,2.0,370z nismo coupe 2d
24990.0,6380.0,2.0,frontier king cab s
15990.0,45728.0,6.0,corolla s sedan 4d
20590.0,13523.0,4.0,124 spider classica
51995.0,55686.0,4.0,2500
15000.0,68000.0,50.0,elcamino
