,class,value
102,D,95.78999999999999
103,D,19.95999999999998
104,B,121.75
105,A,52.79000000000002
106,D,112.44
107,B,67.84
108,A,40.75
109,B,79.84
110,B,3.509999999999991
111,A,82.75999999999999
112,B,61.31
113,B,85.75
114,A,21.439999999999998
115,D,115.75
116,A,75.35999999999999
117,D,9.509999999999991
118,D,70.0
119,D,101.38999999999999
120,C,79.99000000000001
121,D,87.99
122,C,93.44
123,D,95.96000000000001
124,C,65.19
125,B,121.64
126,D,121.44
127,A,78.04000000000002
128,C,53.75999999999999
129,D,18.75
130,B,95.99
131,D,78.99000000000001
132,A,60.56
133,D,72.75
134,D,113.64
135,A,13.75
136,A,81.0
137,D,18.99000000000001
138,A,75.63999999999999
139,A,11.509999999999991
140,C,32.24000000000001
141,A,30.389999999999986
142,C,31.439999999999998
143,C,114.99
144,D,98.24000000000001
145,C,87.64
146,B,23.110000000000014
147,D,37.360000000000014
148,D,14.639999999999986
149,D,118.64
150,A,88.75
151,B,86.99
152,D,91.16
153,B,112.96
154,A,39.589999999999975
155,C,102.0
156,C,73.0
157,D,31.50999999999999
158,A,100.19
159,B,36.56
160,A,100.35999999999999
161,B,-0.36000000000001364
162,D,117.0
163,A,20.839999999999975
164,C,14.639999999999986
165,B,31.110000000000014
166,D,120.75
167,C,112.75
168,B,104.99
169,B,121.19
170,C,83.75
171,B,122.51
172,B,111.44
173,D,116.0
174,C,84.0
175,C,36.110000000000014
176,B,86.84
177,C,109.75999999999999
178,D,92.50999999999999
179,D,90.39
180,C,85.24000000000001
181,D,115.31
182,B,33.75
183,C,83.16
184,A,107.76
185,A,87.84
186,C,108.38999999999999
187,C,103.71000000000001
188,C,96.36
189,D,49.110000000000014
190,B,95.0
191,B,90.64
192,A,54.359999999999985
193,A,83.84
194,B,108.75
195,B,92.0
196,D,105.99
197,C,97.63999999999999
198,B,15.990000000000009
199,D,32.50999999999999
200,B,86.99
201,A,79.35999999999999
202,C,87.51
203,C,81.96000000000001
204,D,104.56
205,B,108.10999999999999
206,B,116.56
207,C,56.56
208,B,68.35999999999999
209,B,107.44
210,C,79.99000000000001
211,D,90.84
212,D,34.75
213,D,85.0
214,D,110.75
215,D,93.84
216,B,103.75
217,B,61.0
218,B,78.11000000000001
219,D,47.389999999999986
220,D,116.99
221,A,55.389999999999986
222,C,72.19
223,D,-2.25
224,D,116.75
225,B,104.91
226,D,63.99000000000001
227,B,78.75
228,D,3.0
229,D,42.44
230,D,103.78999999999999
231,D,115.96
232,B,115.84
233,A,111.78999999999999
234,C,109.99
235,C,118.36
236,D,102.99
237,B,89.75
238,A,3.6399999999999864
239,C,36.110000000000014
240,C,92.64
241,D,50.04000000000002
242,A,95.96000000000001
243,C,88.75
244,B,113.36
245,A,17.50999999999999
246,C,94.03999999999999
247,A,30.560000000000002
248,A,75.84
249,D,95.36
250,D,-0.040000000000020464
251,B,85.38999999999999
252,A,56.0
253,B,117.56
254,C,49.75999999999999
255,B,91.56
256,D,92.75
257,C,81.75999999999999
258,B,73.75999999999999
259,D,82.39
260,C,58.75
261,B,121.03999999999999
262,D,123.19
263,D,122.0
264,B,118.75999999999999
265,B,92.75
266,A,119.96
267,A,86.0
268,B,80.50999999999999
269,A,113.71000000000001
270,D,89.56
271,C,70.38999999999999
272,C,70.75
273,A,113.76
274,C,72.75
275,D,30.79000000000002
276,A,100.19
277,A,16.75
278,C,97.36
279,A,80.99000000000001
280,D,62.50999999999999
281,C,62.19
282,A,101.36
283,D,70.99000000000001
284,D,105.36
285,C,73.38999999999999
286,D,35.589999999999975
287,B,87.16
288,B,108.64
289,B,111.84
290,C,78.75
291,B,89.64
292,C,86.64
293,D,99.0
294,C,79.35999999999999
295,D,118.39
296,A,91.56
297,D,36.44
298,C,96.78999999999999
299,C,88.0
300,D,103.19
301,A,80.56
302,C,52.56
303,D,63.44
304,A,38.75999999999999
305,A,88.75
306,A,102.0
307,D,98.56
308,A,51.75
309,A,64.58999999999997
310,A,48.04000000000002
311,A,15.75
312,D,87.64
313,B,11.990000000000009
314,C,87.16
315,D,98.51
316,A,73.84
317,A,37.70999999999998
318,D,85.91
319,C,84.10999999999999
320,B,56.91
321,A,81.10999999999999
322,A,91.03999999999999
323,B,114.10999999999999
324,A,94.91
325,D,116.75
326,D,75.11000000000001
327,D,96.75
328,B,78.63999999999999
329,A,45.75999999999999
330,A,86.0
331,B,82.39
332,C,108.0
333,D,101.31
334,B,116.75999999999999
335,A,23.99000000000001
336,C,41.75
337,A,85.10999999999999
338,A,20.0
339,B,99.0
340,B,22.95999999999998
341,C,103.56
342,B,95.78999999999999
343,A,75.31
344,A,38.589999999999975
345,C,98.44
346,C,104.0
347,C,108.75999999999999
348,C,68.50999999999999
349,B,86.39
350,C,83.03999999999999
351,C,106.75
352,A,111.10999999999999
353,C,110.96
354,D,92.24000000000001
355,C,30.360000000000014
356,B,87.56
357,C,85.75
358,B,41.75
359,C,71.75999999999999
360,C,20.75999999999999
361,D,55.24000000000001
362,B,89.19
363,D,73.0
364,A,85.10999999999999
365,D,46.24000000000001
366,D,99.39
367,B,98.91
368,C,63.96000000000001
369,A,56.84
370,B,62.70999999999998
371,A,62.99000000000001
372,A,10.909999999999968
373,A,103.38999999999999
374,B,104.38999999999999
375,B,77.99000000000001
376,C,92.59
377,B,112.78999999999999
378,A,48.75
379,D,44.04000000000002
380,D,44.75
381,B,25.0
382,D,95.10999999999999
383,A,86.91
384,D,79.35999999999999
385,D,44.44
386,D,109.50999999999999
387,A,74.0
388,C,45.70999999999998
389,C,122.51
390,A,103.16
391,C,26.189999999999998
392,C,21.75
393,C,90.84
394,C,64.96000000000001
395,D,116.84
396,A,117.51
397,A,118.78999999999999
398,D,45.04000000000002
399,A,83.75
400,B,105.38999999999999
401,B,49.15999999999997
402,D,100.35999999999999
403,D,107.78999999999999
404,B,-1.0400000000000205
405,A,69.79000000000002
406,A,84.96000000000001
407,A,86.38999999999999
408,D,86.56
409,A,41.79000000000002
410,A,36.70999999999998
411,D,84.84
412,A,83.51
413,D,69.78999999999999
414,A,78.63999999999999
415,C,23.04000000000002
416,A,94.10999999999999
417,B,90.56
418,D,58.04000000000002
419,B,87.75
420,C,30.50999999999999
421,C,84.96000000000001
422,B,82.38999999999999
423,B,118.75999999999999
424,B,76.56
425,C,87.16
426,B,123.50999999999999
427,D,55.75
428,B,91.99000000000001
429,B,105.51
430,B,85.19
431,A,97.78999999999999
432,C,101.10999999999999
433,B,116.44
434,A,83.50999999999999
435,A,70.50999999999999
436,C,41.75
437,B,90.59
438,B,58.0
439,C,16.79000000000002
440,B,28.75999999999999
441,C,89.91
442,A,96.31
443,C,68.15999999999997
444,A,97.78999999999999
445,C,36.31
446,B,105.44
447,B,89.44
448,C,95.10999999999999
449,B,52.639999999999986
450,B,58.589999999999975
451,C,52.24000000000001
452,D,98.75
453,D,108.10999999999999
454,A,5.909999999999968
455,D,30.0
456,D,96.99
457,A,63.84
458,A,68.15999999999997
459,D,97.64
460,B,112.59
461,D,107.31
462,B,38.75
463,B,101.78999999999999
464,A,23.310000000000002
465,B,96.75
466,B,109.64
467,C,63.75
468,C,97.31
469,B,104.44
470,C,78.63999999999999
471,C,64.56
472,B,88.16
473,C,60.75
474,B,82.91
475,B,84.38999999999999
476,B,88.24000000000001
477,C,116.75
478,D,63.70999999999998
479,B,98.51
480,C,69.31
481,C,51.75999999999999
482,A,98.99000000000001
483,C,121.0
484,A,92.36
485,A,79.59
486,D,97.75
487,A,103.76
488,C,83.50999999999999
489,D,84.56
490,A,62.96000000000001
491,C,7.0
492,B,103.56
493,D,118.64
494,A,33.589999999999975
495,A,111.0
496,A,97.10999999999999
497,C,101.84
498,C,34.56
499,C,108.0
500,D,92.76
501,A,102.10999999999999
502,D,94.16
503,D,117.75
504,A,84.71000000000001
505,C,103.75999999999999
506,B,111.75999999999999
507,B,90.0
508,C,107.03999999999999
509,B,38.0
510,A,112.38999999999999
511,A,15.560000000000002
512,A,28.75
513,B,91.24000000000001
514,D,90.75999999999999
515,A,95.44
516,B,73.31
517,C,29.639999999999986
518,B,86.75
519,B,87.19
520,B,3.909999999999968
521,A,85.0
522,A,112.84
523,C,111.0
524,D,98.44
525,B,28.75
526,D,110.99
527,A,37.24000000000001
528,D,71.78999999999999
529,D,88.38999999999999
530,A,-1.009999999999991
531,A,97.56
532,B,7.7900000000000205
533,D,87.0
534,D,113.75
535,A,8.509999999999991
536,B,87.31
537,C,95.10999999999999
538,A,64.96000000000001
539,C,77.84
540,D,-6.0400000000000205
541,D,58.389999999999986
542,D,103.96
543,C,98.31
544,A,58.75
545,A,114.24000000000001
546,B,113.99
547,D,50.359999999999985
548,D,101.31
549,D,32.75
550,D,82.76
551,B,89.91
552,B,88.75999999999999
553,B,1.1899999999999977
554,A,59.56
555,A,112.75
556,B,84.78999999999999
557,C,75.0
558,A,90.96
559,D,69.84
560,D,102.0
561,C,19.50999999999999
562,B,67.63999999999999
563,C,109.75
564,C,118.76
565,B,87.0
566,B,111.44
567,D,89.75
568,C,40.24000000000001
569,A,89.99000000000001
570,D,32.50999999999999
571,B,88.71000000000001
572,A,83.59
573,C,42.0
574,D,3.909999999999968
575,C,75.59
576,C,27.159999999999968
577,D,46.04000000000002
578,A,49.0
579,D,62.99000000000001
580,A,52.44
581,C,94.35999999999999
582,A,97.78999999999999
583,B,20.50999999999999
584,C,71.96000000000001
585,D,78.79000000000002
586,D,31.0
587,D,98.16
588,B,86.75999999999999
589,B,104.35999999999999
590,B,34.589999999999975
591,C,58.15999999999997
592,C,74.0
593,C,80.24000000000001
594,D,87.75999999999999
595,B,73.75
596,D,87.78999999999999
597,A,95.50999999999999
598,B,48.56
599,C,94.51
600,D,11.95999999999998
601,D,88.50999999999999
602,D,107.03999999999999
603,D,102.84
604,C,46.31
605,B,83.99
606,B,95.56
607,A,85.75
608,B,17.560000000000002
609,B,93.44
610,C,114.50999999999999
611,A,55.75999999999999
612,B,79.0
613,C,58.70999999999998
614,D,100.31
615,D,27.70999999999998
616,C,94.36
617,C,111.0
618,C,82.75
619,C,75.75
620,A,46.75
621,C,86.0
622,C,100.59
623,C,68.0
624,A,81.38999999999999
625,B,116.78999999999999
626,C,83.38999999999999
627,D,30.75
628,D,120.84
629,D,110.0
630,C,56.75
631,D,88.75999999999999
632,A,46.79000000000002
633,C,93.38999999999999
634,C,91.56
635,B,27.639999999999986
636,B,33.24000000000001
637,A,21.99000000000001
638,C,120.78999999999999
639,D,57.110000000000014
640,B,100.36
641,B,67.11000000000001
642,D,90.0
643,D,95.96000000000001
644,D,33.56
645,B,71.0
646,A,85.78999999999999
647,C,52.0
648,B,67.0
649,B,121.75
650,B,92.91
651,B,55.19
652,C,118.84
653,D,85.36
654,C,108.39
655,D,38.389999999999986
656,D,55.589999999999975
657,B,101.11
658,C,87.99000000000001
659,C,119.44
660,C,99.03999999999999
661,D,104.31
662,D,121.91
663,B,103.99
664,D,88.36
665,B,101.71000000000001
666,B,93.19
667,D,50.24000000000001
668,D,76.84
669,D,55.84
670,A,92.16
671,A,84.44
672,A,85.19
673,B,18.0
674,D,105.51
675,A,89.56
676,A,101.78999999999999
677,D,96.38999999999999
678,A,81.71000000000001
679,D,45.24000000000001
680,A,30.75
681,B,58.04000000000002
682,C,85.71000000000001
683,A,114.75
684,C,94.19
685,A,4.0
686,C,118.84
687,D,35.56
688,A,32.70999999999998
689,B,114.76
690,D,98.59
691,A,94.10999999999999
692,B,59.75
693,D,-10.0
694,A,86.0
695,C,83.76
696,D,94.63999999999999
697,C,100.0
698,B,116.78999999999999
699,A,-16.0
700,A,97.38999999999999
701,D,105.0
702,A,69.91
703,C,51.110000000000014
704,A,40.389999999999986
705,B,53.44
706,D,6.7900000000000205
707,C,87.56
708,C,90.84
709,B,110.31
710,A,68.38999999999999
711,B,10.04000000000002
712,B,84.63999999999999
713,A,97.64
714,A,64.70999999999998
715,A,81.75999999999999
716,A,108.75
717,D,86.78999999999999
718,C,5.0
719,D,109.50999999999999
720,B,81.78999999999999
721,A,9.0
722,C,57.639999999999986
723,D,113.99
724,A,58.24000000000001
725,C,60.0
726,D,83.56
727,C,112.39
728,B,87.10999999999999
729,A,33.110000000000014
730,A,64.84
731,B,45.15999999999997
732,C,24.04000000000002
733,A,56.04000000000002
734,B,87.91
735,D,110.0
736,B,77.31
737,C,107.56
738,A,37.79000000000002
739,A,99.0
740,A,85.75
741,A,85.91
742,A,123.84
743,D,29.560000000000002
744,A,109.16
745,C,-2.3600000000000136
746,A,94.0
747,B,89.0
748,A,22.589999999999975
749,A,65.31
750,C,113.96
751,A,94.56
752,A,108.78999999999999
753,A,52.79000000000002
754,B,67.75
755,C,57.24000000000001
756,B,87.0
757,A,73.63999999999999
758,B,15.439999999999998
759,A,81.10999999999999
760,D,118.75
761,B,107.91
762,B,4.189999999999998
763,C,43.44
764,C,45.0
765,C,52.0
766,B,123.0
767,B,88.56
768,C,76.91
769,D,78.31
770,D,60.31
771,B,101.75
772,C,85.75
773,C,83.11
774,C,25.0
775,D,106.75
776,B,39.389999999999986
777,A,105.50999999999999
778,A,104.0
779,B,38.70999999999998
780,A,46.75999999999999
781,B,112.36
782,D,97.19
783,D,84.35999999999999
784,C,31.0
785,C,72.75
786,D,89.50999999999999
787,C,108.64
788,A,62.70999999999998
789,A,70.04000000000002
790,B,52.0
791,D,105.75999999999999
792,D,107.10999999999999
793,A,56.56
794,A,19.839999999999975
795,A,105.35999999999999
796,B,105.75999999999999
797,D,75.56
798,C,101.0
799,D,20.95999999999998
800,D,83.63999999999999
801,B,95.71000000000001
802,C,0.75
803,B,39.44
804,B,-6.090000000000032
805,A,97.84
806,D,94.96000000000001
807,C,95.96000000000001
808,A,62.75
809,D,7.75
810,C,103.75
811,C,3.75
812,D,87.44
813,C,84.35999999999999
814,C,21.0
815,A,95.0
816,A,118.39
817,B,83.51
818,D,72.56
819,C,114.76
820,B,15.509999999999991
821,A,-14.0
822,A,76.63999999999999
823,A,36.44
824,A,85.75
825,A,102.75
826,C,118.03999999999999
827,C,41.31
828,A,68.78999999999999
829,B,118.59
830,D,81.31
831,D,123.0
832,B,100.84
833,B,100.78999999999999
834,C,60.15999999999997
835,C,61.24000000000001
836,C,5.990000000000009
837,D,79.0
838,C,100.16
839,D,106.59
840,B,99.50999999999999
841,A,76.75
842,A,121.99
843,D,90.96000000000001
844,A,105.11
845,D,96.38999999999999
846,A,104.0
847,A,22.0
848,B,31.70999999999998
849,B,87.84
850,A,96.84
851,D,93.99
852,D,75.04000000000002
853,D,32.75
854,C,111.75
855,B,42.56
856,D,93.75
857,A,47.589999999999975
858,B,58.24000000000001
859,D,85.03999999999999
860,C,32.15999999999997
861,A,114.44
862,B,88.16
863,B,98.03999999999999
864,B,116.64
865,A,65.75999999999999
866,A,38.79000000000002
867,A,72.0
868,B,85.19
869,B,106.84
870,C,95.75
871,B,84.56
872,B,24.04000000000002
873,C,-2.009999999999991
874,D,20.0
875,D,68.99000000000001
876,D,96.0
877,A,88.75
878,C,119.10999999999999
879,B,112.75999999999999
880,A,26.0
881,C,97.35999999999999
882,C,107.75
883,D,107.75
884,B,76.56
885,A,103.78999999999999
886,A,22.75
887,D,117.91
888,C,95.59
889,A,89.71000000000001
890,A,111.75999999999999
891,B,112.91
892,A,3.839999999999975
893,C,120.75
894,C,107.19
895,C,103.75
896,D,3.0
897,D,103.10999999999999
898,D,49.75999999999999
899,C,88.96
900,D,105.78999999999999
901,D,93.19
902,D,40.24000000000001
903,A,5.360000000000014
904,A,112.59
905,D,105.0
906,A,87.71000000000001
907,A,66.19
908,D,104.96
909,B,93.0
910,A,107.0
911,A,101.16
912,B,102.10999999999999
913,C,46.110000000000014
914,D,97.71000000000001
915,B,93.78999999999999
916,B,93.75999999999999
917,B,39.589999999999975
918,A,94.75
919,B,36.31
920,A,66.84
921,C,32.75
922,D,43.110000000000014
923,C,116.03999999999999
924,B,38.56
925,B,74.50999999999999
926,A,78.71000000000001
927,B,61.70999999999998
928,D,121.75
929,C,107.96
930,C,77.50999999999999
931,B,110.64
932,C,17.75
933,B,93.50999999999999
934,A,31.639999999999986
935,D,92.84
936,A,44.04000000000002
937,D,75.35999999999999
938,A,83.36
939,B,31.75
940,A,100.78999999999999
941,A,93.91
942,B,20.95999999999998
943,C,73.79000000000002
944,B,101.19
945,B,91.0
946,B,60.0
947,D,99.59
948,A,13.79000000000002
949,D,40.389999999999986
950,B,110.0
951,D,91.59
952,A,115.56
953,B,98.50999999999999
954,C,79.44
955,D,86.78999999999999
956,A,62.75999999999999
957,C,82.75
958,C,59.79000000000002
959,A,83.0
960,B,98.75999999999999
961,C,65.0
962,D,76.03999999999999
963,D,123.0
964,C,111.11
965,B,97.50999999999999
966,D,29.75
967,B,86.79000000000002
968,C,120.31
969,C,67.19
970,C,100.84
971,D,64.91
972,D,108.10999999999999
973,A,108.0
974,C,105.75
975,A,45.24000000000001
976,A,90.24000000000001
977,B,104.63999999999999
978,C,12.990000000000009
979,D,56.96000000000001
980,D,79.44
981,C,85.0
982,D,49.589999999999975
983,D,71.56
984,B,104.84
985,C,87.96
986,A,50.44
987,A,21.839999999999975
988,A,50.110000000000014
989,C,108.0
990,B,79.35999999999999
991,A,80.96000000000001
992,A,46.75999999999999
993,B,82.50999999999999
994,B,113.31
995,B,44.389999999999986
996,B,26.0
997,B,19.50999999999999
998,B,14.439999999999998
999,B,95.75
1000,D,61.24000000000001
1001,C,94.78999999999999
1002,A,82.38999999999999
1003,C,65.04000000000002
1004,D,119.38999999999999
1005,B,119.75
1006,B,44.04000000000002
1007,B,112.31
1008,B,76.71000000000001
1009,D,114.16
1010,B,105.56
1011,B,61.75
1012,A,84.96
1013,D,73.0
1014,C,116.11
1015,C,82.75999999999999
1016,D,67.84
1017,B,96.36
1018,D,25.70999999999998
1019,B,116.84
1020,A,20.95999999999998
1021,A,81.71000000000001
1022,C,84.96000000000001
1023,C,23.99000000000001
1024,B,55.359999999999985
1025,C,98.36
1026,C,80.79000000000002
1027,C,23.04000000000002
1028,C,119.19
1029,A,22.79000000000002
1030,A,82.11
1031,C,4.0
1032,B,82.63999999999999
1033,D,104.59
1034,D,87.78999999999999
1035,B,88.75
1036,C,86.44
1037,D,91.03999999999999
1038,A,6.839999999999975
1039,C,62.91
1040,C,92.91
1041,D,110.75
1042,C,88.99000000000001
1043,D,90.75
1044,C,-0.040000000000020464
1045,A,89.16
1046,D,123.0
1047,C,110.75
1048,B,80.79000000000002
1049,C,88.24000000000001
1050,B,97.50999999999999
1051,B,111.64
1052,B,97.19
1053,C,29.639999999999986
1054,D,41.75
1055,A,109.96
1056,B,115.44
1057,D,83.63999999999999
1058,C,45.110000000000014
1059,C,16.95999999999998
1060,D,81.75999999999999
1061,B,79.56
1062,C,82.35999999999999
1063,C,32.75
1064,A,107.84
1065,C,54.56
1066,C,75.38999999999999
1067,C,66.96000000000001
1068,A,101.75
1069,C,88.63999999999999
1070,D,109.51
1071,D,84.75
1072,B,88.75
1073,B,89.31
1074,C,86.51
1075,C,86.44
1076,B,111.11
1077,D,121.44
1078,B,103.50999999999999
1079,D,30.560000000000002
1080,D,60.31
1081,D,32.0
1082,C,113.50999999999999
1083,A,39.15999999999997
1084,B,6.7900000000000205
1085,A,113.31
1086,A,109.0
1087,C,43.589999999999975
1088,D,11.75
1089,C,30.110000000000014
1090,D,71.11000000000001
1091,A,69.0
1092,C,17.909999999999968
1093,A,83.51
1094,C,105.64
1095,C,106.56
1096,C,111.75
1097,B,88.0
1098,D,99.10999999999999
1099,A,121.11
1100,C,88.03999999999999
1101,C,68.56
1102,C,99.19
1103,A,101.59
1104,A,69.0
1105,A,71.56
1106,C,52.75
1107,D,95.78999999999999
1108,C,64.99000000000001
1109,D,75.04000000000002
1110,B,89.38999999999999
1111,B,89.35999999999999
1112,A,102.0
1113,C,31.310000000000002
1114,A,53.589999999999975
1115,C,80.63999999999999
1116,A,118.16
1117,B,61.0
1118,D,73.50999999999999
1119,A,74.84
1120,D,101.38999999999999
1121,B,52.79000000000002
1122,A,106.96
1123,D,39.15999999999997
1124,A,39.79000000000002
1125,B,63.04000000000002
1126,B,91.84
1127,B,93.96
1128,A,58.75999999999999
1129,A,103.0
1130,D,110.0
1131,B,55.24000000000001
1132,D,111.59
1133,D,118.78999999999999
1134,A,19.189999999999998
1135,C,121.56
1136,D,71.50999999999999
1137,A,86.35999999999999
1138,A,109.64
1139,D,22.560000000000002
1140,A,60.91
1141,C,85.59
1142,D,-5.160000000000025
1143,D,9.0
1144,C,101.03999999999999
1145,D,11.360000000000014
1146,B,109.59
1147,D,117.31
1148,B,110.84
1149,A,94.59
1150,A,83.99
1151,D,10.79000000000002
1152,A,109.64
1153,A,65.75
1154,D,77.0
1155,A,83.99
1156,C,114.44
1157,B,56.56
1158,C,43.589999999999975
1159,D,109.03999999999999
1160,B,47.75999999999999
1161,C,31.360000000000014
1162,C,99.75
1163,B,73.99000000000001
1164,D,111.24000000000001
1165,D,110.19
1166,C,114.16
1167,B,69.31
1168,A,121.84
1169,D,61.96000000000001
1170,C,115.31
1171,D,75.75
1172,B,50.31
1173,C,89.78999999999999
1174,B,77.99000000000001
1175,A,110.59
1176,B,93.78999999999999
1177,A,90.44
1178,B,120.64
1179,D,106.99
1180,B,110.31
1181,A,92.96
1182,D,86.39
1183,D,8.0
1184,D,76.03999999999999
1185,B,49.75
1186,B,-0.36000000000001364
1187,C,60.31
1188,D,71.04000000000002
1189,C,100.56
1190,C,69.31
1191,C,79.16
1192,D,96.03999999999999
1193,D,106.44
1194,D,108.0
1195,D,32.0
1196,D,94.78999999999999
1197,D,89.0
1198,D,90.91
1199,A,6.560000000000002
1200,A,25.839999999999975
1201,B,74.91
1202,D,28.110000000000014
1203,C,100.0
1204,A,118.19
1205,D,122.0
1206,C,119.11
1207,A,123.19
1208,C,-2.160000000000025
1209,A,57.389999999999986
1210,C,113.75
1211,B,49.75
1212,B,91.0
1213,B,-1.009999999999991
1214,C,82.16
1215,A,105.71000000000001
1216,D,38.04000000000002
1217,D,99.0
1218,A,119.99
1219,C,117.36
1220,C,34.75
1221,B,40.589999999999975
1222,B,96.75
1223,D,52.75
1224,C,99.75
1225,B,43.24000000000001
1226,A,87.59
1227,B,76.31
1228,D,118.44
1229,B,105.11
1230,B,79.35999999999999
1231,D,122.99
1232,A,28.79000000000002
1233,C,40.79000000000002
1234,C,82.31
1235,C,12.75
1236,A,62.84
1237,D,107.64
1238,B,93.11
1239,D,64.70999999999998
1240,D,79.35999999999999
1241,D,87.03999999999999
1242,A,74.75
1243,B,86.19
1244,A,18.310000000000002
1245,A,109.75
1246,D,72.11000000000001
1247,D,94.31
1248,B,84.39
1249,C,21.589999999999975
1250,B,97.0
1251,C,99.96
1252,A,51.75999999999999
1253,A,88.35999999999999
1254,A,32.75
1255,D,119.64
1256,A,71.11000000000001
1257,D,44.75
1258,D,53.70999999999998
1259,B,89.03999999999999
1260,A,21.04000000000002
1261,C,108.56
1262,D,21.389999999999986
1263,C,116.0
1264,B,75.0
1265,D,108.75999999999999
1266,D,97.38999999999999
1267,D,67.50999999999999
1268,D,114.99
1269,C,92.78999999999999
1270,B,102.64
1271,A,102.56
1272,B,97.44
1273,B,120.78999999999999
1274,C,92.75999999999999
1275,B,102.50999999999999
1276,A,33.24000000000001
1277,C,61.24000000000001
1278,A,83.39
1279,D,63.84
1280,C,10.95999999999998
1281,D,106.71000000000001
1282,A,57.0
1283,B,23.0
1284,C,108.75
1285,D,107.0
1286,C,105.96
1287,A,112.84
1288,D,98.99000000000001
1289,A,113.24000000000001
1290,C,44.79000000000002
1291,C,50.04000000000002
1292,A,43.389999999999986
1293,C,51.15999999999997
1294,A,56.70999999999998
1295,C,17.839999999999975
1296,D,62.15999999999997
1297,B,95.03999999999999
1298,B,123.96
1299,D,84.36
1300,A,92.16
1301,A,63.75
1302,D,96.50999999999999
1303,C,52.19
1304,C,95.78999999999999
1305,B,77.79000000000002
1306,D,102.75
1307,C,65.58999999999997
1308,B,99.99
1309,D,59.389999999999986
1310,B,95.99000000000001
1311,A,94.99000000000001
1312,C,121.84
1313,A,76.44
1314,D,73.11000000000001
1315,A,7.909999999999968
1316,C,59.589999999999975
1317,B,88.64
1318,C,46.79000000000002
1319,B,121.96
1320,A,110.36
1321,A,84.56
1322,B,109.64
1323,B,65.50999999999999
1324,C,42.24000000000001
1325,B,41.19
1326,C,57.0
1327,D,36.70999999999998
1328,D,48.70999999999998
1329,D,8.0
1330,D,41.24000000000001
1331,A,18.79000000000002
1332,A,34.75
1333,C,110.75
1334,D,96.59
1335,A,48.70999999999998
1336,C,37.360000000000014
1337,A,111.36
1338,D,100.50999999999999
1339,A,1.0
1340,D,88.96000000000001
1341,D,96.0
1342,D,89.59
1343,B,95.31
1344,C,27.79000000000002
1345,C,17.839999999999975
1346,D,111.96
1347,C,83.96000000000001
1348,D,90.75
1349,D,96.91
1350,D,43.04000000000002
1351,D,103.63999999999999
1352,C,122.31
1353,A,116.11
1354,D,94.78999999999999
1355,B,104.38999999999999
1356,D,69.0
1357,B,98.99000000000001
1358,C,79.0
1359,C,74.75
1360,C,80.59
1361,C,41.0
1362,A,100.56
1363,A,31.75999999999999
1364,C,84.56
1365,C,122.84
1366,A,88.84
1367,A,11.95999999999998
1368,D,121.56
1369,D,113.31
1370,C,88.96000000000001
1371,D,13.909999999999968
1372,A,96.0
1373,B,49.44
1374,C,14.75
1375,A,88.91
1376,D,97.39
1377,D,35.389999999999986
1378,A,88.31
1379,B,122.50999999999999
1380,C,95.56
1381,D,106.39
1382,B,67.91
1383,C,84.19
1384,C,100.10999999999999
1385,A,94.71000000000001
1386,A,118.91
1387,A,100.84
1388,D,74.19
1389,C,104.50999999999999
