date,precipitation,temp_max,temp_min,wind,weather,Season
2012-10-02,0.0,17.8,10.0,4.1,sun,Fall
2012-10-03,0.0,18.9,7.8,7.3,sun,Fall
2012-10-04,0.0,18.9,8.3,6.5,sun,Fall
2012-10-05,0.0,21.7,8.9,5.7,sun,Fall
2012-10-06,0.0,23.9,7.8,5.1,sun,Fall
2012-10-07,0.0,23.9,7.8,1.3,sun,Fall
2012-10-08,0.0,21.1,7.8,1.9,sun,Fall
2012-10-09,0.0,16.1,8.9,1.6,drizzle,Fall
2012-10-10,0.0,12.2,8.3,1.4,drizzle,Fall
2012-10-11,0.0,13.9,7.2,1.3,drizzle,Fall
2012-10-12,2.0,13.9,8.9,4.6,rain,Fall
2012-10-13,4.8,15.6,12.2,3.9,rain,Fall
2012-10-14,16.5,17.8,13.3,3.4,rain,Fall
2012-10-15,7.9,17.2,11.1,4.6,rain,Fall
2012-10-16,0.0,16.1,8.3,5.5,sun,Fall
2012-10-17,0.0,14.4,6.1,1.6,sun,Fall
2012-10-18,20.8,17.8,6.7,2.0,rain,Fall
2012-10-19,4.8,15.0,9.4,5.3,rain,Fall
2012-10-20,0.5,11.1,6.1,5.7,rain,Fall
2012-10-21,6.4,11.7,4.4,2.7,rain,Fall
2012-10-22,8.9,7.8,3.3,2.6,rain,Fall
2012-10-23,0.0,11.1,5.6,3.0,rain,Fall
2012-10-24,7.1,11.7,6.1,2.1,rain,Fall
2012-10-25,0.0,11.7,6.7,1.5,sun,Fall
2012-10-26,1.5,11.1,7.2,2.5,rain,Fall
2012-10-27,23.1,14.4,9.4,5.1,rain,Fall
2012-10-28,6.1,14.4,10.0,3.8,rain,Fall
2012-10-29,10.9,15.6,10.0,4.9,rain,Fall
2012-10-30,34.5,15.0,12.2,2.8,rain,Fall
2012-10-31,14.5,15.6,11.1,2.7,rain,Fall
2012-11-01,9.7,15.0,10.6,3.0,rain,Fall
2012-11-02,5.6,15.0,10.6,1.0,rain,Fall
2012-11-03,0.5,15.6,11.1,3.6,rain,Fall
2012-11-04,8.1,17.8,12.8,3.8,rain,Fall
2012-11-05,0.8,15.0,7.8,4.0,rain,Fall
2012-11-06,0.3,12.8,6.7,3.5,rain,Fall
2012-11-07,0.0,12.2,3.9,3.4,rain,Fall
2012-11-08,0.0,10.0,1.1,3.4,rain,Fall
2012-11-09,0.0,8.9,1.1,2.0,rain,Fall
2012-11-10,0.0,7.8,-0.6,2.2,sun,Fall
2012-11-11,15.2,8.9,1.1,3.0,rain,Fall
2012-11-12,3.6,12.8,6.1,3.0,rain,Fall
2012-11-13,5.3,11.1,7.8,2.5,rain,Fall
2012-11-14,0.8,11.1,5.0,2.6,rain,Fall
2012-11-15,0.0,9.4,2.8,2.4,drizzle,Fall
2012-11-16,5.6,9.4,2.2,1.6,rain,Fall
2012-11-17,6.1,12.2,6.1,5.3,rain,Fall
2012-11-18,7.9,10.0,6.1,4.9,rain,Fall
2012-11-19,54.1,13.3,8.3,6.0,rain,Fall
2012-11-20,3.8,11.1,7.2,4.2,rain,Fall
2012-11-21,11.2,8.3,3.9,5.5,rain,Fall
2012-11-22,0.0,8.9,2.8,1.5,rain,Fall
2012-11-23,32.0,9.4,6.1,2.4,rain,Fall
2012-11-24,0.0,8.9,3.9,1.2,rain,Fall
2012-11-25,0.0,8.3,1.1,3.6,drizzle,Fall
2012-11-26,0.0,9.4,1.7,3.8,fog,Fall
2012-11-27,0.0,10.0,1.7,1.5,sun,Fall
2012-11-28,2.8,9.4,2.2,2.9,rain,Fall
2012-11-29,1.5,12.8,7.8,4.2,rain,Fall
2012-11-30,35.6,15.0,7.8,4.6,rain,Fall
2012-12-01,4.1,13.3,8.3,5.5,rain,Winter
2012-12-02,19.6,8.3,7.2,6.2,rain,Winter
2012-12-03,13.0,9.4,7.2,4.4,rain,Winter
2012-12-04,14.2,11.7,7.2,6.2,rain,Winter
2012-12-05,1.5,8.9,4.4,5.0,rain,Winter
2012-12-06,1.5,7.2,6.1,5.1,rain,Winter
2012-12-07,1.0,7.8,3.3,4.6,rain,Winter
2012-12-08,0.0,6.7,3.3,2.0,sun,Winter
2012-12-09,1.5,6.7,2.8,2.1,rain,Winter
2012-12-10,0.5,7.2,5.6,1.8,rain,Winter
2012-12-11,3.0,7.8,5.6,4.5,rain,Winter
2012-12-12,8.1,6.7,4.4,2.0,rain,Winter
2012-12-13,2.3,7.2,3.3,2.8,rain,Winter
2012-12-14,7.9,6.1,1.1,1.7,rain,Winter
2012-12-15,5.3,4.4,0.6,5.1,snow,Winter
2012-12-16,22.6,6.7,3.3,5.5,snow,Winter
2012-12-17,2.0,8.3,1.7,9.5,rain,Winter
2012-12-18,3.3,3.9,0.6,5.3,snow,Winter
2012-12-19,13.7,8.3,1.7,5.8,snow,Winter
2012-12-20,13.2,7.2,0.6,3.7,rain,Winter
2012-12-21,1.8,8.3,-1.7,1.7,rain,Winter
2012-12-22,3.3,8.3,3.9,3.5,rain,Winter
2012-12-23,6.6,7.2,3.3,2.5,rain,Winter
2012-12-24,0.3,5.6,2.8,2.8,rain,Winter
2012-12-25,13.5,5.6,2.8,4.2,snow,Winter
2012-12-26,4.6,6.7,3.3,4.9,rain,Winter
2012-12-27,4.1,7.8,3.3,3.2,rain,Winter
2012-12-28,0.0,8.3,3.9,1.7,rain,Winter
2012-12-29,1.5,5.0,3.3,1.7,rain,Winter
2012-12-30,0.0,4.4,0.0,1.8,drizzle,Winter
2012-12-31,0.0,3.3,-1.1,2.0,drizzle,Winter
