,LifeStage,Sex,Annuli,Mass,StraightlineCL,MaxCW,PL_AnteriortoHinge,PL_HingetoPosterior,ShellHeightatHinge
151,Adult,Female,20.0,335.0,105.97,89.51,42.21,67.12,58.99
152,Adult,Male,17.0,250.0,111.0,88.0,47.0,66.0,53.0
153,Adult,Male,20.0,360.0,122.87,104.25,51.7,69.4,55.39
154,Adult,Male,16.0,435.0,125.0,102.0,51.0,80.0,60.0
155,Adult,Male,30.0,460.0,119.0,104.0,48.0,75.0,67.0
156,Adult,Male,14.0,310.0,123.98,101.62,49.86,70.52,56.69
157,Adult,Female,15.0,420.0,122.5,99.7,48.79,71.24,62.31
158,Adult,Male,14.0,6.0,64.0,55.0,28.0,38.0,32.0
159,Adult,Male,20.0,411.0,127.3,103.11,50.86,72.71,61.26
160,Adult,Male,24.0,407.0,136.0,104.0,57.0,77.0,58.0
161,Adult,Male,15.0,350.0,130.0,99.0,49.0,70.0,61.0
162,Adult,Female,12.0,250.0,116.69,89.07,46.84,64.11,52.29
163,Adult,Female,20.0,280.0,110.0,86.0,42.0,65.0,56.0
164,Adult,Male,11.0,375.0,125.58,98.8,50.33,70.01,57.97
165,Hatchling,Female,24.0,90.0,79.0,60.0,32.0,43.0,40.0
166,Adult,Male,17.0,420.0,126.0,105.0,50.0,77.0,63.0
167,Adult,Male,20.0,405.0,123.2,97.6,49.6,73.2,58.2
168,Adult,Male,17.0,395.0,126.84,98.72,52.47,73.14,59.32
169,Adult,Unknown,14.0,270.0,113.21,88.95,45.52,66.01,51.79
170,Adult,Male,15.0,290.0,114.0,96.0,45.0,69.0,49.0
171,Adult,Male,12.0,395.0,125.69,100.32,54.28,71.36,57.15
172,Juvenile,Male,7.0,135.0,92.0,21.0,34.0,52.0,43.0
173,Adult,Male,16.0,335.0,145.84,118.68,69.2,92.92,76.73
174,Adult,Unknown,16.0,390.0,114.0,100.0,48.0,71.0,63.0
175,Adult,Male,21.0,365.0,122.01,100.08,46.48,72.05,62.52
176,Adult,Unknown,15.0,220.0,104.0,85.58,41.23,61.61,54.8
177,Adult,Female,17.0,455.0,123.0,98.0,50.0,75.0,63.0
178,Adult,Female,20.0,410.0,119.43,107.36,51.18,73.38,59.49
179,Adult,Female,20.0,405.0,115.01,93.91,47.42,72.8,60.82
180,Adult,Male,12.0,456.0,141.0,104.0,54.0,75.0,66.0
181,Adult,Female,16.0,395.0,124.28,103.41,49.98,73.31,59.87
182,Adult,Female,14.0,332.0,107.0,90.0,44.0,68.0,58.0
183,Adult,Female,16.0,390.0,117.72,97.81,47.81,72.11,58.56
184,Adult,Female,40.0,295.0,109.0,85.0,44.0,64.0,61.0
185,Adult,Female,33.0,380.0,117.0,93.0,47.0,67.0,60.0
186,Adult,Male,13.0,355.0,117.32,98.17,50.52,70.02,55.08
187,Adult,Female,18.0,455.0,138.73,100.15,53.85,80.86,67.56
188,Adult,Female,18.0,455.0,125.08,102.2,47.18,77.38,64.58
189,Adult,Male,30.0,380.0,119.0,95.0,45.0,73.0,56.0
190,Adult,Unknown,17.0,400.0,123.54,104.8,47.78,71.66,58.72
191,Adult,Male,15.0,385.0,136.0,106.0,54.0,74.0,60.0
192,Adult,Male,23.0,325.0,120.0,91.0,49.0,76.0,53.0
193,Adult,Female,19.0,435.0,124.0,98.0,46.0,77.0,62.0
194,Adult,Male,24.0,270.0,111.0,89.0,44.0,62.0,53.0
195,Adult,Female,19.0,350.0,109.0,96.0,45.0,69.0,61.0
196,Adult,Female,20.0,372.0,114.61,98.06,50.92,70.12,57.71
197,Adult,Female,9.0,248.0,102.93,85.08,43.31,61.09,48.76
198,Adult,Male,18.0,356.0,118.0,95.0,45.0,72.0,54.0
199,Adult,Female,22.0,355.0,119.62,92.85,47.82,74.78,61.23
200,Adult,Male,20.0,375.0,127.5,100.0,48.0,74.15,57.5
201,Adult,Male,17.0,382.0,122.0,95.0,48.0,72.0,59.0
202,Adult,Female,20.0,150.0,83.0,67.0,35.0,50.0,45.0
203,Adult,Female,9.0,130.0,89.41,68.2,36.3,48.73,43.73
204,Adult,Male,15.0,365.0,121.0,98.0,50.0,69.0,55.0
205,Adult,Male,25.0,352.0,129.0,99.0,48.0,71.0,59.0
206,Adult,Female,20.0,325.0,104.23,89.44,41.35,64.59,56.47
207,Adult,Male,20.0,260.0,115.0,92.0,65.0,71.0,51.0
208,Adult,Male,11.0,303.0,115.0,90.0,47.0,66.0,56.0
209,Adult,Female,21.0,455.0,137.0,106.0,52.0,79.0,63.0
210,Adult,Male,13.0,355.0,128.85,102.05,47.56,72.78,58.74
211,Adult,Female,20.0,390.0,122.0,102.0,48.0,73.0,57.0
212,Adult,Male,22.0,455.0,133.0,111.0,53.0,80.0,61.5
213,Adult,Female,23.0,425.0,115.0,101.0,50.0,72.0,64.0
214,Adult,Male,25.0,405.0,128.0,106.0,51.0,72.0,59.0
215,Adult,Male,18.0,310.0,127.0,100.81,49.56,71.2,55.25
216,Adult,Male,22.0,350.0,120.0,97.0,48.0,65.0,54.0
217,Adult,Female,19.0,408.0,120.92,99.06,48.84,72.47,62.73
218,Adult,Male,22.0,420.0,127.0,102.0,52.0,75.0,60.0
219,Adult,Male,40.0,390.0,124.0,98.0,49.0,72.0,56.0
220,Adult,Female,18.0,455.0,125.14,98.85,46.59,76.58,61.23
221,Adult,Female,21.0,430.0,120.79,100.0,48.33,71.29,63.17
222,Adult,Male,20.0,350.0,118.78,97.01,49.93,67.52,54.67
223,Adult,Male,14.0,333.0,122.0,98.0,45.0,73.0,55.0
224,Adult,Female,30.0,500.0,131.0,101.0,51.0,80.0,63.0
225,Juvenile,Female,5.0,50.0,60.5,46.3,20.9,31.7,27.1
226,Adult,Male,16.0,253.0,126.2,102.3,49.7,74.7,53.2
227,Adult,Female,15.0,330.0,111.0,91.0,45.0,68.0,58.0
228,Adult,Male,20.0,470.0,130.5,103.1,53.23,77.46,60.89
229,Adult,Female,20.0,500.0,139.14,99.82,49.75,75.12,72.31
230,Adult,Unknown,11.0,82.0,74.74,60.29,31.13,40.55,34.1
231,Adult,Male,20.0,320.0,115.11,93.95,45.9,69.17,56.11
232,Adult,Female,17.0,310.0,109.0,82.0,43.0,64.0,61.0
233,Adult,Male,20.0,505.0,133.59,101.46,53.78,78.78,62.23
234,Juvenile,Unknown,9.0,165.0,95.66,78.08,38.41,56.59,47.03
235,Adult,Male,25.0,360.0,127.0,98.0,48.0,71.0,58.0
236,Adult,Male,19.0,340.0,118.0,93.0,46.0,68.0,54.0
237,Adult,Male,26.0,430.0,132.0,93.0,61.0,84.0,56.0
238,Adult,Male,18.0,335.0,117.95,96.29,50.33,69.13,55.0
239,Adult,Female,12.0,200.0,97.0,79.0,39.0,55.0,47.0
240,Adult,Female,19.0,445.0,121.3,97.38,50.7,74.77,66.03
241,Adult,Female,9.0,205.0,98.0,78.0,39.0,57.0,46.0
242,Adult,Male,20.0,340.0,118.92,93.77,51.22,74.44,56.06
243,Adult,Male,23.0,400.0,123.0,102.0,53.0,80.0,60.0
244,Adult,Male,25.0,435.0,137.0,106.0,55.0,75.0,55.0
245,Adult,Male,25.0,435.0,131.0,104.0,52.0,75.0,58.0
246,Adult,Female,18.0,408.0,117.0,98.0,46.0,77.0,61.0
247,Adult,Female,15.0,445.0,120.5,97.53,51.53,74.0,60.66
248,Adult,Male,18.0,426.0,133.0,111.0,54.0,77.0,63.0
249,Adult,Male,20.0,427.0,114.0,99.0,49.0,71.0,62.0
250,Adult,Male,12.0,350.0,123.0,96.0,46.0,80.0,52.0
251,Adult,Male,26.0,430.0,132.0,93.0,61.0,84.0,56.0
252,Adult,Male,15.0,350.0,123.04,101.4,49.42,77.4,54.48
253,Adult,Male,16.0,350.0,115.27,98.15,45.72,71.22,57.63
254,Adult,Female,21.0,355.0,112.85,95.14,47.91,70.61,59.97
255,Juvenile,Male,15.0,100.0,82.0,66.0,32.0,49.0,38.0
256,Adult,Female,15.0,306.0,115.0,96.0,47.0,70.0,61.0
257,Adult,Male,20.0,380.0,125.0,92.0,46.0,73.0,59.0
258,Adult,Male,15.0,320.0,120.0,92.0,49.0,70.0,57.0
259,Adult,Male,15.0,256.0,111.0,90.0,44.0,67.0,53.0
260,Adult,Female,25.0,390.0,116.0,93.0,47.0,68.0,56.0
261,Adult,Male,10.0,250.0,105.13,90.84,46.0,71.0,55.0
262,Adult,Male,30.0,380.0,122.94,100.02,49.9,71.4,57.6
263,Hatchling,Unknown,3.0,25.0,46.0,42.0,19.0,24.0,21.0
264,Juvenile,Unknown,4.0,47.0,60.75,46.91,22.39,32.9,29.2
265,Adult,Female,20.0,395.0,128.33,100.41,51.68,74.05,57.71
266,Adult,Male,19.0,425.0,129.92,101.71,75.21,48.63,55.99
267,Adult,Male,20.0,305.0,115.68,98.33,45.52,66.1,55.47
268,Adult,Male,17.0,205.0,104.0,82.0,40.0,59.0,46.0
269,Juvenile,Unknown,3.0,65.0,69.09,60.74,27.41,37.69,34.86
270,Adult,Unknown,17.0,440.0,115.0,104.4,47.7,77.0,62.0
271,Adult,Male,9.0,225.0,109.0,86.0,42.0,64.0,46.0
272,Adult,Male,19.0,325.0,114.0,78.0,48.0,75.0,57.0
273,Adult,Female,19.0,415.0,120.78,100.75,49.99,72.13,60.58
274,Adult,Male,12.0,260.0,114.74,89.39,45.37,67.63,53.05
275,Juvenile,Unknown,4.0,70.0,66.0,57.0,29.0,40.0,31.0
276,Juvenile,Unknown,5.0,82.8,74.74,62.72,29.86,40.65,34.3
277,Adult,Male,12.0,338.0,120.67,90.29,46.4,67.43,51.93
278,Adult,Male,16.0,435.0,137.0,109.0,51.0,79.0,58.0
279,Adult,Unknown,17.0,365.0,119.12,93.51,45.52,70.79,53.87
280,Adult,Female,16.0,405.0,121.63,105.03,47.37,74.28,57.53
281,Adult,Male,17.0,405.0,130.0,100.0,50.0,75.0,57.0
282,Adult,Male,11.0,450.0,130.46,50.15,56.68,85.51,62.41
283,Adult,Male,17.0,365.0,120.0,98.0,49.0,74.0,55.0
284,Adult,Male,30.0,410.0,122.0,99.0,50.5,71.0,64.5
285,Adult,Male,22.0,390.0,122.57,104.22,47.42,71.93,56.89
286,Adult,Male,16.0,345.0,124.0,103.0,48.0,71.0,55.0
287,Adult,Female,30.0,380.0,128.0,100.0,46.0,77.0,59.0
288,Juvenile,Unknown,11.0,125.0,82.75,76.02,32.89,48.03,42.39
289,Adult,Unknown,13.0,89.0,78.69,61.91,30.27,43.71,36.54
290,Adult,Unknown,16.0,470.0,128.0,101.0,51.9,78.4,64.3
291,Adult,Female,20.0,303.0,111.0,84.0,45.5,64.5,60.8
292,Adult,Male,17.0,400.0,122.0,104.0,47.0,70.0,60.0
293,Adult,Female,12.0,348.0,111.0,95.0,46.0,70.0,62.0
294,Juvenile,Male,7.0,210.0,104.0,82.0,44.0,61.0,51.0
295,Adult,Male,17.0,250.0,101.16,88.04,43.65,64.21,54.94
296,Adult,Male,20.0,350.0,121.0,97.0,48.0,77.0,55.0
297,Adult,Female,17.0,330.0,113.93,96.73,47.85,66.74,51.99
298,Adult,Male,21.0,375.0,120.0,102.0,46.0,67.0,55.0
299,Adult,Female,20.0,390.0,122.0,102.0,48.0,73.0,57.0
300,Adult,Male,12.0,165.0,98.7,76.2,41.25,56.13,45.56
301,Adult,Male,20.0,375.0,120.87,101.86,50.37,69.36,58.5
302,Juvenile,Female,7.0,83.0,73.0,58.0,29.0,43.0,38.0
303,Adult,Male,20.0,350.0,120.81,96.16,49.45,68.26,53.71
304,Adult,Male,30.0,365.0,117.0,97.0,47.0,71.0,61.0
305,Adult,Male,15.0,335.0,124.33,97.66,54.33,83.55,61.37
306,Adult,Male,12.0,363.0,124.0,99.0,53.0,70.0,56.0
307,,,39.63837334511077,,,,,,
308,,,32.70614543145891,,,,,,
309,,,13.352317114893989,,,,,,
310,,,19.873045817804027,,,,,,
311,,,12.063059258163392,,,,,,
312,,,43.542306149604464,,,,,,
313,,,45.75608891948256,,,,,,
314,,,16.955482773460222,,,,,,
315,,,32.620071395729,,,,,,
316,,,49.13705806562826,,,,,,
317,,,38.876746004276065,,,,,,
318,,,17.080252609939354,,,,,,
319,,,26.06526640589703,,,,,,
320,,,32.90450684868721,,,,,,
321,,,22.286631278734063,,,,,,
322,,,45.440088060118576,,,,,,
323,,,34.59189616049983,,,,,,
324,,,54.51066041042709,,,,,,
325,,,33.612463544011966,,,,,,
326,,,29.118533706143026,,,,,,
327,,,19.222618725635243,,,,,,
328,,,20.854765008832675,,,,,,
329,,,36.628581368248206,,,,,,
330,,,35.50212579951877,,,,,,
331,,,11.665271346437473,,,,,,
332,,,38.502059026253214,,,,,,
333,,,41.62185436801562,,,,,,
334,,,33.93717993344544,,,,,,
335,,,11.084603975417284,,,,,,
336,,,39.70958734472509,,,,,,
337,,,32.70707052578261,,,,,,
338,,,34.4382639945997,,,,,,
339,,,48.6800232319977,,,,,,
340,,,8.3987712670572,,,,,,
341,,,31.98566211621233,,,,,,
342,,,35.24121509672098,,,,,,
343,,,38.07396441237461,,,,,,
344,,,32.65365368316232,,,,,,
345,,,28.404236329405915,,,,,,
346,,,36.58973989159483,,,,,,
347,,,23.614386339390528,,,,,,
348,,,42.0162319173249,,,,,,
349,,,4.332190222558893,,,,,,
350,,,32.22343678508957,,,,,,
351,,,36.461977480775026,,,,,,
352,,,38.134072542800745,,,,,,
353,,,30.83808468436834,,,,,,
354,,,25.60453769399901,,,,,,
355,,,43.219466775976464,,,,,,
356,,,20.84447150148603,,,,,,
