date,state,death
2021-03-01,KS,4743
2021-03-01,KY,4652
2021-03-01,LA,9628
2021-03-01,MA,16144
2021-03-01,MD,7879
2021-03-01,ME,703
2021-03-01,MI,16519
2021-03-01,MN,6486
2021-03-01,MO,7919
2021-03-01,MP,2
2021-03-01,MS,6681
2021-03-01,MT,1357
2021-03-01,NC,11254
2021-03-01,ND,1475
2021-03-01,NE,2082
2021-03-01,NH,1170
2021-03-01,NJ,23273
2021-03-01,NM,3729
2021-03-01,NV,4957
2021-03-01,NY,38577
2021-03-01,OH,17346
2021-03-01,OK,4478
2021-03-01,OR,2208
2021-03-01,PA,24026
2021-03-01,PR,2037
2021-03-01,RI,2517
2021-03-01,SC,8562
2021-03-01,SD,1888
2021-03-01,TN,11421
2021-03-01,TX,42995
2021-03-01,UT,1940
2021-03-01,VA,8783
2021-03-01,VI,25
2021-03-01,VT,205
2021-03-01,WA,4956
2021-03-01,WI,7014
2021-03-01,WV,2300
2021-03-01,WY,671
