date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-02-25,NC,11137,9856,63,1281,,,1498,0,,373,,0,,,,,,852981,745214,3351,0,,,,,,,,0,9361775,51032,,741362,,,,0,9361775,51032
2021-02-24,NC,11074,9804,109,1270,,,1530,0,,380,,0,,,,,,849630,742766,3346,0,,,,,,,,0,9310743,27606,,729784,,,,0,9310743,27606
2021-02-23,NC,10965,9718,31,1247,,,1563,0,,384,,0,,,,,,846284,740772,1514,0,,,,,,,,0,9283137,20738,,718636,,,,0,9283137,20738
2021-02-22,NC,10934,9691,8,1243,,,1567,0,,383,,0,,,,,,844770,739768,2133,0,,,,,,,,0,9262399,35699,,714035,,,,0,9262399,35699
2021-02-21,NC,10926,9683,30,1243,,,1647,0,,402,,0,,,,,,842637,737992,2541,0,,,,,,,,0,9226700,34955,,710973,,,,0,9226700,34955
2021-02-20,NC,10896,9655,76,1241,,,1708,0,,409,,0,,,,,,840096,735879,3446,0,,,,,,,,0,9191745,41747,,704644,,,,0,9191745,41747
2021-02-19,NC,10820,9595,54,1225,,,1780,0,,411,,0,,,,,,836650,733964,3227,0,,,,,,,,0,9149998,44322,,686193,,,,0,9149998,44322
2021-02-18,NC,10766,9554,96,1212,,,1892,0,,436,,0,,,,,,833423,731595,3916,0,,,,,,,,0,9105676,47256,,678996,,,,0,9105676,47256
2021-02-17,NC,10670,9482,108,1188,,,1954,0,,446,,0,,,,,,829507,728776,3167,0,,,,,,,,0,9058420,22102,,669667,,,,0,9058420,22102
2021-02-16,NC,10562,9392,61,1170,,,1958,0,,473,,0,,,,,,826340,726761,1988,0,,,,,,,,0,9036318,21872,,662764,,,,0,9036318,21872
2021-02-15,NC,10501,9345,10,1156,,,1941,0,,471,,0,,,,,,824352,725385,2458,0,,,,,,,,0,9014446,31628,,657215,,,,0,9014446,31628
2021-02-14,NC,10491,9337,38,1154,,,1989,0,,481,,0,,,,,,821894,723162,3170,0,,,,,,,,0,8982818,46585,,653807,,,,0,8982818,46585
2021-02-13,NC,10453,9306,77,1147,,,2101,0,,496,,0,,,,,,818724,720453,4130,0,,,,,,,,0,8936233,46903,,649506,,,,0,8936233,46903
2021-02-12,NC,10376,9254,82,1122,,,2151,0,,506,,0,,,,,,814594,717498,4128,0,,,,,,,,0,8889330,60115,,639481,,,,0,8889330,60115
2021-02-11,NC,10294,9189,113,1105,,,2185,0,,516,,0,,,,,,810466,714012,4568,0,,,,,,,,0,8829215,55752,,632433,,,,0,8829215,55752
2021-02-10,NC,10181,9107,135,1074,,,2291,0,,540,,0,,,,,,805898,710653,3833,0,,,,,,,,0,8773463,29670,,618482,,,,0,8773463,29670
2021-02-09,NC,10046,9002,55,1044,,,2374,0,,558,,0,,,,,,802065,708165,2786,0,,,,,,,,0,8743793,24241,,612328,,,,0,8743793,24241
2021-02-08,NC,9991,8958,8,1033,,,2339,0,,559,,0,,,,,,799279,705950,3084,0,,,,,,,,0,8719552,40452,,607292,,,,0,8719552,40452
2021-02-07,NC,9983,8951,57,1032,,,2378,0,,584,,0,,,,,,796195,703244,4674,0,,,,,,,,0,8679100,52994,,602161,,,,0,8679100,52994
2021-02-06,NC,9926,8901,85,1025,,,2468,0,,591,,0,,,,,,791521,699321,4172,0,,,,,,,,0,8626106,54563,,598343,,,,0,8626106,54563
2021-02-05,NC,9841,8838,113,1003,,,2523,0,,599,,0,,,,,,787349,696096,5547,0,,,,,,,,0,8571543,60695,,590881,,,,0,8571543,60695
2021-02-04,NC,9728,8753,150,975,,,2630,0,,630,,0,,,,,,781802,692010,5495,0,,,,,,,,0,8510848,58946,,580959,,,,0,8510848,58946
2021-02-03,NC,9578,8630,169,948,,,2706,0,,635,,0,,,,,,776307,687750,12079,0,,,,,,,,0,8451902,29042,,571413,,,,0,8451902,29042
2021-02-02,NC,9409,8503,67,906,,,2741,0,,645,,0,,,,,,764228,682726,2926,0,,,,,,,,0,8422860,21451,,527866,,,,0,8422860,21451
2021-02-01,NC,9342,8448,7,894,,,2781,0,,636,,0,,,,,,761302,680446,3776,0,,,,,,,,0,8401409,45291,,524653,,,,0,8401409,45291
