,xDom,yDom,class
191,79.9992382765,59.175841746,B
192,93.5344982579,62.6201222967,A
193,92.7977645429,66.8446741844,A
194,84.8586450136,60.9915930232,C
195,64.5990851325,80.1799645104,A
196,75.3736337757,57.2930168542,B
197,54.1447031009,67.7831943876,C
198,73.4023915374,78.1216418974,A
199,66.8254388648,88.4821088972,A
200,61.2048295417,62.8254138244,B
201,67.8374165192,60.2081988093,B
202,79.9593173964,105.5032904334,C
203,86.686163736,54.6710356101,A
204,77.6127533937,88.3193630469,C
205,67.8266620189,66.7286635688,B
206,73.9635651496,84.1128035144,B
207,73.5703658236,69.8375441988,C
208,56.7579435516,69.7550634322,C
209,90.2792136398,69.8088533477,A
210,69.9212792546,101.1936857641,B
211,62.4913209523,67.5729195066,B
212,60.5294621262,64.1742474538,B
213,102.4328885357,60.4822876846,A
214,78.1354554233,76.0672087988,A
215,75.5173545163,70.4945452487,B
216,59.2136460376,89.9414605328,B
217,81.5917994284,70.0525798626,B
218,77.2410335831,73.5118200794,A
219,63.5413952793,72.7479950794,B
220,55.5268350833,63.1370173031,C
221,97.5849165257,69.5747771579,C
222,77.8454592115,76.9058507905,C
223,66.4817687164,70.5264382802,B
224,80.7992866739,96.8970174603,A
225,56.7725242841,55.3033467676,B
226,64.4055277426,84.1454049195,A
227,73.4115993394,65.2408682654,B
228,49.4502534191,64.1290766893,B
229,57.7452559507,64.8490719706,B
230,105.8228022821,64.9131350658,A
231,70.2694175523,60.3396560063,B
232,83.6288976105,58.971105074,C
233,103.1212559161,71.585680494,A
234,68.5337994839,81.4405878141,A
235,83.8508650237,96.2909952909,B
236,76.6720818947,60.2787080188,A
237,78.8106982136,71.6822967868,B
238,67.4677624963,63.6465991251,B
239,83.0535461483,51.1148772119,A
240,72.3828326818,57.7428081074,B
241,69.398432275,98.7777203822,A
242,52.9052182771,71.4890028338,C
243,58.6953210637,73.1666212917,B
244,82.3251471584,76.7621247818,C
245,92.9997385463,80.170984123,B
246,84.6006777052,78.0885397079,A
247,81.8817653267,54.3433652702,C
248,73.2919475977,63.0108028832,A
249,69.627566014,81.7693991666,B
250,79.0340433069,98.8066865771,C
251,50.9785948541,58.1180754261,C
252,99.5548138724,63.2865809923,B
253,88.2860130822,68.0074035823,A
254,95.9267779445,67.3250567691,A
255,83.618767895,77.4975911959,C
256,65.3886951397,52.7028093311,C
257,74.3116549376,81.3711674898,C
258,86.4038717201,52.7029506383,C
259,77.935037766,56.3146309773,A
260,69.1542900213,78.3347605607,A
261,67.5052070506,68.854779434,A
262,67.0508376402,67.099335453,C
263,95.4357235756,49.7230576674,B
264,62.1196579749,65.3564132739,B
265,76.3913645678,80.7183446517,A
266,64.3961568444,84.811807366,C
267,69.2094289938,65.4243254494,B
268,70.5977191074,97.0106080773,A
269,82.5785119223,62.2821760528,B
270,63.9755160717,78.8888489807,A
271,77.8661178291,76.9429707127,C
272,62.4952170012,85.9112566688,C
273,56.968172111,52.894745572,C
274,48.7825457783,62.9015773763,B
275,80.6373676924,98.3046839611,A
276,60.6779728569,95.7448319845,A
277,84.2672679371,101.2914187839,B
278,62.3842252741,76.976852288,A
279,60.0907631301,95.1499985098,B
280,65.7001256607,95.6254329189,A
281,75.468193101,90.9527178851,A
282,73.3668999972,92.6731508364,C
283,92.8205315237,74.3873364634,A
284,84.6655591919,52.948488243,A
285,64.9021000679,91.4345612254,B
286,77.6617735403,79.5717734663,A
287,81.8625854,60.6404691052,A
288,70.578839115,58.1812590144,B
289,68.1040174636,92.7611018166,C
290,78.7470062557,77.1815669664,C
291,55.0265944607,68.4293066873,B
292,97.4926568662,73.4226213477,A
293,75.2479745608,92.3781651718,A
294,94.9724061618,51.891502231,B
295,76.7376088222,97.887746433,C
296,62.2087414748,65.838954638,B
297,79.8990033866,89.589569886,A
298,79.8267815163,76.7921202666,C
299,79.3020607589,70.6517548545,A
300,66.5343482067,61.2249497784,B
301,101.6561871884,57.6914092482,A
302,54.8854937584,53.1975117275,B
303,84.7627434827,56.0004313595,A
304,90.4757399247,73.1892899205,B
305,93.4112393804,49.7973394297,A
306,79.0443030224,67.3057839983,A
307,78.92294118,81.5455675552,B
308,85.4122243202,101.06535766,A
309,63.827623796,74.8052942891,B
310,83.785773845,65.4976262848,C
311,92.2260296417,50.2211246781,A
312,61.2836514699,76.0906356828,C
313,69.3728913423,85.6810847841,A
314,66.9162179342,55.4222966387,A
315,101.5507696198,63.5360442373,B
316,85.1452159499,56.9108183673,C
317,79.9398230482,86.0104743619,B
318,73.1502878094,68.1832049653,B
319,64.8597844383,87.2768048601,A
320,72.820258997,100.1965445961,C
321,80.785740018,91.4784651556,C
322,71.7320240759,69.93357418,B
323,99.277719303,77.371197964,A
324,104.4558331949,63.3566415672,B
325,105.5484905219,67.9979821232,C
326,75.3349003928,80.9148609914,A
327,99.9586277138,74.1931199044,A
328,83.324796434,103.5962578922,A
329,93.5898680036,65.0977794666,A
330,65.9305840928,61.7928394874,B
331,73.3014472295,61.8437181658,A
332,57.0745515746,55.9386814487,C
333,68.8317888348,65.7338785496,A
334,79.1884051613,81.2809665615,C
335,92.5849927489,59.8741396943,A
336,82.4908782173,99.485245479,A
337,100.6688510861,69.3651775157,A
338,101.7181327591,58.8526421918,A
339,93.8177860014,63.059365793,A
340,99.5268046836,57.7675749587,B
341,48.6858207473,62.8923375226,B
342,65.1184158743,88.4404412751,A
343,93.2032451854,75.7430315957,C
344,70.0363720375,95.9991128245,C
345,73.5239937414,64.2436036923,C
346,102.569742003,59.9243823696,B
347,70.744603581,94.7309728897,A
348,56.6700078667,75.8810190422,B
349,82.3627086983,66.0327580715,A
350,63.7650165835,88.9655317514,A
351,69.2295814154,83.3485918098,B
352,61.3498051082,73.2075990701,B
353,67.5765125353,55.0615185995,B
354,84.8882407219,84.6936844402,A
355,91.8873984544,73.5049164677,A
356,65.6823976295,70.7842487099,A
357,73.9011672111,65.9233536356,B
358,77.688828349,55.0250776877,A
359,76.897834471,81.9967029592,A
360,74.0619748923,68.1033273048,B
361,96.2903839123,74.9150640195,A
362,67.5976403016,64.6801496506,B
363,60.964045977,74.5061151711,B
364,70.3250352616,68.4444938823,B
365,76.8633041392,99.4508455682,C
366,60.5623897711,74.3858429134,B
367,92.1930918729,64.9407319234,B
368,74.7621731358,88.4655226841,A
369,75.9753843706,64.8071192049,A
370,84.0938111501,101.3117633745,B
371,56.635037743,57.4335944553,C
372,62.1786136655,97.1523212271,A
373,82.0678363507,78.047776096,A
374,61.5527617339,56.394463307,A
375,60.0898774774,90.3522645055,C
376,84.7018798878,53.0730408705,A
377,87.0781774236,79.6993711953,A
378,72.4751545717,103.8942908536,B
379,55.9453750967,64.7523177678,B
380,88.6550705963,60.0208011312,A
381,97.968273245,66.7451839599,C
382,54.4106900605,57.8428342278,A
383,84.7713523247,78.491535935,B
384,63.5734360332,71.7586406886,B
385,85.0668628096,68.4886973852,B
386,77.8260526902,104.3071029905,C
387,91.5527252511,76.1353314881,B
388,63.5254668567,93.9562353119,A
389,62.7392314845,99.7091870259,A
390,52.2426336851,75.3056831981,C
391,65.3396389057,93.8187410038,A
392,49.3725320338,61.6437264386,B
393,64.2783314955,65.2657641455,A
394,69.3188615418,72.1590542797,B
395,62.0063582414,60.4260041763,C
396,79.9958209646,77.0716851143,B
397,88.3718888406,69.197209798,A
398,47.6886697786,67.9658551385,B
399,70.9531746285,57.735013796,A
400,48.235157805,67.9062834729,B
401,91.714182496,74.1785878942,A
402,60.6625339869,53.6930091266,B
403,82.6361654345,83.5021972855,C
404,69.8656128052,70.2107053608,C
405,79.9046078203,61.2578683985,A
406,67.1990343057,78.4068698587,A
407,101.7316022362,72.8996405178,B
408,85.8142984946,81.4821018781,C
409,54.7728718826,61.448398145,B
410,74.2499470524,80.0432696205,C
411,68.1197560857,81.7723429798,B
412,83.1831336049,88.3582311552,A
413,58.7665037814,73.9637416281,B
414,83.5230630783,97.3853570308,A
415,67.5187153598,61.7635584781,C
416,100.064623995,68.3996510037,A
417,50.5950218203,61.8626826912,B
418,79.5909825812,71.6963647135,A
419,63.5005460174,74.0162780886,A
420,70.0164383966,104.1965738825,A
421,91.7940209835,76.8138046178,B
422,60.7290341485,75.6441061749,B
423,61.7939510107,83.1330816371,C
424,76.5264345866,84.8675549038,C
425,87.0478700088,96.3015857992,B
426,88.0867973896,88.0413576246,C
427,73.0307690728,81.8284025639,C
428,60.6417186489,54.4613286253,C
429,85.796216472,80.3260329444,C
430,85.2973639433,76.12919391,C
431,79.6163149299,101.6784981243,A
432,91.0873864136,75.9136947969,A
433,77.2709696166,75.4436766258,C
434,89.5067925104,60.7112388422,A
435,83.4723040465,79.8878051485,A
436,78.6453519901,73.5871064577,A
437,55.0991132163,63.930741066,B
438,54.1289143173,74.492851052,B
439,75.8557541192,81.8901248551,C
440,84.7877050994,98.5355416232,A
441,80.0174705148,75.2131177827,A
442,64.3705324654,67.1153957643,B
443,55.0543419638,58.0323945303,B
444,49.090154017,69.0634869322,C
445,71.8285316391,71.3396411088,C
446,86.0890517291,89.1026333588,A
447,83.0488839841,77.3475132187,A
448,96.3317514767,57.8758158212,A
449,66.2323837891,52.5921043187,B
450,93.1557273681,55.3981170205,A
451,83.7571285116,84.3721441203,B
452,59.2766894697,66.1048805413,A
453,49.4960983413,67.6422532207,C
454,69.6049579305,58.4723530316,B
455,97.4599246036,74.7628925333,A
456,63.153773146,94.1876846819,B
457,68.7493643473,80.3028438824,C
458,66.4800692745,69.0650532412,B
459,68.4985651424,103.7247027945,C
460,101.4950183197,53.8757155479,A
461,50.5304894469,73.8590017386,A
462,81.1106376907,49.9809662611,C
463,60.3233714627,88.6736728001,A
464,73.4701789163,103.0212002502,A
465,48.6149663519,69.6140677169,C
466,83.6457647278,98.1175834917,A
467,94.4494169844,65.036527885,C
468,63.2507478193,61.7752589211,A
469,77.9037664217,60.4792034468,B
470,69.3474561328,94.4524031414,A
471,86.1002149751,91.1708701518,C
472,68.8305393711,70.1510630856,A
473,73.994955239,100.3765613195,C
474,63.0580283342,52.7710830571,B
475,76.9735985409,91.2433535624,A
476,64.946075995,81.8492383164,C
477,68.0101109731,78.7026038956,C
478,99.2849937822,59.9451726056,A
479,56.8445898928,51.6343051625,B
480,86.3990198098,67.9921285299,A
481,76.5247282001,72.8294911503,A
482,88.4970865294,75.6844546261,A
483,49.8864467113,71.3131854684,B
484,84.0829669756,48.938467046,A
485,79.4399966663,86.7316503614,B
486,73.0760298571,65.2772266587,B
487,51.5910757724,73.4384941048,A
488,104.1770435164,68.4219027536,A
489,69.7415182191,75.9453684043,C
490,72.6032022389,67.9446154813,B
491,81.8811055689,93.1211742912,B
492,87.3564712576,48.6947608483,A
493,88.2522762444,69.0408447399,A
494,53.3848950288,69.9417743066,B
495,75.8815592488,87.0691728908,B
496,68.2815358538,87.621411958,B
497,63.3554788142,68.4727088097,C
498,83.5445792418,64.7735252912,C
499,90.9940907978,64.6703095108,C
500,91.6345079744,77.5451816806,A
501,91.4508867491,77.1927472717,C
502,74.190473865,95.5748553042,C
503,78.4009241223,80.4077323007,A
504,66.5988174528,61.4882078419,B
505,70.9424352638,98.8762308541,C
506,70.7466876235,67.5895114112,B
507,71.4227105749,64.8499123559,B
508,84.8752696143,96.5137451372,C
509,79.7742020256,54.9391764674,B
510,60.7738114447,52.375859212,B
511,84.6898170294,63.2265601768,A
512,73.7921425871,79.6070489682,B
513,89.1962971037,72.1858599328,C
514,62.3637587792,75.2562504753,B
515,47.770070866,60.6789306026,B
516,56.5257069812,73.6061618674,A
517,64.475497965,77.9697580461,B
518,101.8617772969,75.2134553703,A
519,100.3537782264,54.4024558443,B
520,60.2691247143,74.9814245291,A
521,54.4865492832,68.2269346348,B
522,63.4762938062,68.6498681592,A
523,99.2457352115,68.5906126667,A
524,86.1249385436,79.2486687527,B
525,57.4934598045,63.6924908122,B
526,57.5397184886,66.6593432514,B
527,63.704263384,82.6731572875,C
528,70.730834395,87.9061357086,B
529,56.9285632869,56.1511422663,B
530,73.2282550686,79.0167588071,C
531,61.7434216709,93.9975586762,A
532,101.1830053335,72.0054433476,A
533,105.6982607431,61.2856371706,A
534,97.8642657354,52.3242949524,B
535,83.1791646167,73.0314779482,A
536,101.4661535359,58.4043333649,B
537,59.8602324774,78.2171064672,B
538,74.8480671104,93.8340650766,A
539,92.2654311252,62.0896477295,C
540,100.3472569406,70.5263396844,A
541,89.217529255,89.5946779821,C
542,81.8518405811,86.829139755,A
543,95.9424143221,60.2610703377,C
544,86.3959158342,51.6029849169,A
545,67.6101270169,73.464518502,B
546,63.4293056434,79.8545266588,B
547,83.5116908386,69.6388924329,A
548,53.9812282656,57.9898193044,B
549,75.3449731723,58.8230363147,A
550,91.5733470209,58.2555041833,A
551,52.5108790859,70.4057203654,B
552,85.0913535793,98.8165858561,B
553,62.0136317815,63.6897763618,C
554,61.4368133923,66.6697468609,B
555,78.6964897253,96.2788249109,A
556,69.7301723887,86.5328749583,B
557,59.2093556157,59.6297762193,C
558,76.2173294334,80.0017717106,C
559,91.7845944822,57.9758474125,A
560,75.5995551647,97.9328022591,A
561,90.8136037963,55.1017831028,B
562,67.0450376844,102.4543457306,A
563,70.5041852495,100.5579678042,A
564,93.7910442995,69.7244553619,A
565,53.0464875223,73.6858689273,B
566,93.4729952595,68.8034651654,C
567,78.9919469739,74.6490353728,C
568,83.3466216428,50.5291368612,B
569,72.7986709652,105.26944811,C
570,68.433061614,53.5935219202,C
571,59.4676526175,92.1418632852,C
572,68.8536123671,77.3464626849,B
573,87.3250088121,59.6127969095,A
574,84.8830825306,93.5887163915,A
575,62.4760097896,61.057599761,B
576,73.1303166937,85.0322290545,A
577,76.5997419432,104.2172372454,A
578,96.8806440617,76.5580882743,A
579,53.9444186878,63.523507013,A
580,72.0512349159,98.3014284015,A
581,73.1983096327,101.3900343682,C
582,88.1819381115,91.8425792532,C
583,92.2065461806,62.2221524771,A
584,79.3370006172,104.8232458571,A
585,83.0640792781,56.6747227888,C
586,70.5514445565,62.1065133185,B
587,69.7460507708,78.9630738229,C
588,87.2721497385,93.5371136635,B
589,74.3374026285,65.5808201623,B
590,83.840437885,78.0417308871,A
591,63.7066854293,96.586220432,B
592,67.0471033017,87.013550775,A
593,96.6667851378,57.6391567768,B
594,94.7231430906,61.7062888514,C
595,61.3609056871,60.1270269815,C
596,88.9890875269,69.1077971288,C
597,84.2464618103,50.4739879486,A
598,82.9399433841,82.5666002629,C
599,101.0,68.0,B
600,91.0,72.0,B
601,77.0,51.0,C
602,91.0,75.0,C
603,103.0,64.0,A
604,69.0,88.0,B
605,87.0,56.0,A
606,64.0,67.0,A
607,51.0,80.0,C
608,67.0,57.0,C
609,58.0,56.0,A
610,94.0,94.0,C
611,51.0,78.0,C
612,91.0,52.0,A
613,62.0,69.0,C
614,58.0,67.0,A
615,80.0,56.0,C
616,69.0,91.0,A
617,75.0,94.0,B
618,84.0,58.0,B
619,98.0,56.0,B
620,93.0,72.0,A
621,81.0,52.0,A
622,93.0,79.0,B
623,77.0,80.0,A
624,100.0,64.0,A
625,61.0,62.0,C
626,78.0,77.0,B
627,66.0,83.0,B
628,97.0,71.0,A
629,69.0,93.0,B
630,103.0,63.0,C
631,60.0,79.0,B
632,76.0,86.0,C
633,79.0,101.0,C
634,58.0,64.0,A
635,89.0,84.0,A
636,98.0,102.0,B
637,77.0,68.0,B
638,84.0,76.0,A
639,98.0,102.0,A
640,57.0,50.0,A
641,93.0,66.0,B
642,72.0,90.0,B
643,59.0,104.0,B
644,61.0,91.0,B
645,56.0,94.0,A
646,63.0,100.0,C
647,81.0,102.0,A
648,78.0,65.0,A
649,96.0,84.0,A
650,69.0,103.0,B
651,87.0,92.0,C
652,91.0,53.0,C
653,74.0,66.0,B
654,76.0,53.0,A
655,73.0,104.0,A
656,57.0,62.0,C
657,62.0,104.0,C
658,73.0,75.0,B
659,52.0,69.0,B
660,104.0,99.0,A
661,73.0,100.0,B
662,62.0,91.0,B
663,66.0,71.0,B
664,61.0,80.0,C
665,68.0,94.0,C
666,69.0,82.0,A
667,91.0,89.0,C
668,91.0,86.0,A
669,84.0,64.0,A
670,100.0,98.0,A
671,65.0,54.0,A
672,87.0,77.0,A
673,97.0,88.0,C
674,61.0,103.0,C
675,81.0,102.0,C
676,74.0,57.0,B
677,104.0,62.0,C
678,54.0,100.0,C
679,68.0,56.0,C
680,89.0,54.0,B
681,90.0,56.0,A
682,100.0,62.0,B
683,94.0,89.0,A
684,78.0,104.0,B
685,57.0,78.0,B
686,88.0,50.0,A
687,76.0,88.0,C
688,77.0,103.0,B
689,83.0,98.0,C
690,81.0,78.0,A
691,101.0,60.0,A
692,81.0,95.0,A
693,80.0,85.0,C
694,88.0,104.0,B
695,89.0,87.0,B
696,68.0,72.0,C
697,86.0,68.0,C
698,83.0,74.0,B
699,68.0,96.0,B
700,57.0,58.0,C
701,82.0,52.0,A
702,85.0,74.0,C
703,64.0,90.0,C
704,56.0,97.0,C
705,104.0,92.0,C
706,84.0,93.0,B
707,52.0,70.0,C
708,101.0,95.0,C
709,88.0,102.0,C
710,57.0,54.0,C
711,51.0,76.0,A
712,87.0,59.0,B
713,97.0,75.0,B
714,99.0,85.0,A
715,64.0,82.0,C
716,73.0,68.0,A
717,79.0,104.0,B
718,102.0,92.0,A
719,102.0,57.0,C
720,65.0,70.0,A
721,58.0,67.0,B
722,65.0,92.0,A
723,86.0,51.0,B
724,80.0,50.0,C
725,64.0,98.0,C
726,86.0,53.0,A
727,55.0,61.0,B
728,79.0,81.0,B
