xDom,yDom,class
83.4395030227,93.9734301019,C
60.7854222079,71.2434458708,B
76.6798310986,88.0025569101,B
74.8914894184,83.8954582021,B
83.0760692337,75.6788108265,A
75.2478445558,79.3034265461,B
78.3215822731,76.2995940099,A
79.5624931163,73.9186928792,B
67.2445919631,75.4353656225,C
64.7364566981,74.3780620988,B
92.6484908958,77.0954953539,C
61.6533564177,73.7285827764,B
54.5848106433,74.7860199465,B
65.9449161566,74.2487880077,C
72.5876048428,103.6463408979,C
61.5736176208,87.6617789467,A
69.7261597222,70.5983364398,B
70.8866020206,103.8293611109,A
68.1216657624,68.6436429750,B
54.9507611778,52.2721668426,B
95.9644410908,75.5717429498,A
83.9994845978,101.5203399546,A
98.2471048600,55.9076698333,A
84.6633195204,80.6380267972,A
77.4360834699,100.2767801014,B
63.5178277897,67.4784432381,C
102.3620700721,75.0005681831,C
67.1871009177,57.9654614206,C
83.4014522355,78.5784859828,C
104.1242128318,58.1175586461,A
96.7023804436,52.6742706634,A
58.6793828472,50.9814117575,A
76.6291796796,76.4140524700,C
65.7121623789,90.1130735885,A
60.7836499902,72.4846185138,B
77.9417153829,76.2641007662,C
84.7822116912,97.8038025780,C
87.3689749429,83.9804454856,C
70.1534587468,62.7412061648,C
69.6542103266,81.8922150526,A
74.4171010502,99.8013710280,B
50.8099724161,61.9013852652,A
91.6456908779,76.9441980116,B
63.7961413494,74.9235854021,A
58.4904365244,54.2029444774,B
69.8437560537,61.7351404188,B
57.4990922542,58.4018496658,B
50.6197018567,65.4548308391,B
90.4097611435,90.0513291975,A
59.2977866286,53.5815077257,B
86.6612744059,48.5905518249,A
60.2792135183,52.2258742771,A
71.0136045665,58.0509572327,B
86.3068771851,97.0465527513,B
88.2149169262,71.0446327418,A
63.6328366020,96.7614263100,C
66.6902643614,55.3406543830,B
81.6964886276,77.2937204620,B
96.7692637057,54.3293261181,C
72.7457826146,61.4402994773,B
56.2185749380,67.9746537029,B
83.1038123145,54.2718852733,B
77.5799277644,64.1939838528,C
73.6111853101,70.0367749586,A
81.4632504879,69.8774123369,A
63.9326655346,55.0083579360,B
59.0203034621,69.7920833994,B
63.9399474954,71.3608527963,B
101.2914085832,64.8999448362,B
88.5969772580,76.0209775552,C
62.9506063684,64.7224066909,B
81.8818501186,82.9099235470,A
71.1998966215,69.5748817347,A
56.6895068713,67.3545211533,C
90.0366745937,71.9571372171,A
77.4585081488,90.0013588278,C
69.2340864280,69.8235362312,B
105.6669793497,61.8398550221,C
58.5566366698,65.0561946605,B
65.3012109660,54.4556914468,C
84.3891411841,64.0022511342,A
52.7065555558,57.4142320571,B
84.0495912601,99.9173226153,C
64.9038122542,73.0877702119,B
90.5992102061,71.9798937884,B
75.9126347478,86.0143928869,C
65.1823041576,61.1589666152,B
68.6977104689,83.7065108969,A
69.3520083668,79.0033923779,B
75.1922773601,94.9934227056,A
80.3081459706,57.5391619077,A
82.0572241631,70.1458359665,A
52.0762641317,54.3196736940,C
72.5718194020,69.0877255387,B
96.2700157402,68.2508562598,B
61.9551527209,63.1570675546,B
71.6629031175,100.4602981146,A
64.3659961363,59.6523064015,B
72.9397911674,69.5887048707,B
80.3744663002,93.4853745678,C
91.0844206791,62.0809546520,A
83.6138314120,100.2931189897,B
62.1599484114,58.8096607970,C
82.6729437312,92.9699845927,A
94.8550469989,78.1962323881,A
67.2446956604,94.8560758605,A
79.9992382765,59.1758417460,B
93.5344982579,62.6201222967,A
92.7977645429,66.8446741844,A
84.8586450136,60.9915930232,C
64.5990851325,80.1799645104,A
75.3736337757,57.2930168542,B
54.1447031009,67.7831943876,C
73.4023915374,78.1216418974,A
66.8254388648,88.4821088972,A
61.2048295417,62.8254138244,B
67.8374165192,60.2081988093,B
79.9593173964,105.5032904334,C
86.6861637360,54.6710356101,A
77.6127533937,88.3193630469,C
67.8266620189,66.7286635688,B
73.9635651496,84.1128035144,B
73.5703658236,69.8375441988,C
56.7579435516,69.7550634322,C
90.2792136398,69.8088533477,A
69.9212792546,101.1936857641,B
62.4913209523,67.5729195066,B
60.5294621262,64.1742474538,B
102.4328885357,60.4822876846,A
78.1354554233,76.0672087988,A
75.5173545163,70.4945452487,B
59.2136460376,89.9414605328,B
81.5917994284,70.0525798626,B
77.2410335831,73.5118200794,A
63.5413952793,72.7479950794,B
55.5268350833,63.1370173031,C
97.5849165257,69.5747771579,C
77.8454592115,76.9058507905,C
66.4817687164,70.5264382802,B
80.7992866739,96.8970174603,A
56.7725242841,55.3033467676,B
64.4055277426,84.1454049195,A
73.4115993394,65.2408682654,B
49.4502534191,64.1290766893,B
57.7452559507,64.8490719706,B
105.8228022821,64.9131350658,A
70.2694175523,60.3396560063,B
83.6288976105,58.9711050740,C
103.1212559161,71.5856804940,A
68.5337994839,81.4405878141,A
83.8508650237,96.2909952909,B
76.6720818947,60.2787080188,A
78.8106982136,71.6822967868,B
67.4677624963,63.6465991251,B
83.0535461483,51.1148772119,A
72.3828326818,57.7428081074,B
69.3984322750,98.7777203822,A
52.9052182771,71.4890028338,C
58.6953210637,73.1666212917,B
82.3251471584,76.7621247818,C
92.9997385463,80.1709841230,B
84.6006777052,78.0885397079,A
81.8817653267,54.3433652702,C
73.2919475977,63.0108028832,A
69.6275660140,81.7693991666,B
79.0340433069,98.8066865771,C
50.9785948541,58.1180754261,C
99.5548138724,63.2865809923,B
88.2860130822,68.0074035823,A
95.9267779445,67.3250567691,A
83.6187678950,77.4975911959,C
65.3886951397,52.7028093311,C
74.3116549376,81.3711674898,C
86.4038717201,52.7029506383,C
77.9350377660,56.3146309773,A
69.1542900213,78.3347605607,A
67.5052070506,68.8547794340,A
67.0508376402,67.0993354530,C
95.4357235756,49.7230576674,B
62.1196579749,65.3564132739,B
76.3913645678,80.7183446517,A
64.3961568444,84.8118073660,C
69.2094289938,65.4243254494,B
70.5977191074,97.0106080773,A
82.5785119223,62.2821760528,B
63.9755160717,78.8888489807,A
77.8661178291,76.9429707127,C
62.4952170012,85.9112566688,C
56.9681721110,52.8947455720,C
48.7825457783,62.9015773763,B
80.6373676924,98.3046839611,A
60.6779728569,95.7448319845,A
84.2672679371,101.2914187839,B
62.3842252741,76.9768522880,A
60.0907631301,95.1499985098,B
65.7001256607,95.6254329189,A
75.4681931010,90.9527178851,A
73.3668999972,92.6731508364,C
92.8205315237,74.3873364634,A
84.6655591919,52.9484882430,A
64.9021000679,91.4345612254,B
77.6617735403,79.5717734663,A
81.8625854000,60.6404691052,A
70.5788391150,58.1812590144,B
68.1040174636,92.7611018166,C
78.7470062557,77.1815669664,C
55.0265944607,68.4293066873,B
97.4926568662,73.4226213477,A
75.2479745608,92.3781651718,A
94.9724061618,51.8915022310,B
76.7376088222,97.8877464330,C
62.2087414748,65.8389546380,B
79.8990033866,89.5895698860,A
79.8267815163,76.7921202666,C
79.3020607589,70.6517548545,A
66.5343482067,61.2249497784,B
101.6561871884,57.6914092482,A
54.8854937584,53.1975117275,B
84.7627434827,56.0004313595,A
90.4757399247,73.1892899205,B
93.4112393804,49.7973394297,A
79.0443030224,67.3057839983,A
78.9229411800,81.5455675552,B
85.4122243202,101.0653576600,A
63.8276237960,74.8052942891,B
83.7857738450,65.4976262848,C
92.2260296417,50.2211246781,A
61.2836514699,76.0906356828,C
69.3728913423,85.6810847841,A
66.9162179342,55.4222966387,A
101.5507696198,63.5360442373,B
85.1452159499,56.9108183673,C
79.9398230482,86.0104743619,B
73.1502878094,68.1832049653,B
64.8597844383,87.2768048601,A
72.8202589970,100.1965445961,C
80.7857400180,91.4784651556,C
71.7320240759,69.9335741800,B
99.2777193030,77.3711979640,A
104.4558331949,63.3566415672,B
105.5484905219,67.9979821232,C
75.3349003928,80.9148609914,A
99.9586277138,74.1931199044,A
83.3247964340,103.5962578922,A
93.5898680036,65.0977794666,A
65.9305840928,61.7928394874,B
73.3014472295,61.8437181658,A
57.0745515746,55.9386814487,C
68.8317888348,65.7338785496,A
79.1884051613,81.2809665615,C
92.5849927489,59.8741396943,A
82.4908782173,99.4852454790,A
100.6688510861,69.3651775157,A
101.7181327591,58.8526421918,A
93.8177860014,63.0593657930,A
99.5268046836,57.7675749587,B
48.6858207473,62.8923375226,B
65.1184158743,88.4404412751,A
93.2032451854,75.7430315957,C
70.0363720375,95.9991128245,C
73.5239937414,64.2436036923,C
102.5697420030,59.9243823696,B
70.7446035810,94.7309728897,A
56.6700078667,75.8810190422,B
82.3627086983,66.0327580715,A
63.7650165835,88.9655317514,A
69.2295814154,83.3485918098,B
61.3498051082,73.2075990701,B
67.5765125353,55.0615185995,B
84.8882407219,84.6936844402,A
91.8873984544,73.5049164677,A
65.6823976295,70.7842487099,A
73.9011672111,65.9233536356,B
77.6888283490,55.0250776877,A
76.8978344710,81.9967029592,A
74.0619748923,68.1033273048,B
96.2903839123,74.9150640195,A
67.5976403016,64.6801496506,B
60.9640459770,74.5061151711,B
70.3250352616,68.4444938823,B
76.8633041392,99.4508455682,C
60.5623897711,74.3858429134,B
92.1930918729,64.9407319234,B
74.7621731358,88.4655226841,A
75.9753843706,64.8071192049,A
84.0938111501,101.3117633745,B
56.6350377430,57.4335944553,C
62.1786136655,97.1523212271,A
82.0678363507,78.0477760960,A
61.5527617339,56.3944633070,A
60.0898774774,90.3522645055,C
84.7018798878,53.0730408705,A
87.0781774236,79.6993711953,A
72.4751545717,103.8942908536,B
55.9453750967,64.7523177678,B
88.6550705963,60.0208011312,A
97.9682732450,66.7451839599,C
54.4106900605,57.8428342278,A
84.7713523247,78.4915359350,B
63.5734360332,71.7586406886,B
85.0668628096,68.4886973852,B
77.8260526902,104.3071029905,C
91.5527252511,76.1353314881,B
63.5254668567,93.9562353119,A
62.7392314845,99.7091870259,A
52.2426336851,75.3056831981,C
65.3396389057,93.8187410038,A
49.3725320338,61.6437264386,B
64.2783314955,65.2657641455,A
69.3188615418,72.1590542797,B
62.0063582414,60.4260041763,C
79.9958209646,77.0716851143,B
88.3718888406,69.1972097980,A
47.6886697786,67.9658551385,B
70.9531746285,57.7350137960,A
48.2351578050,67.9062834729,B
91.7141824960,74.1785878942,A
60.6625339869,53.6930091266,B
82.6361654345,83.5021972855,C
69.8656128052,70.2107053608,C
79.9046078203,61.2578683985,A
67.1990343057,78.4068698587,A
101.7316022362,72.8996405178,B
85.8142984946,81.4821018781,C
54.7728718826,61.4483981450,B
74.2499470524,80.0432696205,C
68.1197560857,81.7723429798,B
83.1831336049,88.3582311552,A
58.7665037814,73.9637416281,B
83.5230630783,97.3853570308,A
67.5187153598,61.7635584781,C
100.0646239950,68.3996510037,A
50.5950218203,61.8626826912,B
79.5909825812,71.6963647135,A
63.5005460174,74.0162780886,A
70.0164383966,104.1965738825,A
91.7940209835,76.8138046178,B
60.7290341485,75.6441061749,B
61.7939510107,83.1330816371,C
76.5264345866,84.8675549038,C
87.0478700088,96.3015857992,B
88.0867973896,88.0413576246,C
73.0307690728,81.8284025639,C
60.6417186489,54.4613286253,C
85.7962164720,80.3260329444,C
85.2973639433,76.1291939100,C
79.6163149299,101.6784981243,A
91.0873864136,75.9136947969,A
77.2709696166,75.4436766258,C
89.5067925104,60.7112388422,A
83.4723040465,79.8878051485,A
78.6453519901,73.5871064577,A
55.0991132163,63.9307410660,B
54.1289143173,74.4928510520,B
75.8557541192,81.8901248551,C
84.7877050994,98.5355416232,A
80.0174705148,75.2131177827,A
64.3705324654,67.1153957643,B
55.0543419638,58.0323945303,B
49.0901540170,69.0634869322,C
71.8285316391,71.3396411088,C
86.0890517291,89.1026333588,A
83.0488839841,77.3475132187,A
96.3317514767,57.8758158212,A
66.2323837891,52.5921043187,B
93.1557273681,55.3981170205,A
83.7571285116,84.3721441203,B
59.2766894697,66.1048805413,A
49.4960983413,67.6422532207,C
69.6049579305,58.4723530316,B
97.4599246036,74.7628925333,A
63.1537731460,94.1876846819,B
68.7493643473,80.3028438824,C
66.4800692745,69.0650532412,B
68.4985651424,103.7247027945,C
101.4950183197,53.8757155479,A
50.5304894469,73.8590017386,A
81.1106376907,49.9809662611,C
60.3233714627,88.6736728001,A
73.4701789163,103.0212002502,A
48.6149663519,69.6140677169,C
83.6457647278,98.1175834917,A
94.4494169844,65.0365278850,C
63.2507478193,61.7752589211,A
77.9037664217,60.4792034468,B
69.3474561328,94.4524031414,A
86.1002149751,91.1708701518,C
68.8305393711,70.1510630856,A
73.9949552390,100.3765613195,C
63.0580283342,52.7710830571,B
76.9735985409,91.2433535624,A
64.9460759950,81.8492383164,C
68.0101109731,78.7026038956,C
99.2849937822,59.9451726056,A
56.8445898928,51.6343051625,B
86.3990198098,67.9921285299,A
76.5247282001,72.8294911503,A
88.4970865294,75.6844546261,A
49.8864467113,71.3131854684,B
84.0829669756,48.9384670460,A
79.4399966663,86.7316503614,B
73.0760298571,65.2772266587,B
51.5910757724,73.4384941048,A
104.1770435164,68.4219027536,A
69.7415182191,75.9453684043,C
72.6032022389,67.9446154813,B
81.8811055689,93.1211742912,B
87.3564712576,48.6947608483,A
88.2522762444,69.0408447399,A
53.3848950288,69.9417743066,B
75.8815592488,87.0691728908,B
68.2815358538,87.6214119580,B
63.3554788142,68.4727088097,C
83.5445792418,64.7735252912,C
90.9940907978,64.6703095108,C
91.6345079744,77.5451816806,A
91.4508867491,77.1927472717,C
74.1904738650,95.5748553042,C
78.4009241223,80.4077323007,A
66.5988174528,61.4882078419,B
70.9424352638,98.8762308541,C
70.7466876235,67.5895114112,B
71.4227105749,64.8499123559,B
84.8752696143,96.5137451372,C
79.7742020256,54.9391764674,B
60.7738114447,52.3758592120,B
84.6898170294,63.2265601768,A
73.7921425871,79.6070489682,B
89.1962971037,72.1858599328,C
62.3637587792,75.2562504753,B
47.7700708660,60.6789306026,B
56.5257069812,73.6061618674,A
64.4754979650,77.9697580461,B
101.8617772969,75.2134553703,A
100.3537782264,54.4024558443,B
60.2691247143,74.9814245291,A
54.4865492832,68.2269346348,B
63.4762938062,68.6498681592,A
99.2457352115,68.5906126667,A
86.1249385436,79.2486687527,B
57.4934598045,63.6924908122,B
57.5397184886,66.6593432514,B
63.7042633840,82.6731572875,C
70.7308343950,87.9061357086,B
56.9285632869,56.1511422663,B
73.2282550686,79.0167588071,C
61.7434216709,93.9975586762,A
101.1830053335,72.0054433476,A
105.6982607431,61.2856371706,A
97.8642657354,52.3242949524,B
83.1791646167,73.0314779482,A
101.4661535359,58.4043333649,B
59.8602324774,78.2171064672,B
74.8480671104,93.8340650766,A
92.2654311252,62.0896477295,C
100.3472569406,70.5263396844,A
89.2175292550,89.5946779821,C
81.8518405811,86.8291397550,A
95.9424143221,60.2610703377,C
86.3959158342,51.6029849169,A
67.6101270169,73.4645185020,B
63.4293056434,79.8545266588,B
83.5116908386,69.6388924329,A
53.9812282656,57.9898193044,B
75.3449731723,58.8230363147,A
91.5733470209,58.2555041833,A
52.5108790859,70.4057203654,B
85.0913535793,98.8165858561,B
62.0136317815,63.6897763618,C
61.4368133923,66.6697468609,B
78.6964897253,96.2788249109,A
69.7301723887,86.5328749583,B
59.2093556157,59.6297762193,C
76.2173294334,80.0017717106,C
91.7845944822,57.9758474125,A
75.5995551647,97.9328022591,A
90.8136037963,55.1017831028,B
67.0450376844,102.4543457306,A
70.5041852495,100.5579678042,A
93.7910442995,69.7244553619,A
53.0464875223,73.6858689273,B
93.4729952595,68.8034651654,C
78.9919469739,74.6490353728,C
83.3466216428,50.5291368612,B
72.7986709652,105.2694481100,C
68.4330616140,53.5935219202,C
59.4676526175,92.1418632852,C
68.8536123671,77.3464626849,B
87.3250088121,59.6127969095,A
84.8830825306,93.5887163915,A
62.4760097896,61.0575997610,B
73.1303166937,85.0322290545,A
76.5997419432,104.2172372454,A
96.8806440617,76.5580882743,A
53.9444186878,63.5235070130,A
72.0512349159,98.3014284015,A
73.1983096327,101.3900343682,C
88.1819381115,91.8425792532,C
92.2065461806,62.2221524771,A
79.3370006172,104.8232458571,A
83.0640792781,56.6747227888,C
70.5514445565,62.1065133185,B
69.7460507708,78.9630738229,C
87.2721497385,93.5371136635,B
74.3374026285,65.5808201623,B
83.8404378850,78.0417308871,A
63.7066854293,96.5862204320,B
67.0471033017,87.0135507750,A
96.6667851378,57.6391567768,B
94.7231430906,61.7062888514,C
61.3609056871,60.1270269815,C
88.9890875269,69.1077971288,C
84.2464618103,50.4739879486,A
82.9399433841,82.5666002629,C
75.0330423640,90.5592141319,A
