observation_date,Value,Type,
2008-01-01,3.2,Column2,
2008-02-01,3.1,Column2,
2008-03-01,3.4,Column2,
2008-04-01,2.8,Column2,
2008-05-01,3.0,Column2,
2008-06-01,2.4,Column2,
2008-07-01,2.8,Column2,
2008-08-01,3.0,Column2,
2008-09-01,2.6,Column2,
2008-10-01,3.0,Column2,
2008-11-01,2.7,Column2,
2008-12-01,2.1,Column2,
2009-01-01,2.5,Column2,
2009-02-01,2.2,Column2,
2009-03-01,1.2,Column2,
2009-04-01,1.8,Column2,
2009-05-01,1.1,Column2,
2009-06-01,0.7,Column2,
2009-07-01,1.2,Column2,
2009-08-01,0.9,Column2,
2009-09-01,1.6,Column2,
2009-10-01,1.3,Column2,
2009-11-01,1.6,Column2,
2009-12-01,1.9,Column2,
2010-01-01,2.3,Column2,
2010-02-01,1.5,Column2,
2010-03-01,2.4,Column2,
2010-04-01,2.7,Column2,
2010-05-01,2.9,Column2,
2010-06-01,3.0,Column2,
2010-07-01,2.8,Column2,
2010-08-01,3.0,Column2,
2010-09-01,3.0,Column2,
2010-10-01,3.5,Column2,
2010-11-01,2.6,Column2,
2010-12-01,3.0,Column2,
2011-01-01,2.3,Column2,
2011-02-01,3.4,Column2,
2011-03-01,2.8,Column2,
2011-04-01,2.8,Column2,
2011-05-01,2.6,Column2,
2011-06-01,2.7,Column2,
2011-07-01,3.2,Column2,
2011-08-01,2.3,Column2,
2011-09-01,2.2,Column2,
2011-10-01,2.3,Column2,
2011-11-01,2.6,Column2,
2011-12-01,2.3,Column2,
2012-01-01,2.6,Column2,
2012-02-01,2.3,Column2,
2012-03-01,2.4,Column2,
2012-04-01,2.3,Column2,
2012-05-01,2.0,Column2,
2012-06-01,2.3,Column2,
2012-07-01,1.8,Column2,
2012-08-01,2.1,Column2,
2012-09-01,2.0,Column2,
2012-10-01,1.6,Column2,
2012-11-01,1.9,Column2,
2012-12-01,2.5,Column2,
2013-01-01,1.9,Column2,
2013-02-01,2.1,Column2,
2013-03-01,2.2,Column2,
2013-04-01,1.8,Column2,
2013-05-01,2.4,Column2,
2013-06-01,2.5,Column2,
2013-07-01,2.0,Column2,
2013-08-01,2.6,Column2,
2013-09-01,2.1,Column2,
2013-10-01,2.3,Column2,
2013-11-01,2.5,Column2,
2013-12-01,1.6,Column2,
2014-01-01,1.9,Column2,
2014-02-01,1.7,Column2,
2014-03-01,2.1,Column2,
2014-04-01,2.3,Column2,
2014-05-01,2.1,Column2,
2014-06-01,2.0,Column2,
2014-07-01,2.4,Column2,
2014-08-01,2.5,Column2,
2014-09-01,2.4,Column2,
2014-10-01,2.6,Column2,
2014-11-01,2.3,Column2,
2014-12-01,2.6,Column2,
2015-01-01,2.4,Column2,
2015-02-01,2.8,Column2,
2015-03-01,2.2,Column2,
2015-04-01,2.3,Column2,
2015-05-01,2.3,Column2,
2015-06-01,2.2,Column2,
2015-07-01,2.2,Column2,
2015-08-01,1.9,Column2,
2015-09-01,2.2,Column2,
2015-10-01,2.5,Column2,
2015-11-01,2.1,Column2,
2015-12-01,2.2,Column2,
2016-01-01,2.8,Column2,
2016-02-01,1.9,Column2,
2016-03-01,2.2,Column2,
2016-04-01,2.3,Column2,
2016-05-01,2.1,Column2,
2016-06-01,2.3,Column2,
2016-07-01,2.4,Column2,
2016-08-01,1.9,Column2,
2016-09-01,2.3,Column2,
2016-10-01,2.1,Column2,
2016-11-01,2.4,Column2,
2016-12-01,2.4,Column2,
2017-01-01,2.0,Column2,
2017-02-01,2.4,Column2,
2017-03-01,2.3,Column2,
2017-04-01,2.5,Column2,
2017-05-01,2.5,Column2,
2017-06-01,2.5,Column2,
2017-07-01,2.6,Column2,
2017-08-01,2.8,Column2,
2017-09-01,2.5,Column2,
2017-10-01,2.4,Column2,
2017-11-01,2.7,Column2,
2017-12-01,3.0,Column2,
2018-01-01,2.7,Column2,
2018-02-01,3.2,Column2,
2018-03-01,3.4,Column2,
2018-04-01,3.1,Column2,
2018-05-01,3.2,Column2,
2018-06-01,3.2,Column2,
2018-07-01,3.1,Column2,
2018-08-01,3.5,Column2,
2018-09-01,3.7,Column2,
2018-10-01,3.6,Column2,
2018-11-01,3.1,Column2,
2018-12-01,3.4,Column2,
2019-01-01,3.6,Column2,
2019-02-01,3.3,Column2,
2019-03-01,3.5,Column2,
2019-04-01,3.0,Column2,
2019-05-01,3.0,Column2,
2019-06-01,3.1,Column2,
2019-07-01,3.1,Column2,
2019-08-01,3.1,Column2,
2019-09-01,2.8,Column2,
2019-10-01,2.9,Column2,
2019-11-01,3.1,Column2,
2019-12-01,2.3,Column2,
2020-01-01,2.4,Column2,
2020-02-01,3.1,Column2,
2020-03-01,2.4,Column2,
2020-04-01,7.4,Column2,
2020-05-01,7.6,Column2,
2020-06-01,5.7,Column2,
2020-07-01,5.5,Column2,
2020-08-01,5.7,Column2,
2020-09-01,6.1,Column2,
2020-10-01,6.1,Column2,
2020-11-01,6.1,Column2,
2020-12-01,6.7,Column2,
2021-01-01,7.4,Column2,
2021-02-01,5.8,Column2,
2021-03-01,6.9,Column2,
2021-04-01,2.7,Column2,
2021-05-01,2.8,Column2,
2021-06-01,4.6,Column2,
2021-07-01,4.9,Column2,
2021-08-01,4.3,Column2,
2021-09-01,4.8,Column2,
2021-10-01,5.0,Column2,
2021-11-01,5.3,Column2,
2021-12-01,5.2,Column2,
2022-01-01,4.2,Column2,
2022-02-01,5.5,Column2,
2022-03-01,4.7,Column2,
2022-04-01,4.6,Column2,
2022-05-01,4.1,Column2,
2022-06-01,4.2,Column2,
