class,value,x
B,84.71000000000000,123.0
B,82.11000000000000,133.0
B,115.04000000000000,114.0
B,63.96000000000000,148.0
A,35.04000000000000,186.0
D,48.79000000000000,161.0
C,93.99,99.0
B,121.51000000000000,107.0
A,85.31,87.0
A,64.76000000000000,168.0
B,84.76000000000000,118.0
C,73.51000000000000,157.0
C,-5.160000000000030,196.0
D,45.76000000000000,168.0
D,75.51000000000000,143.0
D,101.96,98.0
B,86.64000000000000,156.0
A,28.910000000000000,197.0
C,66.44,166.0
A,69.0,150.0
C,116.75,125.0
D,5.360000000000010,192.0
C,9.509999999999990,193.0
D,107.71000000000000,123.0
A,105.36,92.0
B,97.56,88.0
C,29.160000000000000,178.0
C,50.16000000000000,178.0
A,98.16,122.0
C,31.75,195.0
D,76.11000000000000,167.0
B,26.160000000000000,178.0
C,113.16,128.0
A,82.0,160.0
D,108.76000000000000,118.0
D,61.0,160.0
D,-4.0,200.0
B,107.59,121.0
D,83.24000000000000,124.0
C,116.0,120.0
D,116.19,109.0
A,92.0,120.0
C,44.24000000000000,176.0
C,65.84,146.0
C,103.0,90.0
A,116.79000000000000,111.0
D,104.51000000000000,107.0
D,89.11,83.0
B,68.0,170.0
D,110.31,87.0
B,36.31,187.0
D,74.79000000000000,139.0
D,109.75,115.0
C,60.71000000000000,173.0
D,93.51000000000000,143.0
C,23.390000000000000,181.0
C,81.75,85.0
B,56.590000000000000,171.0
C,20.75,195.0
A,94.84,146.0
D,86.96,102.0
B,43.76000000000000,182.0
D,95.76000000000000,132.0
D,21.390000000000000,181.0
D,28.640000000000000,194.0
A,107.75,115.0
C,95.79000000000000,139.0
D,75.84,146.0
B,52.76000000000000,168.0
A,113.16,122.0
C,2.0,200.0
B,114.16,128.0
B,97.11000000000000,133.0
A,80.91,147.0
D,7.509999999999990,193.0
C,94.84,96.0
B,102.39,81.0
D,112.75,95.0
B,85.24000000000000,124.0
B,89.16,122.0
B,86.99000000000000,149.0
A,10.510000000000000,193.0
B,29.590000000000000,179.0
D,103.76000000000000,132.0
D,97.31,137.0
B,32.0,180.0
C,97.51000000000000,143.0
D,57.0,160.0
B,45.71000000000000,173.0
A,38.0,170.0
B,82.96000000000000,152.0
D,53.590000000000000,171.0
C,105.39000000000000,119.0
B,32.0,190.0
A,90.91,97.0
C,118.99,99.0
B,97.99000000000000,149.0
A,87.39000000000000,131.0
A,-10.0,200.0
A,9.839999999999980,196.0
D,-11.04000000000000,198.0
D,118.91,103.0
D,84.56,138.0
C,-5.160000000000030,196.0
B,48.16000000000000,178.0
C,86.11,83.0
A,52.56,162.0
D,110.75,135.0
B,52.31,163.0
A,78.19,159.0
B,71.99000000000000,149.0
C,89.75,85.0
C,79.79000000000000,161.0
A,2.75,195.0
A,122.64,106.0
B,112.76000000000000,132.0
D,70.64000000000000,156.0
B,40.0,190.0
B,121.51000000000000,107.0
D,47.110000000000000,183.0
B,97.64,94.0
C,88.19,141.0
D,89.84,104.0
B,80.76000000000000,132.0
B,8.95999999999998,198.0
C,99.59,121.0
C,40.79000000000000,189.0
A,27.75,195.0
C,115.31,113.0
D,82.24000000000000,126.0
B,91.11,83.0
D,67.64000000000000,144.0
A,82.79000000000000,161.0
D,97.96,98.0
A,58.71000000000000,177.0
C,64.36000000000000,158.0
A,121.19,91.0
C,26.96000000000000,198.0
A,90.99,101.0
C,76.76000000000000,132.0
A,43.110000000000000,167.0
D,61.24000000000000,174.0
C,84.36,92.0
D,40.56,188.0
D,14.440000000000000,184.0
D,97.04000000000000,136.0
B,56.16000000000000,172.0
B,71.76000000000000,168.0
B,87.64000000000000,144.0
B,95.99,101.0
A,54.56,162.0
C,111.31,87.0
B,42.31,187.0
A,99.79000000000000,89.0
B,36.24000000000000,176.0
D,76.75,155.0
D,69.51000000000000,157.0
B,109.96,98.0
D,77.75,135.0
A,111.51000000000000,107.0
A,85.24000000000000,124.0
B,104.31,113.0
A,110.0,90.0
A,64.24000000000000,176.0
B,84.19,159.0
D,88.24000000000000,124.0
C,89.76000000000000,118.0
B,116.75,105.0
A,93.59,121.0
A,97.0,110.0
C,96.44,134.0
A,45.390000000000000,181.0
C,55.390000000000000,169.0
B,-12.0,200.0
A,15.310000000000000,187.0
A,39.31,187.0
C,18.75,185.0
B,22.560000000000000,188.0
C,77.44,166.0
B,98.19,141.0
A,98.0,120.0
D,85.76,82.0
D,105.59,121.0
C,84.84,104.0
B,108.24000000000000,126.0
C,7.0,200.0
B,51.110000000000000,183.0
D,106.51000000000000,107.0
A,86.11,83.0
C,112.04000000000000,86.0
A,94.24000000000000,124.0
D,96.75,105.0
C,106.04000000000000,136.0
B,113.51000000000000,107.0
B,115.96,102.0
B,90.16,122.0
C,42.76000000000000,182.0
C,39.390000000000000,169.0
B,52.56,162.0
B,83.51000000000000,107.0
B,23.910000000000000,197.0
B,101.59,129.0
A,104.04000000000000,86.0
A,102.51,93.0
B,74.64000000000000,144.0
D,85.84,96.0
A,-10.04000000000000,198.0
A,-8.0,200.0
C,96.91,147.0
B,112.96,98.0
A,99.31,113.0
A,76.0,130.0
C,31.0,190.0
D,82.51000000000000,143.0
D,66.16000000000000,172.0
A,99.71000000000000,127.0
A,74.75,135.0
B,87.56,112.0
D,40.71000000000000,173.0
D,122.51000000000000,107.0
A,50.110000000000000,183.0
C,48.110000000000000,183.0
A,118.19,91.0
D,97.91,97.0
A,-3.25,195.0
C,121.96,102.0
A,7.639999999999990,194.0
B,40.75,185.0
C,110.11,83.0
D,85.96,98.0
C,95.36000000000000,142.0
C,107.56,112.0
A,107.0,100.0
A,31.76000000000000,182.0
C,109.56,138.0
C,109.64,106.0
A,14.510000000000000,193.0
D,43.24000000000000,176.0
B,89.84,104.0
B,34.640000000000000,194.0
D,110.91,103.0
D,94.84,96.0
D,74.75,145.0
C,22.110000000000000,183.0
C,-1.160000000000030,196.0
B,98.84,96.0
D,108.04000000000000,136.0
B,94.96000000000000,148.0
A,111.0,110.0
A,100.04000000000000,136.0
A,32.0,180.0
C,45.71000000000000,177.0
A,87.19,91.0
B,34.56,188.0
C,77.76000000000000,132.0
C,123.0,100.0
B,30.24000000000000,176.0
C,73.84,146.0
D,-13.0,200.0
A,103.31,113.0
D,84.31,113.0
C,85.75,105.0
B,100.24000000000000,126.0
D,32.56,188.0
A,11.96000000000000,198.0
B,67.56,162.0
C,116.75,85.0
B,14.560000000000000,188.0
A,117.31,87.0
D,98.76,82.0
B,87.16,128.0
B,89.04000000000000,114.0
C,88.04000000000000,136.0
C,83.75,155.0
A,74.75,135.0
A,69.96000000000000,148.0
A,87.76000000000000,132.0
C,101.11000000000000,117.0
D,100.64000000000000,144.0
A,105.19,141.0
B,55.110000000000000,183.0
C,27.360000000000000,192.0
C,78.0,140.0
D,114.11,83.0
A,106.19,141.0
C,73.96000000000000,148.0
A,74.91,153.0
B,105.39,81.0
D,55.91,153.0
C,91.24000000000000,124.0
D,97.0,130.0
A,98.19,109.0
C,99.79000000000000,111.0
D,107.76000000000000,132.0
C,18.0,200.0
D,58.71000000000000,173.0
C,24.160000000000000,178.0
D,105.64,94.0
B,100.36,108.0
C,85.64,106.0
B,68.0,160.0
A,99.19,91.0
B,75.91,147.0
A,44.75,175.0
C,3.509999999999990,193.0
C,8.79000000000002,189.0
C,6.190000000000000,191.0
A,89.84,96.0
C,82.19,159.0
B,22.0,180.0
D,109.76000000000000,132.0
B,65.24000000000000,176.0
A,1.990000000000010,199.0
D,80.79000000000000,161.0
D,73.56,138.0
D,79.79000000000000,139.0
C,120.96,98.0
A,51.590000000000000,179.0
A,101.39000000000000,131.0
A,104.24000000000000,124.0
B,109.75,125.0
A,27.590000000000000,179.0
A,45.590000000000000,171.0
C,105.36,108.0
D,24.590000000000000,179.0
C,51.79000000000000,161.0
A,97.16,128.0
D,83.91,103.0
A,68.39000000000000,169.0
C,109.04000000000000,114.0
A,35.19,191.0
D,92.75,105.0
A,43.16000000000000,178.0
A,90.0,100.0
A,21.51000000000000,193.0
B,108.44,84.0
D,72.44,134.0
B,85.51000000000000,143.0
D,87.0,150.0
D,81.04000000000000,164.0
B,48.75,165.0
A,69.79000000000000,161.0
D,66.79000000000000,161.0
C,94.96,102.0
A,81.99000000000000,149.0
D,89.51000000000000,143.0
A,56.51000000000000,157.0
C,44.04000000000000,186.0
A,74.91,153.0
A,49.110000000000000,183.0
D,98.84,104.0
D,62.360000000000000,158.0
D,71.11000000000000,167.0
D,24.110000000000000,183.0
D,40.110000000000000,167.0
A,95.91,147.0
B,111.56,112.0
C,71.84,154.0
D,28.590000000000000,179.0
C,99.59,129.0
D,108.39000000000000,131.0
D,106.04000000000000,86.0
D,56.71000000000000,173.0
B,112.99,101.0
B,122.19,91.0
C,17.440000000000000,184.0
A,88.75,135.0
A,86.96000000000000,148.0
C,77.75,135.0
D,80.56,138.0
A,92.75,105.0
C,83.75,95.0
A,78.31,137.0
B,48.04000000000000,164.0
C,57.640000000000000,156.0
A,61.16000000000000,178.0
C,-2.160000000000030,196.0
C,113.75,95.0
B,46.04000000000000,186.0
D,106.31,87.0
A,79.51000000000000,143.0
A,34.44,184.0
D,86.44,84.0
C,8.639999999999990,194.0
A,37.0,190.0
A,120.04000000000000,114.0
D,50.04000000000000,164.0
A,79.04000000000000,164.0
A,62.79000000000000,161.0
A,82.39000000000000,131.0
C,85.04000000000000,86.0
C,-0.4900000000000090,193.0
D,50.31,163.0
B,97.0,120.0
B,32.71000000000000,177.0
B,93.0,130.0
C,58.31,163.0
C,97.19,141.0
D,117.76000000000000,118.0
A,63.24000000000000,176.0
D,16.96000000000000,198.0
D,67.75,155.0
D,83.51000000000000,143.0
B,41.71000000000000,177.0
D,90.31,137.0
C,-16.0,200.0
B,112.75,95.0
C,1.990000000000010,199.0
A,15.440000000000000,184.0
B,106.75,85.0
B,91.96000000000000,152.0
B,121.84,104.0
A,33.0,180.0
C,10.640000000000000,194.0
D,61.84,154.0
D,78.19,159.0
B,100.24000000000000,126.0
A,94.0,110.0
C,111.84,104.0
D,105.11000000000000,117.0
A,96.79000000000000,139.0
D,77.56,138.0
B,85.96,102.0
D,122.99,99.0
B,97.96000000000000,148.0
A,55.360000000000000,158.0
A,66.24000000000000,176.0
D,61.91,147.0
A,99.75,115.0
D,91.0,130.0
A,84.76000000000000,118.0
D,86.24000000000000,124.0
B,115.39,81.0
C,71.0,170.0
B,32.71000000000000,177.0
A,50.110000000000000,183.0
B,91.51000000000000,143.0
B,65.91,153.0
C,65.0,160.0
B,82.0,120.0
D,109.75,95.0
A,61.99000000000000,149.0
C,77.91,153.0
A,101.76,82.0
D,108.84,96.0
A,68.96000000000000,148.0
A,88.0,100.0
D,98.84,104.0
B,45.31,163.0
D,85.04000000000000,114.0
A,74.11000000000000,167.0
B,110.31,113.0
D,6.75,195.0
A,112.76,82.0
C,101.31,113.0
B,118.51000000000000,107.0
B,20.0,190.0
A,110.11000000000000,133.0
D,97.24000000000000,126.0
D,105.36000000000000,142.0
C,93.75,95.0
B,90.96,102.0
D,29.24000000000000,174.0
A,105.0,110.0
A,78.0,130.0
B,53.75,155.0
B,101.51000000000000,107.0
B,87.75,125.0
D,54.19,159.0
B,99.79000000000000,89.0
D,99.75,85.0
B,103.64,94.0
D,34.19,191.0
D,14.440000000000000,184.0
D,54.110000000000000,183.0
D,105.75,105.0
C,76.11000000000000,167.0
D,46.390000000000000,169.0
B,44.0,180.0
C,90.19,141.0
A,18.360000000000000,192.0
C,50.0,180.0
D,88.19,159.0
C,100.24000000000000,124.0
B,97.31,113.0
A,82.51000000000000,143.0
A,52.110000000000000,183.0
D,35.75,185.0
D,93.0,90.0
C,0.9599999999999800,198.0
D,120.39,81.0
C,89.79000000000000,111.0
D,75.75,135.0
A,78.84,146.0
D,49.24000000000000,176.0
B,71.04000000000000,164.0
B,52.56,162.0
A,98.75,95.0
A,112.91,103.0
C,15.560000000000000,188.0
A,14.310000000000000,187.0
B,115.19,91.0
D,81.59,129.0
A,40.590000000000000,179.0
D,17.04000000000000,186.0
B,6.7900000000000200,189.0
B,82.79000000000000,139.0
D,119.36,92.0
C,117.56,88.0
C,117.79000000000000,89.0
A,122.99,99.0
A,40.0,170.0
B,26.590000000000000,179.0
A,21.0,200.0
B,77.96000000000000,152.0
B,108.19,91.0
D,104.71000000000000,123.0
C,20.51000000000000,193.0
B,92.0,140.0
C,85.04000000000000,114.0
B,93.64000000000000,144.0
B,82.39000000000000,131.0
A,89.36000000000000,158.0
C,120.56,88.0
C,96.19,91.0
B,90.51000000000000,157.0
A,87.64000000000000,144.0
B,68.99000000000000,149.0
C,65.04000000000000,164.0
B,18.640000000000000,194.0
C,92.91,97.0
A,100.16,128.0
C,104.36,108.0
C,-4.009999999999990,199.0
C,83.64,106.0
B,93.91,97.0
C,122.96,98.0
A,115.39000000000000,119.0
D,95.64,94.0
B,54.0,180.0
D,45.16000000000000,172.0
D,121.56,112.0
C,92.99,101.0
B,99.91,97.0
C,73.75,155.0
D,112.56,88.0
D,46.390000000000000,169.0
B,3.1900000000000000,191.0
A,69.11000000000000,167.0
C,117.84,104.0
B,122.0,100.0
A,89.19,109.0
A,17.440000000000000,184.0
C,107.79000000000000,139.0
C,33.79000000000000,189.0
D,111.91,97.0
D,53.16000000000000,172.0
A,68.0,160.0
D,88.56,112.0
B,98.39000000000000,119.0
A,111.04000000000000,86.0
B,91.75,155.0
C,110.84,104.0
D,107.11000000000000,117.0
D,116.04000000000000,86.0
D,95.44,84.0
D,85.79000000000000,111.0
A,82.11000000000000,133.0
C,40.31,187.0
C,81.75,135.0
B,63.84,154.0
D,86.91,103.0
C,78.04000000000000,136.0
A,110.75,135.0
D,105.11,83.0
C,102.64000000000000,144.0
C,72.19,159.0
B,29.0,180.0
A,102.64000000000000,144.0
B,97.04000000000000,86.0
D,-8.0,200.0
A,12.75,185.0
D,99.19,91.0
C,83.04000000000000,114.0
D,85.36,108.0
A,1.3600000000000100,192.0
D,24.360000000000000,192.0
D,117.79000000000000,89.0
A,103.19,91.0
A,100.44,134.0
D,92.91,97.0
B,72.16000000000000,172.0
A,102.0,90.0
C,53.75,165.0
A,85.76000000000000,132.0
A,49.44,184.0
A,87.59,121.0
B,85.0,130.0
A,49.44,184.0
A,103.76000000000000,118.0
B,85.91,97.0
B,78.56,162.0
B,93.24000000000000,126.0
B,78.91,147.0
D,122.51,93.0
A,86.0,160.0
A,107.64,106.0
D,44.16000000000000,172.0
C,100.84,96.0
A,116.24000000000000,124.0
B,63.96000000000000,148.0
D,69.64000000000000,156.0
B,78.44,134.0
B,-8.04000000000002,198.0
C,85.76,82.0
C,63.31,163.0
A,94.16,128.0
B,54.79000000000000,161.0
C,103.39000000000000,131.0
D,123.0,100.0
A,103.31,137.0
C,67.76000000000000,168.0
D,124.0,100.0
A,7.560000000000000,188.0
C,111.75,135.0
B,74.19,159.0
A,65.0,170.0
B,106.59,129.0
A,95.24000000000000,126.0
B,115.75,105.0
B,60.71000000000000,177.0
C,51.44,184.0
B,94.56,88.0
A,93.75,125.0
C,86.0,150.0
D,22.360000000000000,192.0
D,92.91,147.0
D,94.11000000000000,117.0
B,95.64,94.0
C,98.99,99.0
A,-12.0,200.0
C,88.59,121.0
B,90.84,96.0
D,105.75,85.0
A,77.64000000000000,156.0
A,72.0,150.0
B,50.04000000000000,164.0
C,17.0,190.0
C,107.91,97.0
A,67.39000000000000,169.0
C,104.51000000000000,107.0
A,106.39,81.0
B,11.360000000000000,192.0
C,117.16,122.0
D,87.71000000000000,123.0
A,81.71000000000000,123.0
B,93.96000000000000,152.0
B,99.79000000000000,111.0
C,19.76000000000000,182.0
C,93.11,83.0
D,107.91,97.0
D,120.96,98.0
B,55.76000000000000,182.0
B,16.04000000000000,186.0
B,79.91,147.0
C,98.84,146.0
A,86.76000000000000,132.0
B,115.11,83.0
C,35.0,180.0
A,58.24000000000000,174.0
C,98.76000000000000,132.0
B,7.639999999999990,194.0
C,56.75,175.0
C,94.44,84.0
D,29.24000000000000,174.0
B,96.96000000000000,152.0
C,94.56,112.0
C,78.16,128.0
B,96.75,85.0
A,89.36000000000000,158.0
A,83.04000000000000,164.0
A,122.96,102.0
B,46.76000000000000,168.0
C,111.64,106.0
B,12.310000000000000,187.0
A,84.99000000000000,151.0
A,109.39000000000000,119.0
C,91.96,102.0
A,78.56,162.0
D,113.04000000000000,114.0
C,64.99000000000000,149.0
D,40.76000000000000,182.0
B,97.64,106.0
B,89.0,120.0
C,48.16000000000000,178.0
D,86.79000000000000,111.0
A,112.24000000000000,126.0
C,101.39,81.0
B,94.39000000000000,119.0
B,73.79000000000000,139.0
A,97.19,141.0
D,-9.04000000000002,198.0
C,26.440000000000000,184.0
C,100.36,92.0
D,16.560000000000000,188.0
D,51.0,160.0
C,101.44,84.0
B,94.96000000000000,152.0
B,97.0,80.0
C,74.91,153.0
B,114.79000000000000,111.0
B,74.99000000000000,151.0
A,103.51000000000000,143.0
B,88.51,93.0
A,55.84,154.0
B,86.96,98.0
B,92.64,106.0
B,26.51000000000000,193.0
B,77.36000000000000,142.0
A,79.04000000000000,164.0
D,109.75,125.0
A,104.91,97.0
B,46.590000000000000,171.0
A,55.110000000000000,167.0
B,86.64,94.0
D,36.71000000000000,177.0
C,85.76000000000000,118.0
D,99.64000000000000,144.0
A,118.79000000000000,89.0
D,46.31,187.0
A,111.19,109.0
D,86.75,95.0
D,71.0,160.0
B,91.0,130.0
A,98.19,109.0
B,112.59,129.0
A,97.51000000000000,143.0
A,112.71000000000000,127.0
B,66.36000000000000,142.0
D,98.76000000000000,132.0
B,73.79000000000000,161.0
D,111.16,128.0
B,19.75,195.0
C,44.71000000000000,177.0
D,73.75,135.0
B,94.51,93.0
B,39.24000000000000,174.0
D,88.96000000000000,152.0
A,94.19,141.0
C,108.79000000000000,89.0
C,118.0,120.0
D,100.84,146.0
A,103.11000000000000,133.0
A,24.0,190.0
D,98.0,130.0
A,26.160000000000000,178.0
B,117.11,83.0
C,50.56,162.0
A,107.76000000000000,118.0
B,28.04000000000000,186.0
B,95.51,93.0
D,69.04000000000000,164.0
A,28.75,195.0
B,48.24000000000000,176.0
A,71.96000000000000,148.0
A,84.44,84.0
A,73.99000000000000,151.0
C,82.79000000000000,89.0
A,108.99,99.0
D,85.79000000000000,89.0
A,59.640000000000000,156.0
A,82.56,162.0
C,119.75,95.0
C,102.59,121.0
B,30.560000000000000,188.0
B,89.75,125.0
A,44.24000000000000,176.0
C,52.56,162.0
B,100.39000000000000,119.0
D,37.590000000000000,179.0
A,26.0,180.0
D,88.75,135.0
A,77.16,128.0
B,79.84,146.0
B,97.39000000000000,119.0
D,88.64,94.0
C,37.0,180.0
C,71.51000000000000,143.0
C,68.39000000000000,169.0
D,105.19,109.0
D,107.51,93.0
A,79.16,122.0
A,89.96,102.0
C,104.04000000000000,114.0
A,86.36000000000000,142.0
D,75.76000000000000,132.0
B,89.76000000000000,118.0
C,81.71000000000000,127.0
C,38.19,191.0
C,101.91,97.0
B,34.31,187.0
D,110.04000000000000,114.0
D,31.51000000000000,193.0
A,100.84,96.0
D,121.75,95.0
D,-6.25,195.0
D,88.19,141.0
C,70.99000000000000,151.0
A,56.390000000000000,181.0
C,91.11,83.0
D,83.51000000000000,143.0
A,96.75,115.0
C,64.36000000000000,158.0
B,11.75,185.0
D,13.560000000000000,188.0
C,79.31,163.0
A,57.640000000000000,156.0
C,25.440000000000000,184.0
D,82.19,159.0
A,95.44,134.0
A,46.76000000000000,168.0
B,58.16000000000000,178.0
A,89.79000000000000,111.0
B,86.44,84.0
C,108.56,88.0
C,-12.010000000000000,199.0
B,83.16,128.0
B,26.04000000000000,186.0
C,8.310000000000000,187.0
B,52.44,166.0
D,16.560000000000000,188.0
A,71.56,162.0
D,121.0,100.0
C,86.44,134.0
C,67.36000000000000,158.0
D,111.75,115.0
C,120.04000000000000,86.0
C,68.11000000000000,167.0
C,89.56,138.0
B,103.39000000000000,119.0
A,84.56,138.0
B,90.91,147.0
B,50.390000000000000,181.0
B,69.79000000000000,139.0
D,51.76000000000000,168.0
A,122.0,90.0
A,86.51000000000000,157.0
D,-12.0,200.0
B,113.71000000000000,123.0
C,61.84,154.0
D,115.75,105.0
C,58.590000000000000,171.0
D,95.44,84.0
A,111.75,125.0
A,98.59,129.0
B,55.71000000000000,177.0
A,0.9099999999999680,197.0
A,102.76,82.0
B,119.36,108.0
C,92.96,102.0
D,86.75,155.0
B,27.24000000000000,176.0
A,61.19,159.0
D,95.99,99.0
C,104.64,106.0
A,69.59000000000000,171.0
C,103.79000000000000,139.0
A,77.31,137.0
B,111.56,88.0
D,24.360000000000000,192.0
A,103.64,106.0
D,103.0,100.0
B,87.79000000000000,139.0
C,114.44,116.0
C,38.76000000000000,168.0
C,91.91,97.0
B,63.31,163.0
B,122.19,109.0
C,106.56,138.0
B,94.0,130.0
B,25.110000000000000,183.0
D,119.19,109.0
C,66.59000000000000,171.0
C,85.56,88.0
D,91.31,87.0
C,78.75,165.0
D,78.51000000000000,157.0
B,84.31,137.0
