,age,income,class
329,50,9770,class 1
330,62,6722,class 1
331,73,8470,class 1
332,77,6783,class 1
333,53,6140,class 1
334,38,9769,class 1
335,63,9582,class 1
336,58,3785,class 1
337,26,9940,class 1
338,25,8328,class 1
339,68,3681,class 1
340,57,6619,class 1
341,37,6340,class 1
342,66,9062,class 1
343,59,6080,class 1
344,60,7445,class 1
345,22,8855,class 1
346,59,8286,class 1
347,42,9324,class 1
348,36,7718,class 1
349,75,8332,class 1
350,74,6793,class 1
351,58,7303,class 1
352,76,9075,class 1
353,32,8808,class 1
354,40,6079,class 1
355,64,9007,class 1
356,31,5493,class 1
357,77,5497,class 1
358,72,6277,class 1
359,76,8213,class 1
360,26,9763,class 1
361,61,8527,class 1
362,64,9553,class 1
363,65,8824,class 1
364,64,3266,class 1
365,75,5271,class 1
366,26,6978,class 1
367,68,9223,class 1
368,59,9934,class 1
369,24,4981,class 1
370,60,4969,class 1
371,78,4358,class 1
372,24,7699,class 1
373,49,8237,class 1
374,38,6893,class 1
375,74,3222,class 1
376,80,7135,class 1
377,46,5781,class 1
378,35,7537,class 1
379,72,6850,class 1
380,64,5448,class 1
381,43,8167,class 1
382,37,8087,class 1
383,26,7960,class 1
384,63,6754,class 1
385,64,5955,class 1
386,68,7801,class 1
387,65,3404,class 1
388,48,6563,class 1
389,35,8562,class 1
390,70,8452,class 1
391,65,7847,class 1
392,65,6470,class 1
393,64,9248,class 1
394,30,5917,class 1
395,62,9138,class 1
396,79,5796,class 1
397,38,9267,class 1
398,64,8926,class 1
399,23,7954,class 1
400,46,4751,class 1
401,32,9294,class 1
402,71,7242,class 1
403,37,8620,class 1
404,30,5569,class 1
405,27,3288,class 1
406,56,4718,class 1
407,49,9445,class 1
408,60,9829,class 1
409,21,7927,class 1
410,62,5993,class 1
411,35,7262,class 1
412,66,9061,class 1
413,68,8006,class 1
414,24,5816,class 1
415,36,3195,class 1
416,35,3226,class 1
417,78,9154,class 1
418,27,3608,class 1
419,63,5505,class 1
420,38,4856,class 1
421,57,8001,class 1
422,23,5801,class 1
423,65,3482,class 1
424,30,6422,class 1
425,29,8090,class 1
426,55,4381,class 1
427,71,5507,class 1
428,47,8456,class 1
429,66,9114,class 1
430,65,7372,class 1
431,46,5709,class 1
432,29,3740,class 1
433,20,3176,class 1
434,75,7879,class 1
435,34,7024,class 1
436,48,8310,class 1
437,35,3138,class 1
438,47,8602,class 1
439,40,4445,class 1
440,62,8809,class 1
441,43,4317,class 1
442,68,7725,class 1
443,47,6863,class 1
444,72,3518,class 1
445,24,3405,class 1
446,54,6604,class 1
447,28,8450,class 1
448,55,7925,class 1
449,57,3561,class 1
450,78,4511,class 1
451,77,7811,class 1
452,43,5985,class 1
453,67,6175,class 1
454,78,8672,class 1
455,53,9708,class 1
456,21,7509,class 1
457,78,9167,class 1
458,71,8838,class 1
459,47,3285,class 1
460,31,8992,class 1
461,39,4783,class 1
462,31,5617,class 1
463,74,3109,class 1
464,74,4155,class 1
465,33,9009,class 1
466,69,5906,class 1
467,44,4585,class 1
468,63,7567,class 1
469,77,9158,class 1
470,76,7293,class 1
471,25,7692,class 1
472,31,9496,class 1
473,41,3746,class 1
474,32,5798,class 1
475,55,9377,class 1
476,49,8831,class 1
477,29,7830,class 1
478,26,6362,class 1
479,62,6541,class 1
480,26,7447,class 1
481,24,8675,class 1
482,42,9113,class 1
483,24,5964,class 1
484,27,7324,class 1
485,37,9700,class 1
486,30,9141,class 1
487,35,6162,class 1
488,56,6885,class 1
489,30,8954,class 1
490,29,3623,class 1
491,31,8835,class 1
492,55,8252,class 1
493,38,6621,class 1
494,55,5145,class 1
495,76,3296,class 1
496,40,5222,class 1
497,20,3447,class 1
498,59,4102,class 1
499,23,5614,class 1
500,66,8977,class 1
501,47,8892,class 1
502,54,8367,class 1
503,57,9574,class 1
504,26,3384,class 1
505,22,4232,class 1
506,74,4777,class 1
507,74,5421,class 1
508,27,5461,class 1
509,35,8961,class 1
510,33,5870,class 1
511,41,6097,class 1
512,45,6731,class 1
513,51,9263,class 1
514,37,3904,class 1
515,80,5636,class 1
516,75,9073,class 1
517,29,7217,class 1
518,65,6058,class 1
519,65,6418,class 1
520,45,6146,class 1
521,60,6012,class 1
522,33,9785,class 1
523,29,3191,class 1
524,34,9070,class 1
525,32,5813,class 1
526,71,6595,class 1
527,59,7395,class 1
528,33,3644,class 1
529,45,6410,class 1
530,61,6127,class 1
531,41,3287,class 1
532,62,6637,class 1
533,46,7250,class 1
534,31,6747,class 1
535,27,9723,class 1
536,24,7636,class 1
537,40,8552,class 1
538,71,8764,class 1
539,62,8525,class 1
540,76,7890,class 1
541,56,4352,class 1
542,76,9477,class 1
543,73,6843,class 1
544,69,3094,class 1
545,40,7888,class 1
546,37,9590,class 1
547,48,4585,class 1
548,75,3743,class 1
549,27,3153,class 1
550,61,5764,class 1
551,41,4364,class 1
552,31,9351,class 1
553,27,5322,class 1
554,37,6639,class 1
555,38,9611,class 1
556,39,4289,class 1
557,40,6287,class 1
558,27,5055,class 1
559,49,3687,class 1
560,79,4603,class 1
561,68,7961,class 1
562,24,8012,class 1
563,29,5659,class 1
564,32,9143,class 1
565,42,7625,class 1
566,45,8784,class 1
567,63,8229,class 1
568,73,8245,class 1
569,78,8632,class 1
570,30,8950,class 1
571,24,6743,class 1
572,49,6851,class 1
573,36,7968,class 1
574,52,6164,class 1
575,60,6922,class 1
576,64,7254,class 1
577,39,6506,class 1
578,72,4147,class 1
579,78,9025,class 1
580,40,4898,class 1
581,20,6035,class 1
582,30,7341,class 1
583,34,6013,class 1
584,21,8874,class 1
585,47,6426,class 1
586,29,7046,class 1
587,55,6125,class 1
588,58,5851,class 1
589,31,9478,class 1
590,60,7649,class 1
591,36,3531,class 1
592,50,8413,class 1
593,31,8811,class 1
594,33,9844,class 1
595,24,5769,class 1
596,59,9889,class 1
597,51,6788,class 1
598,56,8607,class 1
599,44,5355,class 1
600,61,11138,class 2
601,61,13037,class 2
602,54,10112,class 2
603,27,14520,class 2
604,36,11415,class 2
605,73,10845,class 2
606,34,14537,class 2
607,48,13010,class 2
608,60,12640,class 2
609,57,13126,class 2
610,78,14861,class 2
611,55,13882,class 2
612,74,13302,class 2
613,28,10993,class 2
614,65,14909,class 2
615,76,11151,class 2
616,32,10559,class 2
617,65,12869,class 2
618,21,11096,class 2
619,65,14739,class 2
620,45,12305,class 2
621,44,10417,class 2
622,66,10759,class 2
623,33,14389,class 2
624,26,11986,class 2
625,67,12452,class 2
626,24,11664,class 2
627,46,10862,class 2
628,59,11779,class 2
629,42,13443,class 2
630,30,13470,class 2
631,43,11339,class 2
632,47,12155,class 2
633,51,12530,class 2
634,24,11918,class 2
635,61,14770,class 2
636,66,10939,class 2
637,62,10143,class 2
638,33,14464,class 2
639,78,11745,class 2
640,62,14695,class 2
641,62,11666,class 2
642,51,10749,class 2
643,31,13421,class 2
644,21,12864,class 2
645,38,10686,class 2
646,39,12229,class 2
647,69,10798,class 2
648,59,12269,class 2
649,59,12420,class 2
650,69,14833,class 2
651,51,10291,class 2
652,28,11719,class 2
653,25,11920,class 2
654,28,11528,class 2
655,61,12392,class 2
656,55,10804,class 2
657,67,13774,class 2
658,64,14354,class 2
659,62,11621,class 2
660,55,13821,class 2
661,53,11422,class 2
662,24,14537,class 2
663,73,11062,class 2
664,25,14461,class 2
665,35,12077,class 2
666,51,13433,class 2
667,45,11239,class 2
668,26,14962,class 2
669,45,10429,class 2
670,67,12544,class 2
671,33,11415,class 2
672,29,13509,class 2
673,36,12166,class 2
674,46,13086,class 2
675,27,13711,class 2
676,36,14566,class 2
677,24,12332,class 2
678,49,11931,class 2
679,21,13359,class 2
680,30,11942,class 2
681,69,13040,class 2
682,65,10047,class 2
683,40,11333,class 2
684,80,12585,class 2
685,73,14977,class 2
686,50,13387,class 2
687,57,11397,class 2
688,75,13681,class 2
689,58,14470,class 2
690,69,10572,class 2
691,40,11739,class 2
692,69,11720,class 2
693,20,12381,class 2
694,59,14983,class 2
695,25,13672,class 2
696,43,13959,class 2
697,21,11325,class 2
698,58,12593,class 2
699,49,11994,class 2
700,32,10883,class 2
701,45,11128,class 2
702,22,11506,class 2
703,64,13612,class 2
704,32,14492,class 2
705,47,12945,class 2
706,56,11698,class 2
707,40,13538,class 2
708,33,10120,class 2
709,80,13916,class 2
710,37,11657,class 2
711,69,10509,class 2
712,41,13412,class 2
713,31,14729,class 2
714,73,14609,class 2
715,64,10494,class 2
716,21,10368,class 2
717,32,10716,class 2
718,69,10222,class 2
719,79,14245,class 2
720,37,13746,class 2
721,69,10404,class 2
722,52,11242,class 2
723,43,14455,class 2
724,34,11392,class 2
725,71,14203,class 2
726,40,13396,class 2
727,26,11226,class 2
728,26,14988,class 2
729,70,10201,class 2
730,52,12564,class 2
731,41,13575,class 2
732,44,12537,class 2
733,60,14005,class 2
734,70,10306,class 2
735,80,14866,class 2
736,49,10821,class 2
737,56,10581,class 2
738,72,11242,class 2
739,30,11551,class 2
740,74,10424,class 2
741,43,13564,class 2
742,75,11150,class 2
743,29,11334,class 2
744,72,12391,class 2
745,76,13632,class 2
746,42,13333,class 2
747,79,13104,class 2
748,79,13549,class 2
749,79,14025,class 2
750,62,10664,class 2
751,58,13774,class 2
752,35,11753,class 2
753,51,12960,class 2
754,57,13520,class 2
755,57,14380,class 2
756,40,10574,class 2
757,68,14750,class 2
758,47,14736,class 2
759,80,10906,class 2
760,33,13128,class 2
761,32,11663,class 2
762,49,12735,class 2
763,71,12131,class 2
764,40,11332,class 2
765,37,14374,class 2
766,76,10972,class 2
767,23,12091,class 2
768,54,12808,class 2
769,63,14252,class 2
770,51,12674,class 2
771,57,14172,class 2
772,70,10945,class 2
773,29,13541,class 2
774,61,13698,class 2
775,76,12291,class 2
776,26,10055,class 2
777,78,10086,class 2
778,66,14270,class 2
779,56,10948,class 2
780,38,14139,class 2
781,72,11098,class 2
782,77,13853,class 2
783,49,11229,class 2
784,61,14683,class 2
785,43,13814,class 2
786,36,14449,class 2
787,71,10729,class 2
788,61,13189,class 2
789,37,12658,class 2
790,74,11549,class 2
791,25,12762,class 2
792,36,13066,class 2
793,73,10346,class 2
794,70,10703,class 2
795,75,14548,class 2
796,43,10653,class 2
797,56,14572,class 2
798,69,13926,class 2
799,21,12032,class 2
800,71,12032,class 2
801,29,10725,class 2
802,35,11277,class 2
803,38,10583,class 2
804,71,10879,class 2
805,30,14789,class 2
806,29,12401,class 2
807,55,12482,class 2
808,75,14242,class 2
809,66,12179,class 2
810,33,12484,class 2
811,53,14048,class 2
812,65,11741,class 2
813,61,11879,class 2
814,26,12882,class 2
815,59,11383,class 2
816,38,11710,class 2
817,49,11824,class 2
818,32,14581,class 2
819,33,11459,class 2
820,65,11717,class 2
821,76,14123,class 2
822,47,10029,class 2
823,32,13426,class 2
824,23,11506,class 2
825,47,10791,class 2
826,70,13616,class 2
827,66,10311,class 2
828,65,13415,class 2
829,47,13177,class 2
830,55,12639,class 2
831,46,12957,class 2
832,53,11854,class 2
833,79,12580,class 2
834,45,10124,class 2
835,51,12008,class 2
836,29,13306,class 2
837,56,14143,class 2
838,45,12044,class 2
839,58,10332,class 2
840,34,10338,class 2
841,29,13352,class 2
842,60,10340,class 2
843,31,10065,class 2
844,32,10375,class 2
845,42,13788,class 2
846,26,11710,class 2
847,42,10260,class 2
848,32,11851,class 2
849,38,13524,class 2
850,66,11019,class 2
851,32,12934,class 2
852,75,14461,class 2
853,73,13788,class 2
854,65,11504,class 2
855,55,10412,class 2
856,33,12657,class 2
857,58,14112,class 2
858,22,11263,class 2
859,25,10364,class 2
860,77,13002,class 2
861,45,14724,class 2
862,76,10587,class 2
863,21,11520,class 2
864,78,14951,class 2
865,27,14329,class 2
866,71,13015,class 2
867,57,10406,class 2
868,34,11766,class 2
869,68,14921,class 2
870,67,14573,class 2
871,53,13252,class 2
872,52,10352,class 2
873,75,11805,class 2
874,22,11228,class 2
875,52,11865,class 2
876,26,13832,class 2
877,40,14261,class 2
878,58,14607,class 2
879,74,12207,class 2
880,51,13011,class 2
881,20,12242,class 2
882,27,12097,class 2
883,71,14183,class 2
884,28,14091,class 2
885,40,12925,class 2
886,55,13556,class 2
887,77,13541,class 2
888,46,13918,class 2
889,21,10649,class 2
890,28,10021,class 2
891,70,12379,class 2
892,24,12150,class 2
893,31,11164,class 2
894,55,12811,class 2
895,55,10251,class 2
896,64,14591,class 2
897,27,14255,class 2
898,41,13911,class 2
899,36,13458,class 2
900,30,11309,class 2
901,50,10500,class 2
902,79,11325,class 2
903,73,13849,class 2
904,33,12447,class 2
905,72,13346,class 2
906,36,10587,class 2
907,59,14336,class 2
908,66,11825,class 2
909,70,10752,class 2
910,36,12139,class 2
911,20,14229,class 2
912,26,11482,class 2
913,67,12778,class 2
914,22,12090,class 2
915,79,10845,class 2
916,22,12712,class 2
917,49,12699,class 2
918,42,10011,class 2
919,20,13000,class 2
920,71,10106,class 2
921,52,11004,class 2
922,37,12861,class 2
923,45,10229,class 2
924,20,11216,class 2
925,37,13352,class 2
926,45,12646,class 2
927,26,11732,class 2
928,68,11433,class 2
929,62,14336,class 2
930,42,10914,class 2
931,44,12386,class 2
932,58,11462,class 2
933,34,14560,class 2
934,67,11349,class 2
935,54,14326,class 2
936,26,13710,class 2
937,53,14277,class 2
938,51,10619,class 2
939,38,14220,class 2
940,77,13526,class 2
941,68,10714,class 2
942,43,10858,class 2
943,70,14251,class 2
944,64,12642,class 2
945,61,12132,class 2
946,46,10913,class 2
947,59,11656,class 2
948,26,12299,class 2
949,24,13670,class 2
950,70,14249,class 2
951,36,12490,class 2
952,78,11761,class 2
953,37,11735,class 2
954,76,14894,class 2
955,50,14459,class 2
956,52,14264,class 2
957,75,14480,class 2
958,65,14777,class 2
959,31,13219,class 2
960,31,11586,class 2
961,30,10641,class 2
962,51,10932,class 2
963,37,12965,class 2
964,29,13409,class 2
965,61,12166,class 2
966,37,12191,class 2
967,20,14825,class 2
968,27,11768,class 2
969,28,12500,class 2
970,54,13703,class 2
971,46,12431,class 2
972,43,13089,class 2
973,65,13214,class 2
974,24,10357,class 2
975,29,14690,class 2
976,26,10124,class 2
977,39,11804,class 2
978,65,14722,class 2
979,40,13911,class 2
980,68,11131,class 2
981,20,14552,class 2
982,20,14596,class 2
983,62,12933,class 2
984,57,13330,class 2
985,71,12328,class 2
986,57,14587,class 2
987,58,11847,class 2
988,45,14899,class 2
989,56,12827,class 2
990,37,12936,class 2
991,35,12461,class 2
992,46,14839,class 2
993,67,14927,class 2
994,68,12624,class 2
995,31,12213,class 2
996,79,14546,class 2
997,22,11066,class 2
998,41,14141,class 2
999,56,12025,class 2
1000,47,13602,class 2
1001,57,10219,class 2
1002,52,13010,class 2
1003,69,11293,class 2
1004,46,11949,class 2
1005,70,12663,class 2
1006,23,12838,class 2
1007,35,12221,class 2
1008,46,13101,class 2
1009,78,13827,class 2
1010,69,14179,class 2
1011,47,12834,class 2
1012,65,12187,class 2
1013,28,10281,class 2
1014,39,14799,class 2
1015,70,12550,class 2
1016,53,12791,class 2
1017,74,10625,class 2
1018,54,13910,class 2
1019,58,11230,class 2
1020,43,11211,class 2
1021,54,13657,class 2
1022,44,12053,class 2
1023,20,13884,class 2
1024,37,11178,class 2
1025,27,10245,class 2
1026,47,13973,class 2
1027,62,11443,class 2
1028,38,10030,class 2
1029,28,13181,class 2
1030,37,13769,class 2
1031,79,14479,class 2
1032,54,13951,class 2
1033,52,10520,class 2
1034,55,12950,class 2
1035,56,12681,class 2
1036,78,14602,class 2
1037,68,14689,class 2
1038,23,10403,class 2
1039,38,10000,class 2
1040,66,12881,class 2
1041,44,12874,class 2
1042,21,12204,class 2
1043,74,12882,class 2
1044,69,12287,class 2
1045,50,10892,class 2
1046,64,14742,class 2
1047,46,13442,class 2
1048,73,14418,class 2
1049,56,14810,class 2
1050,34,14276,class 2
1051,41,14383,class 2
1052,48,11166,class 2
1053,23,14290,class 2
1054,38,11859,class 2
1055,47,12235,class 2
1056,69,10676,class 2
1057,56,12127,class 2
1058,25,10045,class 2
1059,59,13901,class 2
1060,66,14065,class 2
1061,21,11462,class 2
1062,25,11242,class 2
1063,22,13594,class 2
1064,71,10888,class 2
1065,29,14123,class 2
1066,28,10549,class 2
1067,53,10049,class 2
1068,61,10168,class 2
1069,71,14713,class 2
1070,68,13523,class 2
1071,73,12681,class 2
1072,37,14404,class 2
1073,47,13789,class 2
1074,40,13803,class 2
1075,75,14107,class 2
1076,37,13139,class 2
1077,70,13824,class 2
1078,63,14432,class 2
1079,25,11172,class 2
1080,76,10103,class 2
1081,55,10590,class 2
1082,44,13711,class 2
1083,48,10671,class 2
1084,74,14461,class 2
1085,53,13621,class 2
1086,21,13377,class 2
1087,39,11771,class 2
1088,30,13038,class 2
1089,79,14616,class 2
1090,32,13738,class 2
1091,38,10760,class 2
1092,29,12959,class 2
1093,60,12472,class 2
1094,52,14940,class 2
1095,76,14801,class 2
1096,31,12992,class 2
1097,50,10342,class 2
1098,63,13307,class 2
1099,23,14684,class 2
1100,32,10583,class 2
1101,80,14635,class 2
1102,47,10640,class 2
1103,50,12890,class 2
1104,42,10037,class 2
1105,53,13696,class 2
1106,71,11240,class 2
1107,35,11273,class 2
1108,39,10560,class 2
1109,34,13738,class 2
1110,24,14137,class 2
1111,53,11263,class 2
1112,65,14548,class 2
1113,24,11669,class 2
1114,56,12746,class 2
1115,62,14732,class 2
1116,35,10072,class 2
1117,35,13395,class 2
1118,38,10917,class 2
1119,69,14401,class 2
1120,63,10374,class 2
1121,35,10212,class 2
1122,51,13430,class 2
1123,63,12570,class 2
1124,54,10834,class 2
1125,60,11507,class 2
1126,70,13626,class 2
1127,44,10953,class 2
1128,53,10524,class 2
1129,36,11369,class 2
1130,48,13476,class 2
1131,31,12006,class 2
1132,34,11405,class 2
1133,51,11145,class 2
1134,73,11423,class 2
1135,66,13836,class 2
1136,40,14037,class 2
1137,66,14717,class 2
1138,52,14131,class 2
1139,80,11557,class 2
1140,80,13516,class 2
1141,74,13488,class 2
1142,66,13595,class 2
1143,65,13153,class 2
1144,68,13219,class 2
1145,58,14326,class 2
1146,37,10614,class 2
1147,43,13269,class 2
1148,52,11000,class 2
1149,40,12856,class 2
1150,51,11214,class 2
1151,60,13624,class 2
1152,20,12387,class 2
1153,70,12822,class 2
1154,62,11179,class 2
1155,23,13021,class 2
1156,58,14835,class 2
1157,77,12640,class 2
1158,22,11161,class 2
1159,42,12879,class 2
1160,75,14104,class 2
1161,36,13713,class 2
1162,77,11903,class 2
1163,49,12579,class 2
1164,22,13778,class 2
1165,49,10682,class 2
1166,22,11963,class 2
1167,31,14613,class 2
1168,61,11326,class 2
1169,45,13331,class 2
1170,48,14295,class 2
1171,52,11667,class 2
1172,31,13959,class 2
1173,40,13518,class 2
1174,67,12562,class 2
1175,80,11569,class 2
1176,20,13827,class 2
1177,59,12536,class 2
1178,50,14177,class 2
1179,37,14450,class 2
1180,67,12580,class 2
1181,70,14507,class 2
1182,78,11614,class 2
1183,57,11923,class 2
1184,79,11409,class 2
1185,50,12969,class 2
1186,44,12783,class 2
1187,76,10490,class 2
1188,57,14162,class 2
1189,47,11115,class 2
1190,75,14819,class 2
1191,52,14366,class 2
1192,68,11446,class 2
1193,47,11521,class 2
1194,39,11361,class 2
1195,40,13987,class 2
1196,52,14338,class 2
1197,58,10326,class 2
1198,69,13453,class 2
1199,64,10264,class 2
1200,24,18177,class 3
1201,23,17485,class 3
1202,24,18254,class 3
1203,33,15618,class 3
1204,38,15337,class 3
1205,30,18510,class 3
1206,63,15792,class 3
1207,69,17994,class 3
1208,60,16681,class 3
1209,22,15932,class 3
1210,77,18898,class 3
1211,68,16676,class 3
1212,32,17886,class 3
1213,56,19818,class 3
1214,21,18409,class 3
1215,45,17702,class 3
1216,61,19071,class 3
1217,64,18838,class 3
1218,30,18973,class 3
1219,23,16989,class 3
1220,74,16939,class 3
1221,36,17035,class 3
1222,70,16907,class 3
1223,30,18409,class 3
1224,49,15105,class 3
1225,72,18137,class 3
1226,80,18582,class 3
1227,41,15039,class 3
1228,31,18586,class 3
1229,25,19298,class 3
1230,23,16581,class 3
1231,21,15614,class 3
1232,37,15739,class 3
1233,75,16219,class 3
1234,78,18671,class 3
1235,50,16146,class 3
1236,78,17500,class 3
1237,39,15343,class 3
1238,53,15165,class 3
1239,38,16584,class 3
1240,67,15480,class 3
1241,28,15946,class 3
1242,77,16548,class 3
1243,77,15726,class 3
1244,54,16540,class 3
1245,57,18030,class 3
1246,39,18083,class 3
1247,38,16456,class 3
