Name,Latitude,Longitude,Text,Text2,,
"Zion National Park, Utah, USA",37.297817,-113.028770,🌲,🦌,TY,
"Yosemite National Park, California, USA",37.865101,-119.538330,🌲,🦌,CA,
"Yellowstone National Park, Wyoming, USA",44.429764,-110.584663,🌲,🦌,WY,
"Haleakalā National Park, Hawaii, USA",20.701283,-156.173325,🌲,🦌,HI,
"Malibu Creek State Park, Calabasas, CA, USA",34.105156,-118.731316,🌲,🦌,CA,
"Manti-La Sal National Forest, Price, UT, USA",39.187050,-111.379890,🌲,🦌,UT,
"Cherry Creek State Park, Aurora, CO, USA",39.639973,-104.831863,🌲,🦌,CO,
"Kissimmee Prairie Preserve State Park, Okeechobee, FL, USA",27.612417,-81.053383,🌲,🦌,FL,
"Garden of Gods, Colorado Springs, CO, USA",38.873840,-104.886665,🌲,🦌,CO,
"Petrified Forest National Park, Arizona, USA",34.909988,-109.806793,🌲,🦌,AZ,
"Fort Berthold Indian Reservation, ND, USA",47.683880,-102.354126,🌲,🦌,ND,
"Chattahoochee National Forest, Suches, GA, USA",34.765972,-84.143517,🌲,🦌,GA,
"Little Sandy National Wildlife Refuge, Lindale, TX, USA",32.590797,-95.273666,🌲,🦌,TX,
"Siuslaw National Forest, Tidewater, OR, USA",44.358715,-123.829994,🌲,🦌,OR,
"Kings Canyon National Park, California, USA",36.887856,-118.555145,🌲,🦌,CA,
"Ruffner Mountain Nature Center, Birmingham, AL, USA",33.558990,-86.707016,🌲,🦌,AL,
"Yellowstone National Park, WY, USA",44.427284,-110.584389,🌲,🦌,WY,
"Kings Mountain State Park, Blacksburg, SC, USA",35.130459,-81.345444,🌲,🦌,SC,
"Honolulu Watershed Forest Preserve, Honolulu, HI, USA",21.363251,-157.781265,🌲,🦌,HI,
"Oleta River State Park, North Miami, FL, USA",25.921614,-80.144402,🌲,🦌,FL,
"Grant Park, Chicago, IL, USA",41.876465,-87.621887,🌲,🦌,IL,
"Wisconsin Interstate State Park, USA",45.398449,-92.645126,🌲,🦌,WI,
"Bridge Creek Wildlife Area, Ukiah, OR, USA",45.043449,-118.949318,🌲,🦌,OR,
"Willamette National Forest, Blue River, OR, USA",44.060471,-122.091736,🌲,🦌,OR,
"Golden Gate Canyon State Park, CA, USA",39.814339,-105.395622,🌲,🦌,CA,
"William F Hayden Green Mountain Park, Lakewood, CO, USA",39.702827,-105.175636,🌲,🦌,CO,
"Cades Cove, Great Smoky Mountains National Park, Tennessee, USA",35.593670,-83.824997,🌲,🦌,TN,
"Lantz Farm and Nature Preserve, WV, USA",39.516754,-80.649948,🌲,🦌,WV,
"Myakka State Forest, Englewood, FL, USA",26.988386,-82.286552,🌲,🦌,FL,
"Lake Eola Park, Orlando, FL, USA",28.545021,-81.372856,🌲,🦌,FL,
"Gulf State Park, Gulf Shores, AL, USA",30.262793,-87.636337,🌲,🦌,AL,
"Egypt Valley Wildlife Area, OH, USA",40.115486,-81.114090,🌲,🦌,OH,
"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia, USA",33.976376,-84.579163,🌲,🦌,GA,
"Shenandoah National Park, Shenandoah, VA, USA",38.700516,-78.292694,🌲,🦌,VA,
"Ricketts Glen State Park, PA, USA",41.339184,-76.290436,🌲,🦌,PA,
"El Dorado State Park, Kansas, USA",37.866047,-96.756935,🌲,🦌,KS,
"Polihale State Park, Waimea, HI, USA",22.079357,-159.761642,🌲,🦌,HI,
"Lake Wateree State Recreation Area, NC, USA",34.375179,-80.863495,🌲,🦌,NC,
"Kekaha Kai State Park, Kona, HI, USA",19.788027,-156.023453,🌲,🦌,HI,
"National Bison Range, Montana, USA",47.342545,-114.209747,🌲,🦌,MT,
"Castlewood Canyon State Park, Colorado, USA",39.319424,-104.730606,🌲,🦌,CO,
"Hillman State Park, Burgettstown, PA, USA",40.453739,-80.400864,🌲,🦌,PA,
"Little Big Econ State Forest, FL, the US",28.673721,-81.104507,🌲,🦌,FL,
"Eagle Bluffs Conservation Area, Columbia, USA",38.848934,-92.431839,🌲,🦌,MO,
"Everglades National Park, Florida, USA",25.286615,-80.898651,🌲,🦌,FL,
"Mount Mitchell State Park, NC, the US",35.768803,-82.306137,🌲,🦌,NC,
"Mt. Hood National Forest, Oregon, the US",45.454350,-121.933136,🌲,🦌,OR,
"Island Park, Idaho, the US",44.429733,-111.440849,🌲,🦌,ID,
"Bryce Canyon National Park, Utah, USA",37.593048,-112.187332,🌲,🦌,UT,
"Mammoth Cave National Park, KY, USA",37.183640,-86.159943,🌲,🦌,KY,
"Redwood National and State Parks, CA, USA",41.213181,-124.004631,🌲,🦌,CA,
"Yellowstone National Park, USA",44.423691,-110.588516,🌲,🦌,WY,
