age,income,class
76,9473,Third Class
28,5732,Third Class
41,8795,Third Class
51,5678,Third Class
46,4674,Third Class
34,9622,Third Class
21,4087,Third Class
51,5976,Third Class
36,7812,Third Class
60,3243,Third Class
67,7538,Third Class
65,4483,Third Class
67,9415,Third Class
31,4017,Third Class
75,6920,Third Class
23,3868,Third Class
69,5832,Third Class
38,3219,Third Class
47,4873,Third Class
55,5870,Third Class
72,7169,Third Class
46,4181,Third Class
59,7866,Third Class
66,8667,Third Class
31,9531,Third Class
34,8582,Third Class
31,8968,Third Class
20,3394,Third Class
22,4755,Third Class
64,4109,Third Class
69,8434,Third Class
22,4645,Third Class
21,5590,Third Class
72,4682,Third Class
32,3394,Third Class
68,5054,Third Class
60,9664,Third Class
60,8878,Third Class
33,8852,Third Class
37,6884,Third Class
71,7421,Third Class
62,4074,Third Class
21,6938,Third Class
73,3003,Third Class
42,5396,Third Class
63,4469,Third Class
41,3752,Third Class
73,7921,Third Class
56,3590,Third Class
27,8391,Third Class
52,5888,Third Class
77,4718,Third Class
56,6690,Third Class
23,3477,Third Class
33,3088,Third Class
60,7525,Third Class
51,7444,Third Class
22,3030,Third Class
51,4226,Third Class
24,3044,Third Class
31,8889,Third Class
29,3715,Third Class
78,5434,Third Class
63,8042,Third Class
28,7662,Third Class
39,9743,Third Class
44,8763,Third Class
28,3527,Third Class
69,9740,Third Class
55,7403,Third Class
47,8133,Third Class
21,4013,Third Class
70,3306,Third Class
76,4071,Third Class
38,7465,Third Class
65,5382,Third Class
55,5822,Third Class
73,9318,Third Class
21,4785,Third Class
24,6610,Third Class
75,6743,Third Class
27,4094,Third Class
26,3040,Third Class
37,3073,Third Class
60,3537,Third Class
44,3915,Third Class
77,7927,Third Class
33,8199,Third Class
50,5856,Third Class
58,9975,Third Class
26,3900,Third Class
74,3339,Third Class
26,3624,Third Class
63,4894,Third Class
51,3564,Third Class
54,3886,Third Class
37,4016,Third Class
59,6911,Third Class
71,3841,Third Class
67,9209,Third Class
52,4891,Third Class
70,5049,Third Class
31,4173,Third Class
66,4608,Third Class
40,3746,Third Class
24,6458,Third Class
52,4583,Third Class
45,6523,Third Class
50,6852,Third Class
38,6293,Third Class
56,9848,Third Class
79,9401,Third Class
64,4654,Third Class
36,7253,Third Class
29,7679,Third Class
20,7687,Third Class
36,8845,Third Class
74,3015,Third Class
56,7105,Third Class
54,8972,Third Class
55,7145,Third Class
33,6422,Third Class
34,6227,Third Class
24,8548,Third Class
73,9933,Third Class
48,7244,Third Class
63,7118,Third Class
34,3078,Third Class
80,6986,Third Class
27,4143,Third Class
62,8687,Third Class
35,4472,Third Class
52,9166,Third Class
53,3408,Third Class
71,9288,Third Class
69,4534,Third Class
77,8311,Third Class
30,9451,Third Class
21,5987,Third Class
47,3465,Third Class
26,7751,Third Class
76,6763,Third Class
54,5146,Third Class
31,6376,Third Class
57,5375,Third Class
42,6313,Third Class
40,3653,Third Class
66,9086,Third Class
75,7096,Third Class
65,4329,Third Class
46,9317,Third Class
65,8445,Third Class
44,3798,Third Class
74,5778,Third Class
61,5809,Third Class
56,7276,Third Class
46,6475,Third Class
80,6055,Third Class
43,5914,Third Class
23,5720,Third Class
48,8922,Third Class
52,14134,Second Class
54,10806,Second Class
28,14939,Second Class
30,12517,Second Class
50,14322,Second Class
28,12523,Second Class
49,10566,Second Class
57,12597,Second Class
57,14823,Second Class
21,13328,Second Class
31,12121,Second Class
72,12871,Second Class
36,10438,Second Class
41,11712,Second Class
51,14366,Second Class
63,13327,Second Class
66,12432,Second Class
78,13614,Second Class
30,13031,Second Class
26,10675,Second Class
47,13103,Second Class
50,11840,Second Class
44,13501,Second Class
72,12596,Second Class
78,12313,Second Class
73,14215,Second Class
68,13822,Second Class
43,13786,Second Class
46,14627,Second Class
38,11943,Second Class
61,14382,Second Class
41,10915,Second Class
63,10060,Second Class
78,13218,Second Class
56,11853,Second Class
60,12154,Second Class
29,14435,Second Class
30,11841,Second Class
67,10199,Second Class
51,10036,Second Class
42,13940,Second Class
80,14791,Second Class
52,14942,Second Class
22,12974,Second Class
30,14012,Second Class
73,11654,Second Class
53,11032,Second Class
70,12260,Second Class
67,11850,Second Class
56,12601,Second Class
25,13159,Second Class
24,11019,Second Class
29,10364,Second Class
78,11539,Second Class
74,13791,Second Class
43,14056,Second Class
70,10723,Second Class
27,14832,Second Class
36,10908,Second Class
75,12828,Second Class
59,11183,Second Class
76,10636,Second Class
29,12851,Second Class
76,11720,Second Class
37,12888,Second Class
32,10097,Second Class
28,12010,Second Class
55,14651,Second Class
22,11193,Second Class
61,11849,Second Class
34,13764,Second Class
48,13527,Second Class
68,13592,Second Class
24,10665,Second Class
36,10686,Second Class
46,10850,Second Class
41,14201,Second Class
24,11474,Second Class
34,13752,Second Class
35,12064,Second Class
56,13995,Second Class
58,12937,Second Class
41,13955,Second Class
75,14896,Second Class
24,13748,Second Class
51,11537,Second Class
62,11027,Second Class
32,14504,Second Class
24,12346,Second Class
78,13478,Second Class
55,10965,Second Class
56,10900,Second Class
35,13846,Second Class
52,13214,Second Class
60,10488,Second Class
78,11150,Second Class
28,11869,Second Class
74,10014,Second Class
24,12394,Second Class
25,14229,Second Class
68,13219,Second Class
21,14438,Second Class
72,10735,Second Class
54,11621,Second Class
20,10647,Second Class
55,10661,Second Class
48,14917,Second Class
58,11829,Second Class
31,14142,Second Class
49,10595,Second Class
52,14422,Second Class
34,12163,Second Class
52,10108,Second Class
41,14828,Second Class
42,11312,Second Class
38,11912,Second Class
61,10491,Second Class
57,13420,Second Class
65,14365,Second Class
42,12451,Second Class
34,12038,Second Class
67,11857,Second Class
39,11796,Second Class
54,12541,Second Class
36,13334,Second Class
26,14024,Second Class
34,10526,Second Class
22,11445,Second Class
21,10520,Second Class
56,11591,Second Class
56,11377,Second Class
25,10072,Second Class
37,12716,Second Class
57,12651,Second Class
72,11402,Second Class
75,10591,Second Class
29,13899,Second Class
20,11078,Second Class
54,14159,Second Class
47,10224,Second Class
63,14384,Second Class
20,11810,Second Class
26,12269,Second Class
78,10005,Second Class
40,14920,Second Class
50,11851,Second Class
66,14166,Second Class
77,13748,Second Class
20,14818,Second Class
58,14028,Second Class
63,14079,Second Class
46,14104,Second Class
24,12649,Second Class
22,10080,Second Class
22,13860,Second Class
33,11701,Second Class
39,14414,Second Class
74,13393,Second Class
53,13389,Second Class
42,12922,Second Class
61,13776,Second Class
41,14858,Second Class
53,13260,Second Class
75,10331,Second Class
56,10719,Second Class
57,13075,Second Class
30,10124,Second Class
75,10490,Second Class
22,14969,Second Class
65,14917,Second Class
77,11286,Second Class
73,14506,Second Class
72,14369,Second Class
43,10381,Second Class
59,14738,Second Class
25,10193,Second Class
57,14963,Second Class
35,13512,Second Class
27,12957,Second Class
60,14398,Second Class
25,14934,Second Class
42,12601,Second Class
72,12589,Second Class
62,12598,Second Class
25,14166,Second Class
74,13297,Second Class
69,12644,Second Class
31,12914,Second Class
37,10747,Second Class
45,13436,Second Class
63,14410,Second Class
66,14092,Second Class
74,13690,Second Class
55,13649,Second Class
43,14178,Second Class
52,13093,Second Class
65,12339,Second Class
34,13947,Second Class
77,11278,Second Class
56,12214,Second Class
57,12973,Second Class
60,11232,Second Class
34,11920,Second Class
51,10265,Second Class
70,11342,Second Class
57,14897,Second Class
40,10542,Second Class
76,11140,Second Class
61,12284,Second Class
42,13423,Second Class
71,13853,Second Class
45,14551,Second Class
21,14407,Second Class
71,11057,Second Class
77,14671,Second Class
56,10431,Second Class
24,10723,Second Class
52,13547,Second Class
57,11733,Second Class
44,13259,Second Class
44,11666,Second Class
74,12851,Second Class
25,11593,Second Class
71,13998,Second Class
32,11514,Second Class
44,11974,Second Class
20,11192,Second Class
72,11048,Second Class
27,12961,Second Class
80,12524,Second Class
24,10050,Second Class
77,12865,Second Class
50,11978,Second Class
26,13266,Second Class
33,14970,Second Class
29,10725,Second Class
58,12915,Second Class
30,10491,Second Class
74,12272,Second Class
68,12363,Second Class
47,14294,Second Class
61,11045,Second Class
24,14967,Second Class
40,10004,Second Class
63,13889,Second Class
50,12596,Second Class
31,12470,Second Class
58,12341,Second Class
73,12090,Second Class
59,14414,Second Class
30,12785,Second Class
44,14386,Second Class
55,13468,Second Class
60,12369,Second Class
77,14119,Second Class
47,13446,Second Class
73,11289,Second Class
39,13425,Second Class
34,14205,Second Class
69,11587,Second Class
20,11179,Second Class
22,14195,Second Class
80,14106,Second Class
45,14720,Second Class
59,12807,Second Class
25,10513,Second Class
45,13996,Second Class
27,12081,Second Class
77,14914,Second Class
31,13874,Second Class
32,13120,Second Class
38,11442,Second Class
32,13239,Second Class
41,14358,Second Class
78,12406,Second Class
68,14738,Second Class
75,13053,Second Class
47,13914,Second Class
62,13439,Second Class
46,14804,Second Class
51,11477,Second Class
68,12092,Second Class
31,12780,Second Class
54,14519,Second Class
59,14159,Second Class
21,14428,Second Class
58,14882,Second Class
50,10128,Second Class
58,14363,Second Class
71,11203,Second Class
42,10435,Second Class
30,11002,Second Class
39,13972,Second Class
58,10439,Second Class
54,13696,Second Class
45,14877,Second Class
46,10653,Second Class
73,13771,Second Class
43,10887,Second Class
71,11968,Second Class
75,14201,Second Class
56,12951,Second Class
62,13299,Second Class
68,10221,Second Class
72,10076,Second Class
23,12625,Second Class
23,12692,Second Class
50,14093,Second Class
66,14002,Second Class
25,12827,Second Class
62,12875,Second Class
50,14719,Second Class
50,10704,Second Class
44,12281,Second Class
76,14744,Second Class
26,13090,Second Class
22,14628,Second Class
34,10008,Second Class
44,12214,Second Class
53,11094,Second Class
49,11146,Second Class
74,13299,Second Class
47,10068,Second Class
24,10725,Second Class
59,13617,Second Class
24,10619,Second Class
40,14709,Second Class
26,10625,Second Class
49,11773,Second Class
58,14787,Second Class
22,11749,Second Class
64,10178,Second Class
56,13339,Second Class
41,11902,Second Class
39,14656,Second Class
20,12842,Second Class
78,14983,Second Class
32,13363,Second Class
60,10093,Second Class
44,10250,Second Class
61,12682,Second Class
43,13153,Second Class
63,11637,Second Class
44,13026,Second Class
63,13809,Second Class
57,12785,Second Class
24,14109,Second Class
27,10875,Second Class
28,15042,First Class
53,19863,First Class
31,15674,First Class
32,18743,First Class
68,18210,First Class
53,16122,First Class
24,18203,First Class
54,17933,First Class
66,16150,First Class
75,17990,First Class
49,15825,First Class
60,17529,First Class
25,18246,First Class
72,16905,First Class
57,15071,First Class
36,17315,First Class
66,16412,First Class
51,15758,First Class
44,15751,First Class
58,15430,First Class
40,15821,First Class
55,17554,First Class
62,15037,First Class
24,16028,First Class
64,16226,First Class
36,15307,First Class
77,17062,First Class
26,18068,First Class
78,18825,First Class
80,19626,First Class
68,15916,First Class
40,18660,First Class
72,17094,First Class
37,15835,First Class
80,17118,First Class
43,16078,First Class
46,15779,First Class
40,16368,First Class
67,17853,First Class
77,15354,First Class
28,16019,First Class
45,15256,First Class
22,16514,First Class
26,19449,First Class
25,15056,First Class
39,19649,First Class
39,19459,First Class
59,15542,First Class
21,19620,First Class
29,18473,First Class
71,16638,First Class
42,19787,First Class
63,18903,First Class
60,17330,First Class
70,17202,First Class
80,15510,First Class
79,19305,First Class
51,17838,First Class
48,15611,First Class
54,17244,First Class
58,15679,First Class
32,18117,First Class
31,16000,First Class
48,15395,First Class
27,17209,First Class
71,18431,First Class
59,17686,First Class
29,19450,First Class
77,16078,First Class
38,15885,First Class
63,16788,First Class
45,17085,First Class
37,15065,First Class
55,17301,First Class
40,19832,First Class
76,15603,First Class
29,15259,First Class
48,18834,First Class
28,18474,First Class
27,15561,First Class
38,16108,First Class
66,18834,First Class
30,17099,First Class
37,15461,First Class
78,18136,First Class
52,16969,First Class
32,17847,First Class
43,15686,First Class
37,18299,First Class
31,16272,First Class
61,15953,First Class
78,16965,First Class
21,17889,First Class
53,18353,First Class
67,16092,First Class
32,17901,First Class
59,17883,First Class
48,15336,First Class
55,16748,First Class
80,19063,First Class
61,16900,First Class
68,15976,First Class
45,16391,First Class
76,19207,First Class
37,18486,First Class
37,18243,First Class
72,18003,First Class
71,19100,First Class
21,18382,First Class
75,19876,First Class
30,18804,First Class
31,19215,First Class
28,15256,First Class
63,17423,First Class
40,15801,First Class
65,18084,First Class
34,17656,First Class
21,17730,First Class
71,15970,First Class
25,17845,First Class
76,18063,First Class
80,18537,First Class
49,15175,First Class
65,18115,First Class
51,18415,First Class
61,19792,First Class
78,15726,First Class
70,17187,First Class
75,20000,First Class
72,15652,First Class
64,17772,First Class
40,17319,First Class
43,16754,First Class
52,19587,First Class
45,15525,First Class
57,17171,First Class
63,17400,First Class
52,17833,First Class
77,18879,First Class
75,15239,First Class
22,15423,First Class
54,17636,First Class
70,16513,First Class
67,16565,First Class
63,17551,First Class
59,16371,First Class
53,19287,First Class
61,19601,First Class
42,15533,First Class
49,16634,First Class
44,16634,First Class
37,16643,First Class
38,15104,First Class
50,19286,First Class
62,19171,First Class
37,19929,First Class
65,19285,First Class
59,18687,First Class
77,16665,First Class
78,18389,First Class
63,17881,First Class
28,17128,First Class
49,17546,First Class
60,15316,First Class
78,15794,First Class
60,16772,First Class
75,19732,First Class
43,16505,First Class
48,16763,First Class
47,18951,First Class
54,18922,First Class
37,18605,First Class
28,17499,First Class
43,18466,First Class
49,17820,First Class
26,15225,First Class
56,17486,First Class
26,15421,First Class
50,19187,First Class
24,19847,First Class
49,17575,First Class
64,19329,First Class
23,15471,First Class
79,16676,First Class
52,16796,First Class
44,16129,First Class
79,15380,First Class
74,17397,First Class
65,18565,First Class
66,17385,First Class
28,15639,First Class
59,17501,First Class
44,15288,First Class
37,19684,First Class
74,17192,First Class
47,16381,First Class
55,18663,First Class
67,19947,First Class
47,15947,First Class
58,18496,First Class
65,19042,First Class
66,16036,First Class
31,19526,First Class
64,19060,First Class
65,15801,First Class
58,19052,First Class
39,19880,First Class
75,17369,First Class
34,17548,First Class
21,15295,First Class
70,17948,First Class
33,18887,First Class
56,17440,First Class
49,19484,First Class
26,15412,First Class
61,18932,First Class
33,16922,First Class
55,18210,First Class
53,19125,First Class
69,16076,First Class
27,16969,First Class
35,17184,First Class
52,16745,First Class
54,17260,First Class
66,18006,First Class
74,19756,First Class
53,17596,First Class
65,19071,First Class
63,19277,First Class
33,19324,First Class
31,17741,First Class
63,17507,First Class
58,15033,First Class
33,15808,First Class
44,18953,First Class
78,17561,First Class
62,19894,First Class
22,16031,First Class
46,17806,First Class
53,16843,First Class
73,19313,First Class
40,17148,First Class
24,17176,First Class
73,17099,First Class
20,17284,First Class
25,18035,First Class
52,16631,First Class
44,16278,First Class
40,15505,First Class
55,15436,First Class
24,18708,First Class
50,15916,First Class
39,19605,First Class
27,19534,First Class
26,18428,First Class
48,19961,First Class
50,17114,First Class
79,16296,First Class
45,16046,First Class
47,17529,First Class
79,17856,First Class
31,18907,First Class
39,17492,First Class
35,19301,First Class
21,18419,First Class
65,15277,First Class
41,15691,First Class
47,19783,First Class
33,18519,First Class
24,19951,First Class
29,18960,First Class
40,15268,First Class
71,16758,First Class
78,18607,First Class
35,18445,First Class
25,16493,First Class
46,15115,First Class
60,15901,First Class
37,16673,First Class
59,15490,First Class
66,15978,First Class
77,18101,First Class
47,18339,First Class
65,16118,First Class
66,18232,First Class
65,18080,First Class
69,17352,First Class
80,18428,First Class
31,18002,First Class
29,17827,First Class
42,17433,First Class
71,15473,First Class
76,15757,First Class
39,18255,First Class
56,15385,First Class
74,16886,First Class
73,15546,First Class
24,16793,First Class
75,16777,First Class
52,18641,First Class
59,19151,First Class
43,15660,First Class
39,17652,First Class
43,16172,First Class
38,19868,First Class
37,17606,First Class
76,16759,First Class
22,19253,First Class
21,19288,First Class
55,19513,First Class
51,16329,First Class
41,16703,First Class
41,15702,First Class
75,15245,First Class
56,18127,First Class
46,16351,First Class
36,18352,First Class
60,17847,First Class
51,19956,First Class
65,17465,First Class
62,17757,First Class
55,19806,First Class
76,18324,First Class
58,26063,Premium Class
70,29175,Premium Class
20,25264,Premium Class
67,20438,Premium Class
67,20898,Premium Class
39,26446,Premium Class
80,24953,Premium Class
20,23601,Premium Class
58,21396,Premium Class
79,22841,Premium Class
55,25875,Premium Class
73,24783,Premium Class
47,21699,Premium Class
46,22918,Premium Class
68,24019,Premium Class
62,22144,Premium Class
59,21279,Premium Class
80,25279,Premium Class
80,27689,Premium Class
78,21244,Premium Class
63,23965,Premium Class
26,29564,Premium Class
28,25535,Premium Class
59,26118,Premium Class
70,22200,Premium Class
64,28237,Premium Class
75,22381,Premium Class
58,20723,Premium Class
60,24537,Premium Class
75,21466,Premium Class
31,21344,Premium Class
56,28640,Premium Class
59,27974,Premium Class
25,25454,Premium Class
40,24002,Premium Class
35,29348,Premium Class
70,20757,Premium Class
42,24280,Premium Class
64,29621,Premium Class
52,26195,Premium Class
72,20301,Premium Class
38,20364,Premium Class
52,22968,Premium Class
39,23412,Premium Class
43,29878,Premium Class
72,26257,Premium Class
24,25569,Premium Class
59,29447,Premium Class
28,29202,Premium Class
47,24630,Premium Class
57,22191,Premium Class
77,26938,Premium Class
33,29453,Premium Class
63,26709,Premium Class
53,28149,Premium Class
41,25959,Premium Class
72,25834,Premium Class
72,27438,Premium Class
43,29768,Premium Class
45,21676,Premium Class
67,24775,Premium Class
64,26135,Premium Class
34,24093,Premium Class
54,24611,Premium Class
48,20711,Premium Class
60,26575,Premium Class
50,25828,Premium Class
64,21974,Premium Class
40,21036,Premium Class
57,29793,Premium Class
64,20511,Premium Class
54,22808,Premium Class
45,23809,Premium Class
25,24201,Premium Class
40,22051,Premium Class
74,23421,Premium Class
45,23511,Premium Class
68,22834,Premium Class
30,27107,Premium Class
63,27351,Premium Class
71,25535,Premium Class
47,22128,Premium Class
69,26799,Premium Class
38,20815,Premium Class
42,29878,Premium Class
43,25532,Premium Class
56,29945,Premium Class
39,22293,Premium Class
69,26619,Premium Class
42,24021,Premium Class
58,26707,Premium Class
72,20757,Premium Class
33,28409,Premium Class
62,23425,Premium Class
77,24555,Premium Class
56,25878,Premium Class
60,29261,Premium Class
77,29780,Premium Class
26,27934,Premium Class
48,23710,Premium Class
72,26103,Premium Class
21,28733,Premium Class
41,27878,Premium Class
58,26025,Premium Class
41,28365,Premium Class
54,23924,Premium Class
32,25595,Premium Class
31,21208,Premium Class
58,26622,Premium Class
31,22662,Premium Class
67,21121,Premium Class
31,29833,Premium Class
71,27867,Premium Class
48,26368,Premium Class
61,27587,Premium Class
49,26057,Premium Class
62,25550,Premium Class
41,24813,Premium Class
38,29976,Premium Class
21,25763,Premium Class
28,28703,Premium Class
43,20015,Premium Class
68,23699,Premium Class
47,27179,Premium Class
35,23303,Premium Class
41,27840,Premium Class
63,22554,Premium Class
58,20480,Premium Class
80,29926,Premium Class
78,26509,Premium Class
60,26337,Premium Class
23,23223,Premium Class
24,21128,Premium Class
74,23423,Premium Class
77,21061,Premium Class
23,21281,Premium Class
53,27005,Premium Class
56,26236,Premium Class
54,27124,Premium Class
57,29541,Premium Class
35,21172,Premium Class
47,26028,Premium Class
23,27690,Premium Class
48,29652,Premium Class
75,28183,Premium Class
65,28609,Premium Class
27,26013,Premium Class
24,28106,Premium Class
21,28821,Premium Class
62,23774,Premium Class
31,22135,Premium Class
57,22137,Premium Class
25,28005,Premium Class
34,20067,Premium Class
57,28856,Premium Class
40,27663,Premium Class
62,25550,Premium Class
