iata,name,city,state,country,latitude,longitude,death
08M,Carthage-Leake County,Carthage,MS,USA,0.0,0.0,488.0
09A,Butler-Choctaw County,Butler,AL,USA,0.0,0.0,0.0
09J,Jekyll Island,Jekyll Island,GA,USA,0.0,0.0,377.0
09K,Sargent Municipal,Sargent,NE,USA,0.0,0.0,409.0
09M,Charleston Municipal,Charleston,MS,USA,0.0,0.0,155.0
09W,South Capitol Street,Washington,DC,USA,0.0,0.0,276.0
0A3,Smithville Municipal,Smithville,TN,USA,35.98531194,-85.80931806,0.0
0A8,Bibb County,Centreville,AL,USA,0.0,0.0,0.0
0A9,Elizabethton Municipal,Elizabethton,TN,USA,0.0,0.0,60.0
0AK,Pilot Station,Pilot Station,AK,USA,61.93396417,-162.8929358,167.0
0B1,Col. Dyke,Bethel,ME,USA,44.42506444,-70.80784778,23.0
0B4,Hartington Municipal,Hartington,NE,USA,0.0,0.0,0.0
0B5,Turners Falls,Montague,MA,USA,42.59136361,-72.52275472,18.0
0B7,Warren-Sugar Bush,Warren,VT,USA,44.11672722,-72.82705806,321.0
0B8,Elizabeth,Fishers Island,NY,USA,41.25130806,-72.03161139,87.0
0C0,Dacy,Chicago/Harvard,IL,USA,0.0,0.0,0.0
0C4,Pender Municipal,Pender,NE,USA,0.0,0.0,360.0
0D1,South Haven Municipal,South Haven,MI,USA,0.0,0.0,0.0
0D8,Gettysburg Municipal,Gettysburg,SD,USA,44.98730556,-99.9535,0.0
0E0,Moriarty,Moriarty,NM,USA,0.0,0.0,0.0
0E8,Crownpoint,Crownpoint,NM,USA,35.71765889,-108.2015961,0.0
0F2,Bowie Municipal,Bowie,TX,USA,0.0,0.0,150.0
0F4,Loup City Municipal,Loup City,NE,USA,0.0,0.0,285.0
0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,0.0,0.0,348.0
0F8,William R Pogue Municipal,Sand Springs,OK,USA,0.0,0.0,13.0
0F9,Tishomingo Airpark,Tishomingo,OK,USA,0.0,0.0,0.0
0G0,North Buffalo Suburban,Lockport,NY,USA,0.0,0.0,0.0
0G3,Tecumseh Municipal,Tecumseh,NE,USA,0.0,0.0,115.0
0G6,Williams County,Bryan,OH,USA,41.46736111,-84.50655556,0.0
0G7,Finger Lakes Regional,Seneca Falls,NY,USA,0.0,0.0,0.0
0H1,Trego Wakeeney,Wakeeney,KS,USA,0.0,0.0,0.0
0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,0.0,0.0,112.0
0J0,Abbeville Municipal,Abbeville,AL,USA,0.0,0.0,0.0
0J4,Florala Municipal,Florala,AL,USA,0.0,0.0,0.0
0J6,Headland Municipal,Headland,AL,USA,0.0,0.0,230.0
0K7,Humboldt Municipal,Humboldt,IA,USA,42.7360825,-94.24524167,0.0
0L5,Goldfield,Goldfield,NV,USA,37.71798833,-117.2384119,381.0
0L7,Jean,Jean,NV,USA,35.76827222,-115.3296378,160.0
0L9,Echo Bay,Overton,NV,USA,0.0,0.0,0.0
0M0,Dumas Municipal,Dumas,AR,USA,0.0,0.0,0.0
0M1,Scott,Parsons,TN,USA,0.0,0.0,375.0
0M4,Benton County,Camden,TN,USA,0.0,0.0,250.0
0M5,Humphreys County,Waverly,TN,USA,0.0,0.0,0.0
0M6,Panola County,Batesville,MS,USA,0.0,0.0,0.0
0M8,Byerley,Lake Providence,LA,USA,0.0,0.0,271.0
0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,USA,38.14611639,-120.6481733,258.0
0O4,Corning Municipal,Corning,CA,USA,39.94376806,-122.1713781,312.0
0O5,University,Davis,CA,USA,38.53146222,-121.7864906,264.0
0Q5,Shelter Cove,Shelter Cove,CA,USA,40.02764333,-124.0733639,2.0
0Q6,Shingletown,Shingletown,CA,USA,40.52210111,-121.8177683,371.0
0R0,Columbia-Marion County,Columbia,MS,USA,0.0,0.0,59.0
0R1,Atmore Municipal,Atmore,AL,USA,0.0,0.0,315.0
0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,29.97576083,-92.08415167,0.0
0R4,Concordia Parish,Vidalia,LA,USA,0.0,0.0,0.0
0R5,David G Joyce,Winnfield,LA,USA,0.0,0.0,463.0
0R7,Red River,Coushatta,LA,USA,0.0,0.0,471.0
0S7,Dorothy Scott,Oroville,WA,USA,48.958965,-119.4119622,77.0
0S9,Jefferson County International,Port Townsend,WA,USA,48.04981361,-122.8012792,256.0
0V2,Harriet Alexander,Salida,CO,USA,0.0,0.0,119.0
0V3,Pioneer Village,Minden,NE,USA,0.0,0.0,198.0
0V4,Brookneal/Campbell County,Brookneal,VA,USA,0.0,0.0,217.0
0V6,Mission Sioux,Mission,SD,USA,0.0,0.0,124.0
0V7,Kayenta,Kayenta,AZ,USA,0.0,0.0,0.0
10C,Galt,Chicago/Greenwood/Wonderlake,IL,USA,0.0,0.0,74.0
10D,Winsted Municipal,Winsted,MN,USA,0.0,0.0,0.0
10G,Holmes County,Millersburg,OH,USA,0.0,0.0,467.0
10N,Wallkill,Wallkill,NY,USA,41.62787111,-74.13375583,287.0
10U,Owyhee,Owyhee,NV,USA,41.95323306,-116.1876014,44.0
11A,Clayton Municipal,Clayton,AL,USA,0.0,0.0,463.0
11D,Clarion Cty,Clarion,PA,USA,0.0,0.0,0.0
11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,USA,0.0,0.0,0.0
11J,Early County,Blakely,GA,USA,0.0,0.0,381.0
11R,Brenham Municipal,Brenham,TX,USA,30.219,-96.37427778,0.0
12C,Rochelle Municipal,Rochelle,IL,USA,0.0,0.0,102.0
12D,Tower Municipal,Tower,MN,USA,0.0,0.0,0.0
12J,Brewton Municipal,Brewton,AL,USA,31.05126306,-87.06796833,0.0
12K,Superior Municipal,Superior,NE,USA,0.0,0.0,0.0
12Y,Le Sueur Municipal,Le Sueur,MN,USA,44.43746472,-93.91274083,213.0
13C,Lakeview,Lakeview,MI,USA,0.0,0.0,0.0
13K,Eureka Municipal,Eureka,KS,USA,0.0,0.0,26.0
13N,Trinca,Andover,NJ,USA,40.96676444,-74.78016556,225.0
14J,Carl Folsom,Elba,AL,USA,0.0,0.0,308.0
14M,Hollandale Municipal,Hollandale,MS,USA,0.0,0.0,220.0
14Y,Todd Field,Long Prairie,MN,USA,0.0,0.0,0.0
15F,Haskell Municipal,Haskell,TX,USA,33.19155556,-99.71793056,241.0
15J,Cook County,Adel,GA,USA,0.0,0.0,0.0
15M,Luka,Luka,MS,USA,0.0,0.0,316.0
15Z,McCarthy 2,McCarthy,AK,USA,61.43706083,-142.9037372,207.0
16A,Nunapitchuk,Nunapitchuk,AK,USA,60.90582833,-162.4391158,192.0
16G,Seneca County,Tiffin,OH,USA,0.0,0.0,0.0
16J,Dawson Municipal,Dawson,GA,USA,0.0,0.0,0.0
16S,Myrtle Creek Municipal,Myrtle Creek,OR,USA,42.99845056,-123.3095092,446.0
17G,Port Bucyrus-Crawford County,Bucyrus,OH,USA,0.0,0.0,205.0
17J,Donalsonville Municipal,Donalsonville,GA,USA,0.0,0.0,96.0
17K,Boise City,Boise City,OK,USA,0.0,0.0,0.0
17M,Magee Municipal,Magee,MS,USA,0.0,0.0,114.0
17N,Cross Keys,Cross Keys,NJ,USA,0.0,0.0,3.0
17Z,Manokotak,Manokotak,AK,USA,58.98896583,-159.0499739,310.0
18A,Franklin County,Canon,GA,USA,0.0,0.0,0.0
18I,McCreary County,Pine Knot,KY,USA,0.0,0.0,391.0
19A,Jackson County,Jefferson,GA,USA,0.0,0.0,0.0
19M,C A Moore,Lexington,MS,USA,0.0,0.0,0.0
19N,Camden,Berlin,NJ,USA,39.77842056,-74.94780389,407.0
19P,Port Protection SPB,Port Protection,AK,USA,56.32880417,-133.6100844,332.0
1A3,Martin Campbell,Copperhill,TN,USA,35.01619111,-84.34631083,0.0
1A5,Macon County,Franklin,NC,USA,0.0,0.0,199.0
1A6,Middlesboro-Bell County,Middlesboro,KY,USA,0.0,0.0,0.0
1A7,Jackson County,Gainesboro,TN,USA,0.0,0.0,0.0
1A9,Autauga County,Prattville,AL,USA,0.0,0.0,0.0
1B0,Dexter Regional,Dexter,ME,USA,45.00839444,-69.23976722,329.0
1B1,Columbia Cty,Hudson,NY,USA,42.29130028,-73.71031944,447.0
1B3,Fair Haven,Fair Haven,VT,USA,43.61534389,-73.27455556,465.0
1B9,Mansfield Municipal,Mansfield,MA,USA,42.00013306,-71.19677139,450.0
1C5,Clow,Chicago/Plainfield,IL,USA,0.0,0.0,32.0
1D1,Milbank Municipal,Milbank,SD,USA,45.23053806,-96.56596556,0.0
1D2,Canton -Plymouth -  Mettetal,Plymouth,MI,USA,0.0,0.0,261.0
1D3,Platte Municipal,Platte,SD,USA,0.0,0.0,0.0
1D6,Hector Municipal,Hector,MN,USA,0.0,0.0,142.0
1D7,Webster Municipal,Webster,SD,USA,0.0,0.0,0.0
1D8,Redfield Municipal,Redfield,SD,USA,44.86247611,-98.52953972,457.0
1F0,Downtown Ardmore,Ardmore,OK,USA,0.0,0.0,425.0
1F1,Lake Murray State Park,Overbrook,OK,USA,0.0,0.0,404.0
1F4,Madill Municipal,Madill,OK,USA,0.0,0.0,0.0
1F9,Bridgeport Municipal,Bridgeport,TX,USA,0.0,0.0,37.0
1G0,Wood County,Bowling Green,OH,USA,41.391,-83.63013889,0.0
1G3,Kent State University,Kent,OH,USA,41.15186167,-81.41658306,0.0
1G4,Grand Canyon West,Peach Springs,AZ,USA,0.0,0.0,0.0
1G5,Freedom,Medina,OH,USA,41.13144444,-81.76491667,42.0
1G6,Michael,Cicero,NY,USA,0.0,0.0,0.0
1H0,Creve Coeur,St Louis,MO,USA,0.0,0.0,290.0
1H2,Effingham County Memorial,Effingham,IL,USA,0.0,0.0,0.0
1H3,Linn State Tech. College,Linn,MO,USA,0.0,0.0,0.0
1H8,Casey Municipal,Casey,IL,USA,0.0,0.0,0.0
1I5,Freehold,Freehold,NY,USA,42.36425,-74.06596806,123.0
1I9,Delphi Municipal,Delphi,IN,USA,0.0,0.0,0.0
1J0,Tri-County,Bonifay,FL,USA,0.0,0.0,0.0
1K2,Lindsay Municipal,Lindsay,OK,USA,34.85007333,-97.58642028,136.0
1K4,David J. Perry,Goldsby,OK,USA,35.1550675,-97.47039389,0.0
1K5,Waynoka Municipal,Waynoka,OK,USA,0.0,0.0,0.0
1K9,Satanta Municipal,Satanta,KS,USA,0.0,0.0,0.0
1L0,St. John the Baptist Parish,Reserve,LA,USA,0.0,0.0,76.0
1L1,Lincoln Co,Panaca,NV,USA,37.78746444,-114.4216567,0.0
1L7,Escalante Municipal,Escalante,UT,USA,37.74532639,-111.5701653,24.0
1L9,Parowan,Parowan,UT,USA,37.85969694,-112.816055,345.0
1M1,North Little Rock Municipal,No Lit Rock,AR,USA,0.0,0.0,0.0
1M2,Belzoni Municipal,Belzoni,MS,USA,0.0,0.0,225.0
1M4,Posey,Haleyville,AL,USA,34.28034806,-87.60044139,0.0
1M5,Portland Municipal,Portland,TN,USA,0.0,0.0,0.0
1M7,Fulton,Fulton,KY,USA,0.0,0.0,0.0
1MO,Mountain Grove Memorial,Mountain Grove,MO,USA,37.12071889,-92.311245,364.0
1N2,Spadaro,East Moriches,NY,USA,40.82787639,-72.74871083,301.0
1N4,Woodbine Muni,Woodbine,NJ,USA,39.21915,-74.794765,262.0
1N7,Blairstown,Blairstown,NJ,USA,40.97114556,-74.99747556,154.0
1N9,Allentown Queen City Muni,Allentown,PA,USA,0.0,0.0,365.0
1ND3,Hamry,Kindred,ND,USA,46.6485775,-97.00564306,0.0
1O1,Grandfield Municipal,Grandfield,OK,USA,0.0,0.0,200.0
1O2,Lampson,Lakeport,CA,USA,38.99017472,-122.8997175,458.0
1O3,Lodi,Lodi,CA,USA,38.20241667,-121.2684167,24.0
1O4,Thomas Municipal,Thomas,OK,USA,0.0,0.0,30.0
1O6,Dunsmuir Municipal-Mott,Dunsmuir,CA,USA,41.26320889,-122.2719528,59.0
1R1,Jena,Jena,LA,USA,0.0,0.0,0.0
1R7,Brookhaven-Lincoln County,Brookhaven,MS,USA,0.0,0.0,286.0
1R8,Bay Minette Municipal,Bay Minette,AL,USA,0.0,0.0,0.0
1S0,Pierce County,Puyallup,WA,USA,47.10391667,-122.2871944,416.0
1S3,Tillitt,Forsyth,MT,USA,0.0,0.0,0.0
1S5,Sunnyside Municipal,Sunnyside,WA,USA,46.32763139,-119.9705964,394.0
1S6,Priest River Muni,Priest River,ID,USA,48.19018611,-116.9093644,290.0
1U7,Bear Lake County,Paris,ID,USA,0.0,0.0,0.0
1V0,Navajo State Park,Navajo Dam,NM,USA,36.80833833,-107.6514444,364.0
1V2,Grant County,Hyannis,NE,USA,0.0,0.0,0.0
1V5,Boulder Muni,Boulder,CO,USA,0.0,0.0,359.0
1V6,Fremont County,Canon City,CO,USA,38.42838111,-105.1054994,0.0
1V9,Blake,Delta,CO,USA,0.0,0.0,0.0
20A,Robbins,Oneonta,AL,USA,0.0,0.0,0.0
20M,Macon Municipal,Macon,MS,USA,0.0,0.0,151.0
20N,Kingston-Ulster,Kingston,NY,USA,41.9852525,-73.96409722,146.0
20U,Beach,Beach,ND,USA,0.0,0.0,0.0
20V,McElroy Airfield,Kremmling,CO,USA,0.0,0.0,0.0
21D,Lake Elmo,St Paul,MN,USA,0.0,0.0,110.0
21F,Jacksboro Municipal,Jacksboro,TX,USA,0.0,0.0,0.0
22B,Mountain Meadow Airstrip,Burlington,CT,USA,41.77287528,-73.01121667,100.0
22I,Vinton County,McArthur,OH,USA,0.0,0.0,342.0
22M,Pontotoc County,Pontotoc,MS,USA,0.0,0.0,0.0
22N,Carbon Cty-Jake Arner Memorial,Lehighton,PA,USA,0.0,0.0,0.0
23J,Herlong,Jacksonville,FL,USA,0.0,0.0,54.0
23M,Clarke County,Quitman,MS,USA,0.0,0.0,277.0
23N,Bayport Aerodrome,Bayport,NY,USA,40.75843139,-73.05372083,247.0
23R,Devine Municipal,Devine,TX,USA,0.0,0.0,0.0
24A,Jackson County,Sylva,NC,USA,35.3168625,-83.20936806,317.0
24J,Suwannee County,Live Oak,FL,USA,0.0,0.0,0.0
24N,Jicarilla Apache Nation,Dulce,NM,USA,0.0,0.0,0.0
25J,Cuthbert-Randolph,Cuthbert,GA,USA,0.0,0.0,0.0
25M,Ripley,Ripley,MS,USA,0.0,0.0,320.0
25R,International,Edinburg,TX,USA,0.0,0.0,341.0
26A,Ashland/Lineville,Ashland/Lineville,AL,USA,0.0,0.0,0.0
26N,Ocean City Muni cipal,Ocean City,NJ,USA,39.26347222,-74.60747222,262.0
26R,Jackson County,Edna/Ganado,TX,USA,0.0,0.0,0.0
26U,McDermitt State,McDermitt,OR,USA,42.00211083,-117.7231972,274.0
27A,Elbert County-Patz,Elberton,GA,USA,0.0,0.0,483.0
27D,Myers,Canby,MN,USA,44.72801889,-96.26309972,0.0
27J,Newberry Municipal,Newberry,SC,USA,0.0,0.0,0.0
27K,Georgetown-Scott County,Georgetown,KY,USA,38.23442528,-84.43468667,308.0
28J,Kay Larkin,Palatka,FL,USA,0.0,0.0,0.0
29D,Grove City,Grove City,PA,USA,41.14597611,-80.16592194,374.0
29G,Portage County,Ravenna,OH,USA,0.0,0.0,0.0
29S,Gardiner,Gardiner,MT,USA,0.0,0.0,0.0
2A0,Mark Anton,Dayton,TN,USA,35.48624611,-84.93109722,182.0
2A1,Jamestown Municipal,Jamestown,TN,USA,36.34970833,-84.94664472,126.0
2A3,Larsen Bay,Larsen Bay,AK,USA,57.53510667,-153.9784169,427.0
2A9,Kotlik,Kotlik,AK,USA,63.03116111,-163.5299278,149.0
2AK,Lime Village,Lime Village,AK,USA,61.35848528,-155.4403508,156.0
2B3,Parlin,Newport,NH,USA,43.38812944,-72.18925417,182.0
2B7,Pittsfield Municipal,Pittsfield,ME,USA,44.76852778,-69.37441667,349.0
2B9,Post Mills,Post Mills,VT,USA,43.884235,-72.25370333,405.0
2D1,Barber,Alliance,OH,USA,0.0,0.0,207.0
2D5,Oakes Municipal,Oakes,ND,USA,46.17301972,-98.07987556,500.0
2F5,Lamesa Municipal,Lamesa,TX,USA,0.0,0.0,363.0
2F6,Skiatook Municipal,Skiatook,OK,USA,36.357035,-96.01138556,467.0
2F7,Commerce Municipal,Commerce,TX,USA,33.29288889,-95.89641806,319.0
2F8,Morehouse Memorial,Bastrop,LA,USA,0.0,0.0,328.0
2G2,Jefferson County Airpark,Steubenville,OH,USA,0.0,0.0,0.0
2G3,Connellsville,Connellsville,PA,USA,39.95893667,-79.65713306,236.0
2G4,Garrett County,Oakland,MD,USA,0.0,0.0,476.0
2G9,Somerset County,Somerset,PA,USA,0.0,0.0,54.0
2H0,Shelby County,Shelbyville,IL,USA,39.41042861,-88.8454325,0.0
2H2,Aurora Memorial Municipal,Aurora,MO,USA,0.0,0.0,0.0
2I0,Madisonville Municipal,Madisonville,KY,USA,37.35502778,-87.39963889,0.0
2I5,Chanute,Rantoul,IL,USA,0.0,0.0,0.0
2IS,Airglades,Clewiston,FL,USA,0.0,0.0,0.0
2J2,Liberty County,Hinesville,GA,USA,0.0,0.0,0.0
2J3,Louisville Municipal,Louisville,GA,USA,0.0,0.0,183.0
2J5,Millen,Millen,GA,USA,32.89376972,-81.96511583,311.0
2J9,Quincy Municipal,Quincy,FL,USA,0.0,0.0,0.0
2K3,Stanton County Municipal,Johnson,KS,USA,37.58271111,-101.73281,324.0
2K4,Scott,Mangum,OK,USA,34.89172583,-99.52675667,2.0
2K5,Telida,Telida,AK,USA,63.39387278,-153.2689733,368.0
2M0,Princeton-Caldwell County,Princeton,KY,USA,0.0,0.0,0.0
2M2,Lawrenceburg Municipal,Lawrenceburg,TN,USA,0.0,0.0,170.0
2M3,Sallisaw Municipal,Sallisaw,OK,USA,35.43816667,-94.80277778,459.0
2M4,G. V. Montgomery,Forest,MS,USA,0.0,0.0,322.0
2M8,Charles W. Baker,Millington,TN,USA,35.27897583,-89.93147611,21.0
2O1,Gansner,Quincy,CA,USA,39.94378056,-120.9468983,357.0
2O3,Angwin-Parrett,Angwin,CA,USA,38.57851778,-122.4352572,177.0
2O6,Chowchilla,Chowchilla,CA,USA,37.11244417,-120.2468406,81.0
2O7,Independence,Independence,CA,USA,36.81382111,-118.2050956,199.0
2O8,Hinton Municipal,Hinton,OK,USA,0.0,0.0,0.0
2P2,Washington Island,Washington Island,WI,USA,0.0,0.0,250.0
2Q3,Yolo Co-Davis/Woodland/Winters,Davis/Woodland/Winters,CA,USA,38.5790725,-121.8566322,445.0
2R0,Waynesboro Municipal,Waynesboro,MS,USA,0.0,0.0,71.0
2R4,Peter Prince,Milton,FL,USA,0.0,0.0,185.0
2R5,St Elmo,St Elmo,AL,USA,0.0,0.0,146.0
2R9,Karnes County,Kenedy,TX,USA,0.0,0.0,0.0
2S1,Vashon Municipal,Vashon,WA,USA,47.45815333,-122.4773506,65.0
2S6,Sportsman Airpark,Newberg,OR,USA,45.29567333,-122.9553783,15.0
2S7,Chiloquin State,Chiloquin,OR,USA,42.58319167,-121.8761261,266.0
2S8,Wilbur,Wilbur,WA,USA,47.75320639,-118.7438936,199.0
2T1,Muleshoe Municipal,Muleshoe,TX,USA,34.18513639,-102.6410981,0.0
2V1,Stevens,Pagosa Springs,CO,USA,37.277505,-107.0558742,0.0
2V2,Vance Brand,Longmont,CO,USA,0.0,0.0,153.0
2V5,Wray Municipal,Wray,CO,USA,0.0,0.0,0.0
2V6,Yuma Municipal,Yuma,CO,USA,0.0,0.0,282.0
2W5,Maryland,Indian Head,MD,USA,38.60053667,-77.07296917,280.0
2W6,Captain Walter Francis Duke Regional,Leonardtown,MD,USA,0.0,0.0,0.0
2Y3,Yakutat SPB,Yakutat,AK,USA,59.5624775,-139.7410994,437.0
2Y4,Rockwell City Municipal,Rockwell City,IA,USA,0.0,0.0,0.0
31F,Gaines County,Seminole,TX,USA,0.0,0.0,0.0
32M,Norfolk,Norfolk,MA,USA,42.12787528,-71.37033556,241.0
32S,Stevensville,Stevensville,MT,USA,0.0,0.0,0.0
33J,Geneva Municipal,Geneva,AL,USA,0.0,0.0,0.0
33M,Water Valley,Water Valley,MS,USA,0.0,0.0,0.0
33N,Delaware Airpark,Dover,DE,USA,0.0,0.0,189.0
33S,Pru,Ritzville,WA,USA,47.12487194,-118.3927539,395.0
34A,Laurens County,Laurens,SC,USA,0.0,0.0,175.0
35A,"Union County, Troy Shelton",Union,SC,USA,0.0,0.0,0.0
35D,Padgham,Allegan,MI,USA,0.0,0.0,0.0
35S,Wasco State,Wasco,OR,USA,45.58944444,-120.6741667,36.0
36K,Lakin,Lakin,KS,USA,37.96946389,-101.2554472,301.0
36S,Happy Camp,Happy Camp,CA,USA,41.79067944,-123.3889444,322.0
36U,Heber City Municipal/Russ McDonald,Heber,UT,USA,0.0,0.0,25.0
37T,Calico Rock-Izard County,Calico Rock,AR,USA,0.0,0.0,195.0
37W,Harnett County,Erwin,NC,USA,0.0,0.0,0.0
38A,Shaktoolik,Shaktoolik,AK,USA,64.36263194,-161.2025369,347.0
38S,Deer Lodge-City-County,Deer Lodge,MT,USA,46.38881583,-112.7669842,0.0
38U,Wayne Wonderland,Loa,UT,USA,38.36247972,-111.5960164,358.0
39N,Princeton,Princeton,NJ,USA,40.39834833,-74.65760361,191.0
3A0,Grove Hill Municipal,Grove Hill,AL,USA,0.0,0.0,0.0
3A1,Folsom,Cullman,AL,USA,0.0,0.0,192.0
3A2,New Tazewell Municipal,Tazewell,TN,USA,36.41008417,-83.55546167,166.0
3A3,Anson County,Wadesboro,NC,USA,35.02397611,-80.08127333,0.0
3AU,Augusta Municipal,Augusta,KS,USA,0.0,0.0,0.0
3B0,Southbridge Municipal,Southbridge,MA,USA,42.10092806,-72.03840833,414.0
3B1,Greenville Municipal,Greenville,ME,USA,45.46302778,-69.55161111,431.0
3B2,Marshfield,Marshfield,MA,USA,42.09824111,-70.67212083,434.0
3B9,Chester,Chester,CT,USA,41.38390472,-72.50589444,114.0
3BS,Jack Barstow,Midland,MI,USA,43.66291528,-84.261325,0.0
3CK,Lake In The Hills,Lake In The Hills,IL,USA,0.0,0.0,0.0
3CM,James Clements Municipal,Bay City,MI,USA,0.0,0.0,0.0
3CU,Cable Union,Cable,WI,USA,0.0,0.0,48.0
3D2,Ephraim/Gibraltar,Ephraim,WI,USA,45.13535778,-87.18586556,121.0
3D4,Frankfort Dow Memorial,Frankfort,MI,USA,44.62506389,-86.20061944,0.0
3F3,De Soto Parish,Mansfield,LA,USA,0.0,0.0,191.0
3F4,Vivian,Vivian,LA,USA,0.0,0.0,0.0
3F7,Jones Memorial,Bristow,OK,USA,35.80685278,-96.42185556,0.0
3FM,Fremont Municipal,Fremont,MI,USA,0.0,0.0,0.0
3FU,Faulkton Municipal,Faulkton,SD,USA,0.0,0.0,0.0
3G3,Wadsworth Municipal,Wadsworth,OH,USA,41.00158222,-81.75513111,417.0
3G4,Ashland County,Ashland,OH,USA,40.90297222,-82.25563889,0.0
3G7,Williamson/Sodus,Williamson,NY,USA,0.0,0.0,57.0
3GM,Grand Haven Memorial Airpark,Grand Haven,MI,USA,0.0,0.0,28.0
3I2,Mason County,Point Pleasant,WV,USA,0.0,0.0,0.0
3I7,Phillipsburg,Phillipsburg,OH,USA,39.91344194,-84.40030889,0.0
3J1,Ridgeland,Ridgeland,SC,USA,32.49268694,-80.99233028,486.0
3J7,Greene County Airpark,Greensboro,GA,USA,0.0,0.0,0.0
3JC,Freeman,Junction City,KS,USA,39.04327556,-96.84328694,0.0
3K3,Syracuse-Hamilton County Municipal,Syracuse,KS,USA,0.0,0.0,0.0
3K6,St Louis-Metro East,Troy/Marine/St. Louis,IL,USA,0.0,0.0,0.0
3K7,Mark Hoard Memorial,Leoti,KS,USA,0.0,0.0,0.0
3LC,Logan County,Lincoln,IL,USA,0.0,0.0,0.0
3LF,Litchfield Municipal,Litchfield,IL,USA,0.0,0.0,0.0
3M7,Lafayette Municipal,Lafayette,TN,USA,36.518375,-86.05828083,352.0
3M8,North Pickens,Reform,AL,USA,0.0,0.0,0.0
3M9,Warren Municipal,Warren,AR,USA,0.0,0.0,209.0
3MY,Mt. Hawley Auxiliary,Peoria,IL,USA,0.0,0.0,464.0
3N6,Old Bridge,Old Bridge,NJ,USA,40.32988667,-74.34678694,145.0
3N8,Mahnomen County,Mahnomen,MN,USA,0.0,0.0,439.0
3ND0,Northwood Municipal,Northwood,ND,USA,0.0,0.0,267.0
3O1,Gustine,Gustine,CA,USA,37.26271722,-120.9632586,337.0
3O3,Municipal,Purcell,OK,USA,0.0,0.0,0.0
3O4,Sayre Municipal,Sayre,OK,USA,0.0,0.0,145.0
3O5,Walters Municipal,Walters,OK,USA,0.0,0.0,345.0
3O7,Hollister Municipal,Hollister,CA,USA,36.89334528,-121.4102706,411.0
3O9,Grand Lake Regional,Afton,OK,USA,0.0,0.0,183.0
3R0,Beeville Municipal,Beeville,TX,USA,0.0,0.0,260.0
3R1,Bay City Municipal,Bay City,TX,USA,0.0,0.0,0.0
3R2,Le Gros Memorial,Crowley,LA,USA,0.0,0.0,481.0
3R4,Hart,Many,LA,USA,0.0,0.0,0.0
3R7,Jennings,Jennings,LA,USA,0.0,0.0,450.0
3S4,Illinois Valley,Illinois Valley (Cave Junction),OR,USA,42.10372417,-123.6822911,317.0
3S8,Grants Pass,Grants Pass,OR,USA,42.51011722,-123.3879894,162.0
3S9,Condon State-Pauling,Condon,OR,USA,45.24651889,-120.1664233,376.0
3SG,Harry W Browne,Saginaw - H.Browne,MI,USA,0.0,0.0,265.0
3SQ,St Charles,St Charles,MO,USA,0.0,0.0,70.0
