Test1Score,Test2Score,class
70.1966969055,16.0948847791,C
23.0260528552,23.9800982787,B
3.0408175924,24.9962972083,C
97.4768716039,31.9105233621,C
-2.3903951973,17.1365412425,B
32.4306785101,41.7085924769,C
87.9263274769,46.7157514813,C
15.2084873516,43.0923789784,B
35.5331872031,15.0420074614,B
65.288861252,29.5464882062,B
43.8221666447,91.388261333,B
65.0630103461,37.1135666975,C
32.7464686622,13.5377180016,B
87.6367852751,36.7263744284,C
40.2171765591,78.7913863266,A
66.4538110749,79.5182387761,B
13.1078070408,24.8487353909,C
40.9399270368,36.0246484329,B
9.2682414205,39.6915301383,B
37.4242913206,9.5028555879,B
68.0352380403,20.9286205942,C
67.2240801446,41.6994547442,C
66.9841584251,14.5936311734,C
65.8133728944,80.3675739467,A
52.4145584246,99.0845340339,A
51.7268797402,28.2567077099,B
88.080067423,44.8210983008,C
44.5193074829,12.9690246419,B
68.3476503189,40.6446274097,C
-2.4776434152,19.3524247636,B
19.8279788064,38.0477172533,B
86.6148093656,36.7977683054,C
74.0946082862,18.1775781875,C
76.4789523127,18.9669258787,C
74.6521274248,45.1945467882,C
3.0377967755,39.4806410809,B
53.5228581456,62.1721373741,A
76.4970758653,33.9269725948,C
61.4166410885,29.9247565208,C
60.804252312,89.6431725059,A
49.9242200676,76.1468733907,A
91.7344517927,28.5584800599,C
32.4598199545,75.1616066769,A
73.0702981851,24.9731414753,C
44.0760782431,70.1215434911,A
63.2389345731,37.7550063153,B
56.5249222884,82.4980693977,B
68.8808845957,28.5363020292,C
38.6344742276,89.6500003028,A
10.7842282937,5.1272067878,B
29.71850439,53.0073440255,B
43.1776267877,71.1752904151,A
84.37938581,14.8912942106,B
91.4429756195,33.854613872,C
81.8765659103,26.0961545564,C
19.3414000569,6.3759931809,B
40.5522703677,91.8058599892,B
47.4999811029,100.2578647788,B
88.7378449392,17.1621364133,C
16.3074467917,10.1285448123,B
41.577929595,91.401108249,A
5.3301145106,10.5370922976,C
22.9551868193,8.4830522008,C
69.009313993,45.398629219,C
62.6683027151,91.4112495569,A
58.9082886817,72.5335397391,B
38.8032034698,85.1617701657,A
45.1051779204,18.8059723878,B
-5.7061086594,36.4731259423,B
90.3560825263,36.3360083955,A
92.5521368029,40.3659936363,C
92.4900731162,42.3923961003,C
75.5354683772,31.8406230467,C
73.4942964726,18.3777143125,C
48.1786746985,82.7222395406,C
52.7902487841,77.2285145848,C
43.4302501217,39.8462979198,B
64.3363806873,36.626943065,C
39.4436946693,10.7251723862,B
59.7094177597,65.9108429003,A
14.9031253455,51.5637196212,B
37.630489143,81.6956701277,A
67.9418490524,26.1967380479,A
67.2784879195,78.1806319837,C
45.5392868464,84.6771155423,C
6.8709609159,9.5779968088,B
41.8952767975,78.0366485819,A
19.8387047344,15.5640832829,B
11.6110159513,49.4307102653,A
34.9920280201,73.1369898031,B
49.723649045,70.0060163116,B
43.8818633108,77.2843654902,B
17.427091836,58.34516936,C
15.33591597,34.6844385592,B
40.5881784675,70.3676681488,B
76.7975718073,15.8099347543,B
3.9582597264,36.8631209368,B
38.0338150619,19.2117749165,C
15.1158270545,45.7231030592,B
8.3194147896,23.0612874691,A
84.1201206797,25.9726946166,C
62.626346596,36.6605589163,C
46.6317986652,68.8015155996,A
32.2011498051,43.9914915039,B
34.4906124442,72.7505793876,A
41.9683095786,69.3442914247,C
48.0140413852,97.8101684125,A
35.7760161482,82.2737331326,B
20.5884894105,52.5814737856,B
60.4134537386,91.0649326691,A
48.8819139387,73.7892254039,A
39.0451918216,81.320255587,A
11.5645694682,3.9700149767,B
39.7842852645,52.7349031173,B
36.367616901,81.1702051199,B
62.3266311833,22.9516951866,C
43.0829009589,90.0836525404,A
79.8613516458,38.7352951027,C
16.2598343361,40.9314953501,B
1.2572124093,25.3215272727,B
60.8911090266,65.3318294474,A
41.8582324917,25.0428423587,B
56.330469632,82.0949932155,A
60.7705010316,86.4676826541,A
73.1899900159,35.7186872961,C
4.4264309621,28.5806606317,B
26.3680039357,40.7220049597,B
44.0625722861,10.4928596885,B
28.3345085757,31.8289332171,B
43.5854530684,85.2139006656,B
60.3106976308,77.7001079547,A
71.5192537299,23.6522849967,C
32.2793958653,73.911254569,A
83.7753267506,29.0958146143,C
30.4534820685,54.4696471754,C
66.522969315,30.0763687653,C
2.3061223327,24.655710048,B
35.5023420924,88.9362540053,B
78.2221135323,32.3694431245,C
9.5660021836,32.3027036405,B
83.4992112872,32.8465297756,B
34.1581050422,73.8003816461,A
55.0158628976,100.0531975778,B
14.4612949203,0.8663649162,B
59.6531207884,65.6165944201,A
56.1377284844,80.9971892525,A
77.1026703432,38.5125716219,C
69.1978830047,41.0073936781,C
90.178157997,25.1670542168,C
73.447799575,20.9684277671,C
90.2256419689,29.9945987133,C
84.412999235,16.4402999825,C
37.6061633079,90.7625438997,A
51.8456469132,99.7283723416,B
36.2754109249,81.4617405112,A
45.1873474428,93.5332016729,A
70.3294663061,25.7834953543,C
50.1238026749,96.9937105487,B
47.9319541949,100.621659041,A
38.5533752687,82.5988544485,A
77.8357856781,15.9879180587,A
81.1686995664,20.8515945442,C
81.8265397955,16.9341767749,C
41.9053696677,69.6388266061,A
40.4918256635,76.6602634875,B
2.3815228335,36.9312274114,C
40.949604697,31.4363574267,A
-2.3049447361,15.1845093053,B
46.2334590055,77.1246101972,B
55.8873830206,87.9681977817,B
42.915209984,68.7932104905,A
27.7423539015,38.8073705521,B
22.4905112056,35.4681258599,B
31.5216920015,21.5450687081,B
49.680333157,36.7366123547,B
22.6128901916,53.2424656632,B
51.94447471,93.7381813206,A
24.6564759399,25.3771280134,B
46.4044089136,81.3513037518,A
23.5997689083,43.4667040014,B
3.2537845136,30.8042050479,B
83.1133091177,12.1420545895,C
71.6398028535,37.3822062652,C
0.8049208739,20.9608262716,C
26.2205368882,38.7774685156,B
45.2704443857,62.5414989159,A
31.7616356771,51.185369009,B
68.5997508389,87.2793560228,A
53.5240473842,74.4754872304,A
97.9299208432,25.4031478948,B
0.2359302426,28.4107580832,B
63.582335537,93.9835050255,B
43.9433288032,89.9718350567,A
30.9510762985,46.8616459632,B
26.750369994,11.5199452725,C
4.4291638473,45.4500102787,B
42.5620334832,50.7785579517,B
67.6811135822,25.3016134652,C
22.8026661852,37.0646012104,A
10.0771406294,44.4920615812,B
10.4041604257,45.5739801017,B
80.244744352,10.6711087354,C
61.5515689807,35.4946760561,B
79.3445304376,38.3290194796,C
5.8781898667,46.6024222717,B
75.8796597777,27.9228492308,C
48.1189588487,84.3863640103,A
63.8987278878,38.8740441688,A
34.9799174406,85.0381046646,A
41.1557840422,18.4052019013,B
18.0247583564,28.6954856587,B
92.4549982022,31.6987286875,C
50.4635858141,62.9712973519,A
31.3427801759,51.9391962492,B
53.0149309158,95.4980214375,A
52.5864976332,80.5544986438,A
61.4012465617,31.087824243,C
56.4188811294,72.8859729997,A
34.9694396747,24.0599068337,B
47.1032599821,31.4729014438,B
3.360336288,43.690584688,B
61.5622021862,18.8879758573,C
73.544525438,44.9576599779,C
84.8082839853,48.10299382,C
86.9532867163,14.0534225115,C
20.5391819096,56.2739096262,B
36.7059457958,70.7040176071,A
37.3187487207,28.548864028,B
15.4352934824,12.9728445945,B
3.7574690473,50.1496181904,C
17.6339338333,50.0633125176,B
82.0089785206,33.3752371552,C
55.1808508693,96.7574161664,A
87.064786183,44.8452906338,A
50.0685813651,35.1477566397,B
14.0013826551,9.7715899798,C
34.4142535079,89.5954926954,A
54.8803600377,84.8157071914,A
1.0367307316,31.4391662766,B
89.6704696669,22.1593164286,C
51.1697150335,86.947679419,C
2.4463053406,46.1075750499,C
52.662982412,74.0326484289,A
2.7085582681,11.8757277099,C
49.6321620888,94.5021421832,A
65.2303551195,78.9963548279,A
25.1579200031,8.5137805336,B
46.3369772797,40.3816623788,C
-1.3732698268,43.8507152462,B
94.5834466637,27.8910732861,C
74.2907071561,16.5154938,B
76.0590789714,42.816041593,B
73.9632085965,11.663810288,C
59.0210041847,87.8356839873,C
88.124601932,24.4896167942,C
68.2938049708,24.0840915892,A
90.2938742283,14.310173863,C
3.3662185436,46.7980549201,B
43.8595405995,65.4702664765,A
78.6329588763,24.9204326075,C
52.9178652659,64.9250892503,B
43.9576722899,97.5235898498,A
47.4766363195,89.558463105,B
45.2512383486,80.0453828433,A
76.9753700181,48.2230362504,A
25.5294044069,12.0496098531,A
49.0457809095,87.9323580437,B
94.0640892262,23.4514999793,C
49.0633246611,93.6606744729,A
73.8285115381,29.4936336075,B
5.0581308694,29.854514533,A
65.3458516606,86.0573982175,A
79.4621507752,48.5023442545,C
41.5991563101,90.6998315743,B
65.493233219,24.6520608629,C
73.1133593115,11.3289629805,A
42.923994352,65.642386349,A
75.3079597954,27.8197428838,C
86.3840154757,38.6235414547,C
59.5277842749,86.5136556617,B
18.1608793381,11.7538676282,B
-3.153550115,44.9123682674,B
57.88645324,85.5383908938,A
53.1406277897,99.5991265013,B
11.0133628744,22.8277567301,B
29.1488814749,39.4398900952,B
79.3722680215,35.0011371937,C
85.744378197,25.6215873936,B
97.023424604,24.768923537,C
28.3607830709,39.1171843035,B
32.3153440828,72.2196842371,A
61.1365596338,69.3340429493,B
79.9573889434,11.6273206411,A
64.3713259517,19.6339165528,C
82.360724818,42.8798676053,C
51.2568850196,98.6167037532,A
62.3573587628,66.9136018831,A
83.4661235726,47.5401431996,C
3.0709293918,51.5316014268,B
95.8350597115,29.0786916861,C
44.3497083354,67.0779382977,A
23.6268794779,59.0541028429,B
86.8119368938,36.1462701191,C
95.2643842583,34.5450910861,C
49.3727100653,74.8456130032,A
67.3330610568,31.8056092101,C
38.832755305,66.0912519072,C
55.5900873308,92.4428925825,A
52.2955393857,91.0401112621,A
37.8745459922,93.4112924901,A
93.8754507849,41.2522260216,B
58.5643224687,95.8543193096,A
63.638302037,40.8315758689,C
56.3359740882,74.1102119008,A
59.1146652274,86.5285991826,B
62.3732423556,19.9052154177,C
90.7530031487,41.2322487094,C
24.0370350726,24.0133993096,B
78.2089769466,30.5675146386,C
8.7405521096,32.069737588,B
70.8040598682,19.8348503658,C
58.0103952461,95.3329286362,A
52.0599548162,78.9796461478,B
32.754793077,10.6356397664,B
85.7933027274,25.7270678846,B
89.0201666341,29.8345432081,C
65.1156849158,80.7173354602,A
89.4729700913,42.8043426244,C
34.8243488216,17.2518063498,B
82.0297471968,30.7983730889,C
36.3062076906,91.9218433141,A
61.0471238564,19.8533785716,C
68.615071432,29.5855384072,A
50.3363208562,38.1498125507,B
38.7295103331,9.2065245197,A
84.2794518695,17.2865621636,C
4.0179316547,21.0369758314,B
19.5470323997,45.6796762098,B
69.3513060122,36.2533420833,C
32.8496325125,5.0247973241,A
69.2221307395,41.6701700798,B
88.1589528248,27.4571515497,C
85.2705923873,43.5725945153,C
2.048309272,39.8152769024,B
16.5562037092,32.0108019109,B
78.7656611676,11.4447549168,C
42.1992291422,92.9613783025,C
57.9820164694,75.0550857255,A
43.6364431018,79.3143714253,C
24.5020059153,28.6774627505,B
40.7366659886,67.9163759568,B
44.2751035834,64.1728328528,B
31.3715874172,88.0045477564,C
64.9790623882,15.3215926006,A
53.2703194556,99.8494219672,A
85.9520655313,31.8449026025,C
70.112478941,22.1847771744,C
87.9981324524,35.3314166597,C
38.1676129385,37.5290889269,A
28.0703345175,34.5543432743,B
68.3335033137,78.0162326154,C
38.0386815792,68.9590662335,B
28.0352698469,7.0569800714,B
1.4358665772,28.4542818686,C
39.559986355,84.2461527242,A
62.3614124015,93.2315350879,B
75.7630293352,37.6254786955,C
85.94333234,18.5413534034,C
67.7792753588,86.132769292,A
74.186103985,15.1685354448,B
92.6520807672,34.5858557028,C
64.546380405,75.2001027884,A
28.9331975421,24.6769197906,B
8.6947246001,10.5644391874,B
49.0173140792,88.9120628413,A
62.7605248531,36.704172621,B
32.9368155111,86.8313525552,B
0.1239362851,46.143371087,B
35.4762101057,87.2619149484,A
37.486407375,74.1028676688,B
48.9833587244,99.6483637892,A
47.1854404634,96.9628094033,A
38.2074303652,20.4030131145,B
12.2297968229,34.1736962109,B
53.7465641572,91.5295880886,A
44.551208787,70.4445798845,A
66.013080152,86.6115631944,A
54.3432479178,71.2751090992,B
75.139570858,41.667469038,C
95.3683447834,28.8779941438,C
89.9298093405,45.2409968858,C
59.8226232661,95.657605121,A
49.4583564136,92.225932152,A
35.2888594663,8.9353761897,B
39.0754791033,40.6123806532,C
39.7277216629,64.4793296264,B
55.7552661358,79.8909842539,C
81.6550733951,21.5241208836,C
-2.2173808768,44.3628733908,B
-5.036572919,38.9894778675,B
36.4545852297,42.0650076899,C
76.7488080921,34.278450505,C
12.4514741196,37.2037598108,B
92.0929921786,30.1987525545,B
48.6083325353,63.0987589905,A
82.7808530166,15.3902256385,B
33.0535926238,48.7088681729,B
48.3478527499,88.4579596488,A
83.5797815152,45.9617897719,C
75.1451579919,34.0764127158,C
56.1294198008,94.7984653079,A
46.4542910649,72.6817630563,B
41.6964521785,41.6637935453,C
80.7209822569,17.7198760687,C
38.5340548069,69.168769164,A
81.7062743285,47.5440868286,C
83.6084367485,23.6412502494,B
82.3120731013,10.0720837229,C
40.8618047939,33.8214034111,B
52.2254868303,77.3493477486,A
44.8857741231,25.6882504922,B
39.100311641,71.5780783148,B
39.7514798214,11.7431556123,B
0.9347396414,37.3556189676,B
18.6494305198,43.5131776363,B
65.6440959243,26.1616160368,C
67.1719049712,24.5472875918,A
66.9975670312,90.6259025205,A
24.5588580289,34.7049375622,B
67.0291932611,37.4877540227,A
60.3064143237,69.1232441637,C
40.8004582416,83.7411984897,A
34.9547806951,70.2415923742,A
33.9659798959,76.8648432993,A
80.5003110144,45.1685255977,C
40.2931463594,80.1630748123,B
46.612886508,25.8611965592,B
50.9301327565,72.3784408324,A
79.9138006717,42.2406482066,B
-0.2219294697,22.8508689972,C
34.496202057,11.7463953208,B
67.0068640817,86.3253695961,A
41.9241710561,78.7672771636,A
68.3514389668,21.5688134738,C
79.8555673988,45.9876677108,C
20.0330612058,6.0604878937,B
57.5379685677,66.085990702,A
30.7107997646,15.6039632291,B
80.1924547408,11.5937740572,C
20.3013446118,9.1473303479,B
69.7651779591,30.8439963811,C
52.4269837851,85.993195653,A
62.6895391947,34.4111125837,C
57.4393342106,86.6813168166,B
56.1799562686,82.146160621,A
70.6314592606,19.2657445584,B
2.2433100907,38.9828152369,B
3.705851452,51.2489273715,B
31.5483110894,20.9117975929,C
66.1581797981,86.515903717,C
43.4161959256,41.1501427029,B
41.6125026374,63.6678045111,A
37.8164515962,82.0137410264,A
86.2850979646,28.3106585433,C
18.4009522927,16.8364197757,A
51.1608441011,61.4752224151,A
8.989014265,18.7147023004,C
78.5921907833,19.5478156231,C
5.6110515754,11.0284508722,A
38.6459783228,78.4308728818,A
59.582511935,72.3650604588,B
44.565069114,48.0537053661,B
42.7806294928,75.3447405345,A
43.4881844026,79.1286249719,A
64.6544974102,87.5228499937,A
56.7062669131,98.4286818988,A
79.1973296563,47.9162846195,C
91.654687576,31.8743640309,B
-4.7107411454,38.9589597346,B
47.7849257684,25.1122689602,B
83.660185477,45.028568218,C
5.705460999,44.312958841,B
46.9720184578,19.3295064242,C
17.0058034534,29.2742756062,B
10.8942773856,33.4927472564,B
91.2089981311,34.0369750872,C
32.5230161245,36.9570454262,B
88.9327765212,28.7644859065,C
36.9541334691,8.8424790531,B
96.5208290592,26.5703615256,C
92.9058671558,15.9801948855,C
40.1214194595,69.1777029827,A
55.335986451,64.6625630062,A
-3.8928696375,18.3228854397,B
58.5536814618,71.4711024531,A
52.8243628025,72.5535694213,A
58.279350063,85.5497667203,A
19.9252405278,46.7267442704,B
43.1631459521,91.0688484435,A
86.1846146988,45.5024971171,C
87.0934049458,46.5167479115,C
93.3621036178,26.3735377262,C
79.5756146824,12.489755445,C
63.9607936728,18.3248879011,C
78.752023029,12.1751190979,A
7.5967729506,52.0834396331,B
35.47057465,71.331206489,B
67.5525590962,20.6705377812,C
85.1284143307,33.2037738736,C
24.38701421,54.9358181771,C
83.4015232044,18.5666488579,C
62.606496143,19.1999878993,C
24.6263745726,6.2653459188,B
68.690914231,30.5483437504,C
77.7321629442,46.3713553572,C
37.5528511244,24.2595856588,B
3.7346356149,42.8597087199,B
17.5360909962,50.8025886575,B
15.4904856431,48.8571917222,B
73.726186807,45.7235756023,C
29.4006877471,39.6916373568,B
67.7402440832,43.9992365315,C
46.7696431664,17.1255295899,B
88.0694689234,24.4965881777,B
84.1525799043,40.9321593784,B
66.55263938,91.3266634188,A
40.0413264817,81.2551126487,A
14.9417425275,34.0261855704,B
89.2679739941,17.2286498567,C
65.833226191,71.2168772719,A
2.4656513302,13.3300169995,B
47.2516490114,26.3918984148,A
49.4507369715,94.9427335823,A
82.9784138567,43.0386680486,C
84.473131108,36.2591054614,C
86.8673544819,47.5550257184,C
86.533029201,39.4399149912,C
77.2947008999,29.4211177956,B
55.4069102004,88.1477647178,C
64.6037114532,25.8361173778,C
36.0894742398,21.8436068609,B
88.9691448398,33.4611389846,C
95.0614504759,19.0518384098,B
69.9622980901,32.9765745504,B
49.8788175284,71.5620593397,A
88.0222575219,17.3321862318,C
58.6220307022,84.9346391247,A
86.9234244689,26.053589394,C
55.0142906058,86.839149899,B
11.8389243994,19.5581104435,B
31.8804395315,42.085588011,B
47.1126748615,62.3228391564,A
56.6693969756,80.672171118,A
6.3473763721,4.1627119767,B
57.0945107506,77.7423487844,C
15.5198122285,56.8548844574,B
95.6986507195,36.3989677492,C
51.7743358993,83.6556539354,B
40.8322229844,43.2133542497,B
19.8799139494,13.172771962,B
60.1238607213,74.5431048555,B
65.1313008748,32.2081245376,A
51.0252555369,88.4541192162,A
67.6366742865,32.3632068269,B
45.7681062153,69.8268803064,A
57.1256573089,81.6012737166,A
1.1114980804,44.7332591596,B
54.8366130625,84.6026349433,A
34.384253784,16.6229683448,B
6.1507927349,43.9272616,B
44.3237901469,85.9011165189,A
67.5702499372,13.490073873,C
74.9830419947,21.8373823569,C
86.8134691775,19.616079281,C
79.539218372,35.0847032906,C
72.749361751,41.8331854476,C
70.3997369408,43.5291726411,C
-5.9227065703,28.6796137302,B
30.5755445919,16.3526354943,B
64.1890258773,85.8574682969,A
59.9134435261,31.3436875635,C
36.5716174848,89.607931065,A
68.0480970665,16.0000661072,C
67.8700787831,82.8889691917,A
85.7185922438,26.5669656758,C
87.0305458807,25.4502957154,B
39.4960448819,93.1256999238,A
71.1931966495,13.9347807886,C
92.5421109468,25.1815213154,C
8.8248694471,21.5891281735,B
62.0502953859,83.6666208723,B
69.0179459028,28.9355805847,C
81.0947118302,48.5768465504,C
31.520048789,40.4702899316,B
44.1836007815,79.2964210792,A
20.3984990097,35.137748575,B
31.2541453671,31.3237155456,B
1.6636893664,49.9159568372,C
67.3796904931,13.4379023452,C
60.4907585815,32.1241239845,C
37.2079738905,14.3163121899,B
88.6561528145,22.7806392875,C
71.5789059741,12.8851287871,C
64.038835251,95.0822275554,A
78.5996342551,34.7275994283,C
79.1220413153,38.9612662737,C
59.4550072818,28.7497703537,C
16.31137793,58.0581229446,B
51.5884662779,74.9447450175,B
38.3990983152,67.0627790674,A
56.2259174323,64.7233121659,B
88.1612794356,42.5776054045,B
68.6260788136,14.1932602021,C
6.8184140268,21.9446143717,C
6.335661487,18.6428962799,B
46.6395806618,86.3452028867,A
35.8071205937,89.3710288284,A
2.4609834901,15.2676202663,B
8.4706912985,22.4747317124,B
34.6335722046,88.0782702293,A
42.1224964151,74.7657047911,A
69.449617342,28.6799239581,C
34.0295855765,51.5739666062,B
2.2582386935,36.6173932277,B
62.5362910412,78.5476216142,C
42.5455157022,88.10656573,C
40.8024332174,29.242913248,B
3.4079220266,17.7767685968,B
94.3155534035,40.5697433235,C
74.6860973328,11.7656906404,C
43.7277758543,87.0059381707,A
33.8746608259,83.4705929168,A
25.9312342903,4.4482549726,B
1.7964881741,39.3116090303,B
50.6374715181,94.2290045552,A
64.3407234612,19.2323875807,B
65.6587755474,76.7458496888,B
15.4534219646,58.2417350312,A
42.9652105188,90.1607790131,C
0.0812529566,38.0162206127,A
55.4347265249,78.5623267896,A
47.9099281857,71.1790873908,A
4.6875018304,11.3448997906,B
78.5712043681,29.0232236401,C
81.2175272969,25.2314379489,B
47.5383326033,90.1845561724,B
6.3206453436,16.6126992272,B
34.479368883,89.6744510245,C
48.9054559582,82.0514243692,A
49.7932046644,86.4608130168,C
63.241102889,72.09364501,C
71.5713382214,37.4034556418,C
22.5360432608,34.8308065891,C
95.5227141178,34.3627531626,B
3.1135224263,39.2593841375,C
86.365479878,39.81704204,A
34.0469924443,87.7428285415,B
4.1047115326,17.8447262868,B
82.1759809346,13.8363208259,B
27.5309785851,4.4006281269,B
67.9924952572,72.9795286341,A
64.7271318167,86.9418134179,A
41.3995056367,9.9336518405,B
40.4345481597,25.187217429,B
