,iata,name,city,state,country,latitude,longitude,precipitation
87,0V3,Pioneer Village,Minden,NE,USA,0.0,0.0,73.36492348339440
88,0V4,Brookneal/Campbell County,Brookneal,VA,USA,0.0,0.0,89.8438771244941
89,0V6,Mission Sioux,Mission,SD,USA,0.0,0.0,97.25898555978170
90,0V7,Kayenta,Kayenta,AZ,USA,0.0,0.0,83.90384994220760
91,10C,Galt,Chicago/Greenwood/Wonderlake,IL,USA,0.0,0.0,78.06165999452770
92,10D,Winsted Municipal,Winsted,MN,USA,0.0,0.0,81.21726544074490
93,10G,Holmes County,Millersburg,OH,USA,0.0,0.0,49.92878227295880
94,10N,Wallkill,Wallkill,NY,USA,41.62787111,-74.13375583,192.09032855677500
95,10U,Owyhee,Owyhee,NV,USA,41.95323306,-116.1876014,47.39305830067000
96,11A,Clayton Municipal,Clayton,AL,USA,0.0,0.0,59.54688970489080
97,11D,Clarion Cty,Clarion,PA,USA,0.0,0.0,64.84696881057370
98,11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,USA,0.0,0.0,90.23874990457650
99,11J,Early County,Blakely,GA,USA,0.0,0.0,52.79779087378230
100,11R,Brenham Municipal,Brenham,TX,USA,30.219,-96.37427778,191.7148090733360
101,12C,Rochelle Municipal,Rochelle,IL,USA,0.0,0.0,71.49607753356100
102,12D,Tower Municipal,Tower,MN,USA,0.0,0.0,50.50241755069750
103,12J,Brewton Municipal,Brewton,AL,USA,31.05126306,-87.06796833,128.85674473685500
104,12K,Superior Municipal,Superior,NE,USA,0.0,0.0,70.51855095599880
105,12Y,Le Sueur Municipal,Le Sueur,MN,USA,44.43746472,-93.91274083,127.03595807094700
106,13C,Lakeview,Lakeview,MI,USA,0.0,0.0,97.44626638356160
107,13K,Eureka Municipal,Eureka,KS,USA,0.0,0.0,92.8853514785086
108,13N,Trinca,Andover,NJ,USA,40.96676444,-74.78016556,134.6934206730570
109,14J,Carl Folsom,Elba,AL,USA,0.0,0.0,73.15279625725980
110,14M,Hollandale Municipal,Hollandale,MS,USA,0.0,0.0,49.644298115593800
111,14Y,Todd Field,Long Prairie,MN,USA,0.0,0.0,71.55911059304840
112,15F,Haskell Municipal,Haskell,TX,USA,33.19155556,-99.71793056,128.3975949556080
113,15J,Cook County,Adel,GA,USA,0.0,0.0,75.73800449541000
114,15M,Luka,Luka,MS,USA,0.0,0.0,73.46578996406680
115,15Z,McCarthy 2,McCarthy,AK,USA,61.43706083,-142.9037372,60.29923878165400
116,16A,Nunapitchuk,Nunapitchuk,AK,USA,60.90582833,-162.4391158,72.51876604687030
117,16G,Seneca County,Tiffin,OH,USA,0.0,0.0,52.196845612333300
118,16J,Dawson Municipal,Dawson,GA,USA,0.0,0.0,90.13672232295090
119,16S,Myrtle Creek Municipal,Myrtle Creek,OR,USA,42.99845056,-123.3095092,46.12316119051160
120,17G,Port Bucyrus-Crawford County,Bucyrus,OH,USA,0.0,0.0,79.78362132755450
121,17J,Donalsonville Municipal,Donalsonville,GA,USA,0.0,0.0,98.59464560344910
122,17K,Boise City,Boise City,OK,USA,0.0,0.0,36.07134626265260
123,17M,Magee Municipal,Magee,MS,USA,0.0,0.0,32.60480631362570
124,17N,Cross Keys,Cross Keys,NJ,USA,0.0,0.0,70.3315613763235
125,17Z,Manokotak,Manokotak,AK,USA,58.98896583,-159.0499739,78.47246737426500
126,18A,Franklin County,Canon,GA,USA,0.0,0.0,40.80941994788630
127,18I,McCreary County,Pine Knot,KY,USA,0.0,0.0,93.18823125730780
128,19A,Jackson County,Jefferson,GA,USA,0.0,0.0,82.72105183503350
129,19M,C A Moore,Lexington,MS,USA,0.0,0.0,61.60714069860460
130,19N,Camden,Berlin,NJ,USA,39.77842056,-74.94780389,137.32313245191100
131,19P,Port Protection SPB,Port Protection,AK,USA,56.32880417,-133.6100844,59.3208214742738
132,1A3,Martin Campbell,Copperhill,TN,USA,35.01619111,-84.34631083,168.99730445451200
133,1A5,Macon County,Franklin,NC,USA,0.0,0.0,93.18936298962040
134,1A6,Middlesboro-Bell County,Middlesboro,KY,USA,0.0,0.0,88.92660815069100
135,1A7,Jackson County,Gainesboro,TN,USA,0.0,0.0,71.87940783117150
136,1A9,Autauga County,Prattville,AL,USA,0.0,0.0,82.68336353278450
137,1B0,Dexter Regional,Dexter,ME,USA,45.00839444,-69.23976722,102.59195344247400
138,1B1,Columbia Cty,Hudson,NY,USA,42.29130028,-73.71031944,151.9879790563
139,1B3,Fair Haven,Fair Haven,VT,USA,43.61534389,-73.27455556,129.0373999889640
140,1B9,Mansfield Municipal,Mansfield,MA,USA,42.00013306,-71.19677139,197.44130271463700
141,1C5,Clow,Chicago/Plainfield,IL,USA,0.0,0.0,48.06994630278460
142,1D1,Milbank Municipal,Milbank,SD,USA,45.23053806,-96.56596556,128.7597005840970
143,1D2,Canton -Plymouth -  Mettetal,Plymouth,MI,USA,0.0,0.0,87.72961132181930
144,1D3,Platte Municipal,Platte,SD,USA,0.0,0.0,70.1102911206283
145,1D6,Hector Municipal,Hector,MN,USA,0.0,0.0,37.441187622176300
146,1D7,Webster Municipal,Webster,SD,USA,0.0,0.0,84.60316067943030
147,1D8,Redfield Municipal,Redfield,SD,USA,44.86247611,-98.52953972,153.91601191187900
148,1F0,Downtown Ardmore,Ardmore,OK,USA,0.0,0.0,72.60972296806610
149,1F1,Lake Murray State Park,Overbrook,OK,USA,0.0,0.0,54.48600871911130
150,1F4,Madill Municipal,Madill,OK,USA,0.0,0.0,66.27537655486850
151,1F9,Bridgeport Municipal,Bridgeport,TX,USA,0.0,0.0,97.4516760190044
152,1G0,Wood County,Bowling Green,OH,USA,41.391,-83.63013889,170.70697736108300
153,1G3,Kent State University,Kent,OH,USA,41.15186167,-81.41658306,184.11093617081400
154,1G4,Grand Canyon West,Peach Springs,AZ,USA,0.0,0.0,45.34239842697660
155,1G5,Freedom,Medina,OH,USA,41.13144444,-81.76491667,145.2911714258270
156,1G6,Michael,Cicero,NY,USA,0.0,0.0,93.19617032447250
157,1H0,Creve Coeur,St Louis,MO,USA,0.0,0.0,73.79969193860980
158,1H2,Effingham County Memorial,Effingham,IL,USA,0.0,0.0,97.80698558816860
159,1H3,Linn State Tech. College,Linn,MO,USA,0.0,0.0,73.77380881751210
160,1H8,Casey Municipal,Casey,IL,USA,0.0,0.0,90.53382394531030
161,1I5,Freehold,Freehold,NY,USA,42.36425,-74.06596806,180.1800410651920
162,1I9,Delphi Municipal,Delphi,IN,USA,0.0,0.0,82.45608896149150
163,1J0,Tri-County,Bonifay,FL,USA,0.0,0.0,78.45200228423780
164,1K2,Lindsay Municipal,Lindsay,OK,USA,34.85007333,-97.58642028,188.35157815129800
165,1K4,David J. Perry,Goldsby,OK,USA,35.1550675,-97.47039389,125.99366021235400
166,1K5,Waynoka Municipal,Waynoka,OK,USA,0.0,0.0,48.35500763909440
167,1K9,Satanta Municipal,Satanta,KS,USA,0.0,0.0,80.38949398185020
168,1L0,St. John the Baptist Parish,Reserve,LA,USA,0.0,0.0,39.101057338778000
169,1L1,Lincoln Co,Panaca,NV,USA,37.78746444,-114.4216567,88.72495718000270
170,1L7,Escalante Municipal,Escalante,UT,USA,37.74532639,-111.5701653,29.036262612518800
171,1L9,Parowan,Parowan,UT,USA,37.85969694,-112.816055,27.172961221163800
172,1M1,North Little Rock Municipal,No Lit Rock,AR,USA,0.0,0.0,96.73179467607970
173,1M2,Belzoni Municipal,Belzoni,MS,USA,0.0,0.0,31.299352477881100
174,1M4,Posey,Haleyville,AL,USA,34.28034806,-87.60044139,120.476495699228
175,1M5,Portland Municipal,Portland,TN,USA,0.0,0.0,84.18276021561030
176,1M7,Fulton,Fulton,KY,USA,0.0,0.0,32.620956214098900
177,1MO,Mountain Grove Memorial,Mountain Grove,MO,USA,37.12071889,-92.311245,138.67224050518700
178,1N2,Spadaro,East Moriches,NY,USA,40.82787639,-72.74871083,183.47971968404900
179,1N4,Woodbine Muni,Woodbine,NJ,USA,39.21915,-74.794765,172.9308721511310
180,1N7,Blairstown,Blairstown,NJ,USA,40.97114556,-74.99747556,156.6009615131300
181,1N9,Allentown Queen City Muni,Allentown,PA,USA,0.0,0.0,40.56851998821760
182,1ND3,Hamry,Kindred,ND,USA,46.6485775,-97.00564306,115.7591863672800
183,1O1,Grandfield Municipal,Grandfield,OK,USA,0.0,0.0,41.77609860646560
184,1O2,Lampson,Lakeport,CA,USA,38.99017472,-122.8997175,38.10432932304660
185,1O3,Lodi,Lodi,CA,USA,38.20241667,-121.2684167,69.9753325392932
186,1O4,Thomas Municipal,Thomas,OK,USA,0.0,0.0,80.03201026947680
187,1O6,Dunsmuir Municipal-Mott,Dunsmuir,CA,USA,41.26320889,-122.2719528,67.91578585580440
188,1R1,Jena,Jena,LA,USA,0.0,0.0,64.53897957170130
189,1R7,Brookhaven-Lincoln County,Brookhaven,MS,USA,0.0,0.0,50.48619260103060
190,1R8,Bay Minette Municipal,Bay Minette,AL,USA,0.0,0.0,79.83710463961260
191,1S0,Pierce County,Puyallup,WA,USA,47.10391667,-122.2871944,49.13443888457140
192,1S3,Tillitt,Forsyth,MT,USA,0.0,0.0,68.71245255217610
193,1S5,Sunnyside Municipal,Sunnyside,WA,USA,46.32763139,-119.9705964,57.089120416464000
194,1S6,Priest River Muni,Priest River,ID,USA,48.19018611,-116.9093644,59.841604369292500
195,1U7,Bear Lake County,Paris,ID,USA,0.0,0.0,85.34501379572440
196,1V0,Navajo State Park,Navajo Dam,NM,USA,36.80833833,-107.6514444,20.582064605245100
197,1V2,Grant County,Hyannis,NE,USA,0.0,0.0,98.6304494266717
198,1V5,Boulder Muni,Boulder,CO,USA,0.0,0.0,35.16035809721430
199,1V6,Fremont County,Canon City,CO,USA,38.42838111,-105.1054994,13.765097141120000
200,1V9,Blake,Delta,CO,USA,0.0,0.0,55.566163232518800
201,20A,Robbins,Oneonta,AL,USA,0.0,0.0,82.56025387787450
202,20M,Macon Municipal,Macon,MS,USA,0.0,0.0,54.845813317619
203,20N,Kingston-Ulster,Kingston,NY,USA,41.9852525,-73.96409722,117.55998032812600
204,20U,Beach,Beach,ND,USA,0.0,0.0,33.34101288245860
205,20V,McElroy Airfield,Kremmling,CO,USA,0.0,0.0,55.76837303558050
206,21D,Lake Elmo,St Paul,MN,USA,0.0,0.0,55.70039381988520
207,21F,Jacksboro Municipal,Jacksboro,TX,USA,0.0,0.0,74.9289070050292
208,22B,Mountain Meadow Airstrip,Burlington,CT,USA,41.77287528,-73.01121667,127.17281334733300
209,22I,Vinton County,McArthur,OH,USA,0.0,0.0,90.83194903039420
210,22M,Pontotoc County,Pontotoc,MS,USA,0.0,0.0,45.08245204384260
211,22N,Carbon Cty-Jake Arner Memorial,Lehighton,PA,USA,0.0,0.0,57.36063316821100
212,23J,Herlong,Jacksonville,FL,USA,0.0,0.0,64.74811638977040
213,23M,Clarke County,Quitman,MS,USA,0.0,0.0,94.71000503713800
214,23N,Bayport Aerodrome,Bayport,NY,USA,40.75843139,-73.05372083,196.86866911942700
215,23R,Devine Municipal,Devine,TX,USA,0.0,0.0,55.87406749679450
216,24A,Jackson County,Sylva,NC,USA,35.3168625,-83.20936806,107.09227512286600
217,24J,Suwannee County,Live Oak,FL,USA,0.0,0.0,46.803124972205100
218,24N,Jicarilla Apache Nation,Dulce,NM,USA,0.0,0.0,56.84772298641780
219,25J,Cuthbert-Randolph,Cuthbert,GA,USA,0.0,0.0,83.94169069785840
220,25M,Ripley,Ripley,MS,USA,0.0,0.0,98.83500662224010
221,25R,International,Edinburg,TX,USA,0.0,0.0,57.12885450191270
222,26A,Ashland/Lineville,Ashland/Lineville,AL,USA,0.0,0.0,56.84402363851660
223,26N,Ocean City Muni cipal,Ocean City,NJ,USA,39.26347222,-74.60747222,195.0085223614780
224,26R,Jackson County,Edna/Ganado,TX,USA,0.0,0.0,58.22637158055070
225,26U,McDermitt State,McDermitt,OR,USA,42.00211083,-117.7231972,75.73333501325780
226,27A,Elbert County-Patz,Elberton,GA,USA,0.0,0.0,56.61430570756300
227,27D,Myers,Canby,MN,USA,44.72801889,-96.26309972,112.85236227790700
228,27J,Newberry Municipal,Newberry,SC,USA,0.0,0.0,55.0353455483385
229,27K,Georgetown-Scott County,Georgetown,KY,USA,38.23442528,-84.43468667,129.7477807865730
230,28J,Kay Larkin,Palatka,FL,USA,0.0,0.0,32.97469075868860
231,29D,Grove City,Grove City,PA,USA,41.14597611,-80.16592194,157.87659375495400
232,29G,Portage County,Ravenna,OH,USA,0.0,0.0,52.37325616060870
233,29S,Gardiner,Gardiner,MT,USA,0.0,0.0,37.73959496682900
234,2A0,Mark Anton,Dayton,TN,USA,35.48624611,-84.93109722,146.56184211358200
235,2A1,Jamestown Municipal,Jamestown,TN,USA,36.34970833,-84.94664472,115.84575733511600
236,2A3,Larsen Bay,Larsen Bay,AK,USA,57.53510667,-153.9784169,83.85280870643450
237,2A9,Kotlik,Kotlik,AK,USA,63.03116111,-163.5299278,91.3112851439263
238,2AK,Lime Village,Lime Village,AK,USA,61.35848528,-155.4403508,53.23838116660260
239,2B3,Parlin,Newport,NH,USA,43.38812944,-72.18925417,118.52079580422900
240,2B7,Pittsfield Municipal,Pittsfield,ME,USA,44.76852778,-69.37441667,112.06100006229300
241,2B9,Post Mills,Post Mills,VT,USA,43.884235,-72.25370333,178.72507632169400
242,2D1,Barber,Alliance,OH,USA,0.0,0.0,47.59010915359050
243,2D5,Oakes Municipal,Oakes,ND,USA,46.17301972,-98.07987556,161.43690414715000
244,2F5,Lamesa Municipal,Lamesa,TX,USA,0.0,0.0,90.56725969768290
245,2F6,Skiatook Municipal,Skiatook,OK,USA,36.357035,-96.01138556,160.34956349207300
246,2F7,Commerce Municipal,Commerce,TX,USA,33.29288889,-95.89641806,184.7542570678130
247,2F8,Morehouse Memorial,Bastrop,LA,USA,0.0,0.0,31.113117757726300
248,2G2,Jefferson County Airpark,Steubenville,OH,USA,0.0,0.0,42.417414861275500
249,2G3,Connellsville,Connellsville,PA,USA,39.95893667,-79.65713306,136.6821703055880
250,2G4,Garrett County,Oakland,MD,USA,0.0,0.0,72.60266543259770
251,2G9,Somerset County,Somerset,PA,USA,0.0,0.0,84.80151389846400
252,2H0,Shelby County,Shelbyville,IL,USA,39.41042861,-88.8454325,112.33517047215500
253,2H2,Aurora Memorial Municipal,Aurora,MO,USA,0.0,0.0,82.98322040540390
254,2I0,Madisonville Municipal,Madisonville,KY,USA,37.35502778,-87.39963889,199.84064269068500
255,2I5,Chanute,Rantoul,IL,USA,0.0,0.0,48.589500196956400
256,2IS,Airglades,Clewiston,FL,USA,0.0,0.0,39.19889372382770
257,2J2,Liberty County,Hinesville,GA,USA,0.0,0.0,94.91379466810720
258,2J3,Louisville Municipal,Louisville,GA,USA,0.0,0.0,38.41143983300950
259,2J5,Millen,Millen,GA,USA,32.89376972,-81.96511583,120.93273128604300
260,2J9,Quincy Municipal,Quincy,FL,USA,0.0,0.0,77.82360260342600
261,2K3,Stanton County Municipal,Johnson,KS,USA,37.58271111,-101.73281,13.055763566348200
262,2K4,Scott,Mangum,OK,USA,34.89172583,-99.52675667,191.30816371711900
263,2K5,Telida,Telida,AK,USA,63.39387278,-153.2689733,61.058297776984600
264,2M0,Princeton-Caldwell County,Princeton,KY,USA,0.0,0.0,50.251084035295000
265,2M2,Lawrenceburg Municipal,Lawrenceburg,TN,USA,0.0,0.0,32.27780675529550
266,2M3,Sallisaw Municipal,Sallisaw,OK,USA,35.43816667,-94.80277778,102.7947201445900
267,2M4,G. V. Montgomery,Forest,MS,USA,0.0,0.0,48.26517117040310
268,2M8,Charles W. Baker,Millington,TN,USA,35.27897583,-89.93147611,187.17560480773700
269,2O1,Gansner,Quincy,CA,USA,39.94378056,-120.9468983,58.5308779620019
270,2O3,Angwin-Parrett,Angwin,CA,USA,38.57851778,-122.4352572,79.84293222126690
271,2O6,Chowchilla,Chowchilla,CA,USA,37.11244417,-120.2468406,73.1974181047471
272,2O7,Independence,Independence,CA,USA,36.81382111,-118.2050956,91.34912860278280
273,2O8,Hinton Municipal,Hinton,OK,USA,0.0,0.0,31.66711403209240
274,2P2,Washington Island,Washington Island,WI,USA,0.0,0.0,48.609313336737500
275,2Q3,Yolo Co-Davis/Woodland/Winters,Davis/Woodland/Winters,CA,USA,38.5790725,-121.8566322,44.099667284842800
276,2R0,Waynesboro Municipal,Waynesboro,MS,USA,0.0,0.0,63.535347196630400
277,2R4,Peter Prince,Milton,FL,USA,0.0,0.0,39.911829496606600
278,2R5,St Elmo,St Elmo,AL,USA,0.0,0.0,84.10524279089440
279,2R9,Karnes County,Kenedy,TX,USA,0.0,0.0,97.35763500877010
280,2S1,Vashon Municipal,Vashon,WA,USA,47.45815333,-122.4773506,37.281191312388300
281,2S6,Sportsman Airpark,Newberg,OR,USA,45.29567333,-122.9553783,48.843765811286500
282,2S7,Chiloquin State,Chiloquin,OR,USA,42.58319167,-121.8761261,71.46569544395140
283,2S8,Wilbur,Wilbur,WA,USA,47.75320639,-118.7438936,63.24322471412000
284,2T1,Muleshoe Municipal,Muleshoe,TX,USA,34.18513639,-102.6410981,13.053508978780500
285,2V1,Stevens,Pagosa Springs,CO,USA,37.277505,-107.0558742,18.24315962823600
286,2V2,Vance Brand,Longmont,CO,USA,0.0,0.0,95.25906970027460
287,2V5,Wray Municipal,Wray,CO,USA,0.0,0.0,51.463323979913700
288,2V6,Yuma Municipal,Yuma,CO,USA,0.0,0.0,59.18617591112990
289,2W5,Maryland,Indian Head,MD,USA,38.60053667,-77.07296917,147.61797634962700
290,2W6,Captain Walter Francis Duke Regional,Leonardtown,MD,USA,0.0,0.0,74.03295175397600
291,2Y3,Yakutat SPB,Yakutat,AK,USA,59.5624775,-139.7410994,54.11972548380610
292,2Y4,Rockwell City Municipal,Rockwell City,IA,USA,0.0,0.0,43.11629567340090
293,31F,Gaines County,Seminole,TX,USA,0.0,0.0,87.88696837074730
294,32M,Norfolk,Norfolk,MA,USA,42.12787528,-71.37033556,158.92944641014800
295,32S,Stevensville,Stevensville,MT,USA,0.0,0.0,82.12075305101250
296,33J,Geneva Municipal,Geneva,AL,USA,0.0,0.0,75.20407099799160
297,33M,Water Valley,Water Valley,MS,USA,0.0,0.0,47.71037407362680
298,33N,Delaware Airpark,Dover,DE,USA,0.0,0.0,33.54617990934930
299,33S,Pru,Ritzville,WA,USA,47.12487194,-118.3927539,54.619978394809600
300,34A,Laurens County,Laurens,SC,USA,0.0,0.0,77.1973193903222
301,35A,"Union County, Troy Shelton",Union,SC,USA,0.0,0.0,81.81219925771190
302,35D,Padgham,Allegan,MI,USA,0.0,0.0,73.97297629573570
303,35S,Wasco State,Wasco,OR,USA,45.58944444,-120.6741667,31.295647599777300
304,36K,Lakin,Lakin,KS,USA,37.96946389,-101.2554472,3.0597073205533000
305,36S,Happy Camp,Happy Camp,CA,USA,41.79067944,-123.3889444,79.4083969953559
306,36U,Heber City Municipal/Russ McDonald,Heber,UT,USA,0.0,0.0,91.75210508065540
307,37T,Calico Rock-Izard County,Calico Rock,AR,USA,0.0,0.0,94.38064869297700
308,37W,Harnett County,Erwin,NC,USA,0.0,0.0,96.8086501997847
309,38A,Shaktoolik,Shaktoolik,AK,USA,64.36263194,-161.2025369,96.27396694185800
310,38S,Deer Lodge-City-County,Deer Lodge,MT,USA,46.38881583,-112.7669842,28.530554349353800
311,38U,Wayne Wonderland,Loa,UT,USA,38.36247972,-111.5960164,13.929831701718900
312,39N,Princeton,Princeton,NJ,USA,40.39834833,-74.65760361,170.92932823983700
313,3A0,Grove Hill Municipal,Grove Hill,AL,USA,0.0,0.0,88.66798999998300
314,3A1,Folsom,Cullman,AL,USA,0.0,0.0,64.07408856573400
315,3A2,New Tazewell Municipal,Tazewell,TN,USA,36.41008417,-83.55546167,145.50543652718000
316,3A3,Anson County,Wadesboro,NC,USA,35.02397611,-80.08127333,129.5737819584960
317,3AU,Augusta Municipal,Augusta,KS,USA,0.0,0.0,80.22019625643100
318,3B0,Southbridge Municipal,Southbridge,MA,USA,42.10092806,-72.03840833,132.1684712184710
319,3B1,Greenville Municipal,Greenville,ME,USA,45.46302778,-69.55161111,140.2269533139260
